sequence,first_saved_bbox_difference,first_saved_score_difference,all_boxes_recall_delta_pp,reported_recall_delta_pp,alternative_rescue_frames,alternative_damage_frames
XMG_outside,1,1,0.06430359802472196,0.06096091494879374,0,0
backpack_blue,1,1,0.6655018292107258,0.6688645133295097,0,0
backpack_robotarm_lab_occ,1,1,7.69669851473283,7.634288628242544,110,0
backpack_room_noocc_1,1,1,0.8730873113987627,0.8730873113987627,0,0
bag_outside,1,1,-50.777408182415044,-50.73823203245003,0,1279
bicycle2_outside,1,1,-0.17071014956188435,-0.1487636015438909,0,0
bicycle_outside,1,1,0.5680829418329694,0.5680829418329978,0,0
bottle_box,1,1,10.190134737626181,9.252382087816372,76,0
bottle_room_noocc_1,1,1,1.2605554364049425,1.1177807721322495,0,0
bottle_room_occ_1,1,1,57.811984145558355,57.47893774928481,945,0
box1_outside,1,1,0.4014605854053883,0.2463241909373295,0,0
box_darkroom_noocc_1,1,1,0.2980729441618024,0.6536244791075063,0,0
box_darkroom_noocc_10,1,1,-0.13275176439780978,-0.35174860062886637,0,0
box_darkroom_noocc_2,1,1,0.07678167057208896,0.17564939557416892,0,0
box_darkroom_noocc_3,1,1,0.013653265381208257,-0.1981725491707209,0,0
box_darkroom_noocc_4,1,1,-0.06370357158296258,-0.055147771781676624,0,0
box_darkroom_noocc_5,1,1,0.16808109270880323,0.08841917245290176,0,0
box_darkroom_noocc_6,1,1,0.05218930990587012,-0.24970018253277715,0,0
box_darkroom_noocc_7,1,1,0.9220764061422244,1.3042305479508514,0,0
box_darkroom_noocc_8,1,1,0.05788100102692795,-0.5322091884938374,0,0
box_darkroom_noocc_9,1,1,0.019072185192101188,-0.4867103887927158,0,0
box_humans_room_occ_1,1,1,0.7365737699714572,0.44320583769078326,0,0
box_room_noocc_1,1,1,3.7627659749673086,3.867948194325578,31,0
box_room_noocc_2,1,1,-0.19402026816753448,-0.19402026816753448,0,0
box_room_noocc_3,1,1,0.13851688465787504,0.12058289194439453,0,0
box_room_noocc_4,1,1,0.2398143800630237,0.06592175906877173,0,0
box_room_noocc_5,1,1,0.2156533504590783,0.2156533504590783,0,0
box_room_noocc_6,1,1,0.14000306269886664,0.1379915719877829,0,0
box_room_noocc_7,1,1,0.04113794566185902,0.04113794566185902,0,0
box_room_noocc_8,1,1,0.4100977639985217,0.18078409096091264,0,0
box_room_noocc_9,1,1,-0.18888972109310487,-0.6672632802939376,0,0
box_room_occ_1,1,1,-0.13137756990192884,-0.10837736805199683,0,0
box_room_occ_2,1,1,-0.1655937213468519,0.22238115051694507,0,0
boxes_backpack_room_occ_1,1,1,0.13868545721881276,-0.280726744601445,0,0
boxes_humans_room_occ_1,1,1,-1.5889866181572287,-1.7272265124838242,13,39
boxes_office_occ_1,1,1,0.22058516296333153,0.41577271908055735,0,0
boxes_room_occ_1,1,1,-0.03583593518654027,-0.43046254521246397,0,0
cart_room_occ_1,1,1,3.793874895837078,0.47724506839932346,0,0
cartman,1,1,0.30148059441040687,-0.577500185298156,0,0
cartman_robotarm_lab_noocc,1,1,1.1298584815126134,1.1298584815126134,0,0
case,1,1,0.15569974428526479,-0.24000260321917466,0,0
container_room_noocc_1,1,1,0.08478417563775054,0.08478417563775054,0,0
dog_outside,1,1,0.18879306519554007,0.08881976746522469,0,0
human_entry_occ_1,1,1,0.24461240931529815,-0.05794196673319085,0,0
human_entry_occ_2,1,1,-0.5557810304993183,-0.9900723441610779,0,0
humans_corridor_occ_1,1,1,-0.1508515782147697,-0.1508515782147839,0,0
humans_corridor_occ_2_A,1,1,-0.8574239200755613,-0.867516429109898,0,0
humans_corridor_occ_2_B,1,1,-33.55793710776661,-33.17734313211582,0,363
humans_longcorridor_staricase_occ_1,1,1,22.910221740169803,22.47911825071256,263,0
humans_shirts_room_occ_1_A,1,1,-0.1418268467793382,-0.5382291452874313,0,0
humans_shirts_room_occ_1_B,1,1,1.0259981858771638,0.6283059066466308,0,0
jug,1,1,1.077267703673357,0.4438030800975383,0,0
mug_ankara,1,1,0.06555245620916139,0.062154090099113546,0,0
mug_gs,1,1,-0.668613112250398,-0.7735255309352524,0,0
paperpunch,1,1,-0.22663614745033556,-0.6818787098301655,0,0
person_outside,1,1,-0.11814497750307851,-0.11814497750307851,0,0
robot_corridor_noocc_1,1,1,0.5117997399471079,0.5117997399471221,0,0
robot_corridor_occ_1,1,1,0.07326870028937549,0.1088932545693666,0,0
robot_human_corridor_noocc_1_A,1,1,6.7779286416649285,8.610921015184395,0,0
robot_human_corridor_noocc_1_B,1,1,1.5534535578982869,1.5534535578982869,0,0
robot_human_corridor_noocc_2,1,1,0.08631381434516072,0.019281929820351706,0,0
robot_human_corridor_noocc_3_A,1,1,0.7491675121391381,0.4694414917541394,0,0
robot_human_corridor_noocc_3_B,1,1,-1.9385450364795673,-2.1511466487618023,0,0
robot_lab_occ,1,1,3.910311448394097,3.907592015452508,73,0
teapot,1,1,-5.28836843938582,-5.42806710947589,0,54
tennis_ball,1,1,0.13780561237025069,-2.717211475237775,31,35
thermos_office_noocc_1,1,1,3.9296493202401592,4.6697639457048865,0,0
thermos_office_occ_1,1,1,23.70177781362196,21.60543940175753,331,0
toy_office_noocc_1,1,1,0.8764460519241055,0.8744014884917846,0,0
toy_office_occ_1,1,1,1.9882649082932318,0.8090031892763889,35,25
trashcan_room_occ_1,1,1,-16.990007457667858,-16.966894233733413,0,194
trashcans_room_occ_1_A,1,1,-12.981810607749571,-10.710626508320416,0,72
trashcans_room_occ_1_B,1,1,-43.73042809429411,-42.786399097599435,0,415
trendNetBag_outside,1,1,0.058081071615873725,-0.27248663105207527,0,0
trendNet_outside,1,1,25.705431091970574,25.901589458259686,498,0
trophy_outside,1,1,0.8819280816056363,0.6492253805154888,0,0
trophy_room_noocc_1,1,1,1.1409089734837181,-0.01948934280478909,0,0
trophy_room_occ_1,1,1,0.13070718943001225,-0.27377286591037375,0,0
two_mugs,1,1,-14.065463004957849,-12.707418263624412,0,139
two_tennis_balls,1,1,-1.6092537889909693,-0.43401675866156353,0,0
