sequence,first_saved_bbox_difference,first_saved_score_difference,all_boxes_recall_delta_pp,reported_recall_delta_pp,alternative_rescue_frames,alternative_damage_frames
XMG_outside,1,1,-2.9233568598215953,-2.943418902451242,0,58
backpack_blue,1,1,-0.17648874383139912,-0.8353717017023001,0,0
backpack_robotarm_lab_occ,1,1,7.5516658925645,7.528754624079312,118,0
backpack_room_noocc_1,1,1,0.47182684011154663,0.47182684011154663,0,0
bag_outside,1,1,-54.53527954396832,-54.49610339400331,0,1279
bicycle2_outside,1,1,-0.4208655649364488,-0.4018124911656997,0,0
bicycle_outside,1,1,-0.11470002976608384,-0.2103913458415576,0,0
bottle_box,1,1,10.797215297798147,10.791676718326727,76,0
bottle_room_noocc_1,1,1,0.9071589049759439,1.025772567717155,0,0
bottle_room_occ_1,1,1,0.42275325568680344,0.5401320364841382,0,0
box1_outside,1,1,-1.07660683948896,-2.215692934977511,0,0
box_darkroom_noocc_1,1,1,0.33171790235735443,0.9950939529071405,0,0
box_darkroom_noocc_10,1,1,0.22248581647330923,-0.08068403099315447,0,0
box_darkroom_noocc_2,1,1,-0.12422180664393068,-0.024916569935626853,0,0
box_darkroom_noocc_3,1,1,-0.050364874125648385,-0.31878411797926276,0,0
box_darkroom_noocc_4,1,1,-0.00916443446624271,0.08307659480186658,0,0
box_darkroom_noocc_5,1,1,0.5732366756704295,0.5104360862725343,10,0
box_darkroom_noocc_6,1,1,-0.08974260206478846,-0.15940832082085876,0,0
box_darkroom_noocc_7,1,1,0.3331127334097346,0.4539784933398465,0,0
box_darkroom_noocc_8,1,1,-0.2516040916531779,0.15277924949108979,0,0
box_darkroom_noocc_9,1,1,0.09447769223687885,0.5958404120921017,0,0
box_humans_room_occ_1,1,1,-0.09567768083084616,-0.21603628982371959,0,0
box_room_noocc_1,1,1,-3.070064316149569,-2.8295671317379174,42,77
box_room_noocc_2,1,1,-0.4408877934605471,-0.4408877934605471,0,0
box_room_noocc_3,1,1,0.03881231056365664,0.032633048363322814,0,0
box_room_noocc_4,1,1,-0.03780266436747581,-0.03293854561452747,0,0
box_room_noocc_5,1,1,0.04992764903816749,0.04992764903816749,0,0
box_room_noocc_6,1,1,0.1906438366902563,0.18863234597918677,0,0
box_room_noocc_7,1,1,0.055294696118451725,0.055294696118451725,0,0
box_room_noocc_8,1,1,0.5408739305157582,0.5408739305157582,0,0
box_room_noocc_9,1,1,-0.31670471693882973,-0.5575964297965044,0,0
box_room_occ_1,1,1,-0.5021540594310707,-0.7704779252598328,0,0
box_room_occ_2,1,1,-0.34393797587306096,-0.09018469593942058,0,0
boxes_backpack_room_occ_1,1,1,-0.537735911060075,-0.12056328585524767,0,0
boxes_humans_room_occ_1,1,1,12.058664654297914,11.808574851902236,271,0
boxes_office_occ_1,1,1,3.672086585990911,3.9404256690813924,44,0
boxes_room_occ_1,1,1,-2.0195194649762414,-4.332564919269629,0,32
cart_room_occ_1,1,1,0.02438714643308515,0.3878651581859103,0,0
cartman,1,1,-0.09778138640905354,-0.7396641376557795,0,0
cartman_robotarm_lab_noocc,1,1,0.9893272684594479,0.9893272684594479,0,0
case,1,1,0.2704767222822895,0.7492594486188153,0,0
container_room_noocc_1,1,1,0.032721983949912214,0.032721983949912214,0,0
dog_outside,1,1,-0.04475816754330708,-0.11815266295616311,0,0
human_entry_occ_1,1,1,0.4294632784650325,0.03392951586695858,0,0
human_entry_occ_2,1,1,-0.3315004801853405,0.03652593772848434,0,0
humans_corridor_occ_1,1,1,0.01766515241683919,0.01766515241682498,0,0
humans_corridor_occ_2_A,1,1,-0.2858214870026927,0.2580308024536606,0,0
humans_corridor_occ_2_B,1,1,0.25322615132412807,0.3275561850515203,0,0
humans_longcorridor_staricase_occ_1,1,1,23.065961068108194,23.249883557215725,263,0
humans_shirts_room_occ_1_A,1,1,-0.015371577190251173,-0.21780298815426136,0,0
humans_shirts_room_occ_1_B,1,1,-0.5757029923473098,-1.247539123114585,0,10
jug,1,1,2.1613549823069746,2.486352357204993,0,0
mug_ankara,1,1,-0.08219995841930228,-0.07777710577197183,0,0
mug_gs,1,1,-0.04338074347761989,0.23874516083982655,0,0
paperpunch,1,1,1.2787124391610263,3.15065340647633,0,0
person_outside,1,1,-0.2671797173644279,-0.2671797173644279,0,0
robot_corridor_noocc_1,1,1,-0.07716193271052418,-0.07716193271050997,0,0
robot_corridor_occ_1,1,1,-0.0040024025707481314,-0.013010930520337638,0,0
robot_human_corridor_noocc_1_A,1,1,5.111058795164922,7.580582189888254,0,0
robot_human_corridor_noocc_1_B,1,1,0.7335261931108832,0.6947108476035524,0,0
