sequence,first_saved_bbox_difference,first_saved_score_difference,all_boxes_recall_delta_pp,reported_recall_delta_pp,alternative_rescue_frames,alternative_damage_frames
adapter01_indoor,1,1,12.018646900636163,14.89317305724228,543,137
backpack_indoor,1,1,0.3314979175140351,0.4817445414464814,0,0
bag01_indoor,1,1,-0.36816219409572426,-0.2767780009944687,10,17
bag02_indoor,1,1,0.044980224954414894,2.7467510119084153,0,0
ball01_wild,1,1,0.9598939666301902,0.47239545119354887,13,10
ball06_indoor,1,1,-0.06235109033168129,2.1212058070907034,0,0
ball10_wild,1,1,24.372093445869332,25.592450192966986,763,148
ball11_wild,1,1,3.1874730203095964,3.462335726124465,59,0
ball15_wild,1,1,0.396763221192046,0.4801092728803411,0,0
ball18_indoor,1,1,1.5810339457692066,1.7195376129362643,0,0
ball20_indoor,1,1,0.5331740862786205,0.7319533875424327,0,0
bandlight_indoor,1,1,-1.0526647859244065,1.9307945025649644,0,19
beautifullight02_indoor,1,1,0.15228174812133943,0.18977559206679473,0,0
book03_indoor,1,1,0.4429238614621269,0.9595057404012817,0,0
bottle04_indoor,1,1,5.598317050697773,9.987777225364717,132,0
card_indoor,1,1,-2.74348808070377,-1.32419860084919,0,11
cat01_indoor,1,1,1.1164043705865083,1.1576863550877192,36,0
colacan03_indoor,1,1,0.05126404973373333,0.14108614570527145,0,0
cube02_indoor,1,1,21.824902710179927,21.73954241362681,863,0
cube03_indoor,1,1,3.4829387383514643,3.689871520756782,0,0
cube05_indoor,1,1,0.05116978933012639,0.05116978933012639,0,0
cup01_indoor,1,1,-0.2047909931950329,0.22135123586527072,0,0
cup02_indoor,1,1,-9.683248038031202,-9.021628587521867,79,289
cup04_indoor,1,1,-5.074112476360057,-4.860546519151022,0,116
cup12_indoor,1,1,6.885144619215339,6.992297951128997,78,0
developmentboard_indoor,1,1,-8.471729247838564,-6.3456053762928555,55,172
duck03_wild,1,1,0.16009922566196622,0.2682808956106726,0,0
dumbbells01_indoor,1,1,0.5252036979517385,2.232212770566136,0,0
earphone01_indoor,1,1,-0.6186974319247582,1.579583947564089,0,0
file01_indoor,1,1,-0.39291970123920805,-0.3284484239896983,0,0
flag_indoor,1,1,0.2170447844363821,0.2760811963283487,0,0
glass01_indoor,1,1,0.03411445795697432,0.8666124551266989,0,0
hand01_indoor,1,1,-0.2938148898000037,7.782500882784497,153,165
human02_indoor,1,1,-0.6261163956629616,-0.6072330676975781,0,0
lock02_indoor,1,1,0.5979580808356388,0.7182395907524608,0,0
mobilephone03_indoor,1,1,0.057730186858648835,2.099903358139102,0,0
notebook01_indoor,1,1,-0.15415534281214605,0.14756624086233217,0,0
pigeon01_wild,1,1,0.07173900932291133,2.036003180749802,0,0
pigeon02_wild,1,1,0.3740274451759973,0.39501845530877233,0,0
pigeon04_wild,1,1,-0.18921776545224134,4.320645001929989,0,0
pot_indoor,1,1,0.3786154017726062,1.7637270229485154,0,0
roller_indoor,1,1,2.710354985604809,4.680231829263661,18,0
shoes02_indoor,1,1,5.429087950149281,5.054782588514897,103,0
squirrel_wild,1,1,2.7087914821108825,4.389917892324021,12,0
stick_indoor,1,1,-32.60964988279804,-30.352483106862266,0,335
toiletpaper01_indoor,1,1,0.0024947073981707035,0.8364607320591801,0,0
toy02_indoor,1,1,0.7844550937753496,1.586676012074804,0,0
toy09_indoor,1,1,9.374413669778534,9.44434208600235,113,0
ukulele01_indoor,1,1,0.29476271094195283,1.1291553293902972,0,0
yogurt_indoor,1,1,-0.061794826650242385,0.2782781612780312,0,0
