sequence,first_saved_bbox_difference,first_saved_score_difference,all_boxes_recall_delta_pp,reported_recall_delta_pp,alternative_rescue_frames,alternative_damage_frames
adapter01_indoor,1,1,-3.656636128099457,-3.81002513270068,55,207
backpack_indoor,1,1,-0.055028873975672354,-0.09355173877320055,12,0
bag01_indoor,1,1,-0.062328281507461725,-0.06889056847130348,0,10
bag02_indoor,1,1,-53.49274649112065,-53.24897084368488,0,1862
ball01_wild,1,1,-2.4602651480126525,-2.5007768097111622,0,14
ball06_indoor,1,1,0.46533315259471664,-1.0007451880786888,0,0
ball10_wild,1,1,-2.2495775386190644,-2.214930187635801,236,283
ball11_wild,1,1,0.16921206854523518,-0.07652149926332186,0,0
ball15_wild,1,1,0.046432452730556406,0.0584957531968513,0,0
ball18_indoor,1,1,0.1260061884114947,0.10510055432391141,0,0
ball20_indoor,1,1,-0.26477006909760803,-0.33223281391292403,0,0
bandlight_indoor,1,1,-0.19495063987405103,-0.6560643422255055,0,0
beautifullight02_indoor,1,1,0.11828677369319962,0.11828677369319962,0,0
book03_indoor,1,1,-0.1457543706248554,-0.09125435142415839,0,0
bottle04_indoor,1,1,-13.220339072801835,-15.077513618529586,26,274
card_indoor,1,1,-1.0532077895118164,-1.3932246612283166,56,114
cat01_indoor,1,1,-0.0020756465112583555,-0.02548834974099634,0,0
colacan03_indoor,1,1,-0.15373571926723528,-0.1916064522102463,0,0
cube02_indoor,1,1,-0.054042630756569565,-0.06111753335046188,0,0
cube03_indoor,1,1,0.43150055596965586,-0.3944321042605452,0,0
cube05_indoor,1,1,-0.24523539735550992,-0.27116668375407604,0,0
cup01_indoor,1,1,-2.6473161669368324,-3.474325427817888,0,36
cup02_indoor,1,1,3.0358539671082667,2.4653166228410086,55,0
cup04_indoor,1,1,-0.27985659477494096,-0.3426478464508449,0,0
cup12_indoor,1,1,0.14059531289846205,-0.05306340330796644,0,0
developmentboard_indoor,1,1,-0.887753911834249,-1.348447924768628,0,21
duck03_wild,1,1,-0.042599111867076545,0.12084390629559039,0,0
dumbbells01_indoor,1,1,-0.3494871467838223,-1.3671744531485288,0,0
earphone01_indoor,1,1,0.044319887559467475,-0.28199304810243575,0,0
file01_indoor,1,1,26.663890961030525,26.56669197384877,476,0
flag_indoor,1,1,0.15953102804098762,0.09803017326939312,0,0
glass01_indoor,1,1,-0.5725107969095973,-1.2301554054404704,0,36
hand01_indoor,1,1,8.137017854632667,-0.4439394069210181,27,0
human02_indoor,1,1,-18.135691261281757,-18.226473012418573,0,286
lock02_indoor,1,1,-0.45191015492650877,-0.8415109471732904,0,0
mobilephone03_indoor,1,1,-0.04444095246023494,-0.27014325528024585,0,0
notebook01_indoor,1,1,-0.7466509006976878,-1.154733025787344,37,30
pigeon01_wild,1,1,-0.33505676970584375,-2.8225629830119345,0,0
pigeon02_wild,1,1,2.3514779403047044,0.8047644402731748,0,0
pigeon04_wild,1,1,-0.03864292195605401,-2.6694162173340317,0,0
pot_indoor,1,1,-13.760680487139552,-13.649317978115178,0,122
roller_indoor,1,1,-0.3041334371555564,-0.276915125974881,0,0
shoes02_indoor,1,1,0.1948495375516046,-0.202373977565955,0,0
squirrel_wild,1,1,8.892763926918448,7.971464643187275,82,0
stick_indoor,1,1,-1.1924092135996744,-2.0412190603193636,0,0
toiletpaper01_indoor,1,1,5.456975746125693,4.85234949650048,97,0
toy02_indoor,1,1,1.0786133192458323,0.671203044928049,0,0
toy09_indoor,1,1,0.3921454172702852,0.23554577806783072,10,0
ukulele01_indoor,1,1,0.9796815062021409,0.06290892746987709,12,0
yogurt_indoor,1,1,0.05713071023843952,-1.168746335298387,0,0
