sequence,sequence_frames,weight,native_ROB_percent,native_failures,native_survived_anchor_frames,native_available_anchor_frames,M67_ROB_percent,M67_failures,M67_survived_anchor_frames,M67_available_anchor_frames,M82_ROB_percent,M82_failures,M82_survived_anchor_frames,M82_available_anchor_frames,M67_ROB_delta_pp,M82_ROB_delta_pp
XMG_outside_2,882,0.010923818134528926,100.0,0,12868,12868,100.0,0,12868,12868,100.0,0,12868,12868,0.0,0.0
adapter01_indoor_1,893,0.011060056229177245,100.0,0,12999,12999,100.0,0,12999,12999,95.96892068620663,1,12475,12999,0.0,-0.044583963874827895
backpack_blue_1,912,0.01129537657447889,95.01809665744092,2,13389,14091,85.56525441771343,5,12057,14091,90.84522035341708,4,12801,14091,-0.10677341279686242,-0.047134209252668986
backpack_indoor_1,472,0.005845852788546092,100.0,0,3606,3606,100.0,0,3606,3606,100.0,0,3606,3606,0.0,0.0
backpack_robotarm_lab_occ_1,588,0.007282545423019284,100.0,0,5349,5349,100.0,0,5349,5349,100.0,0,5349,5349,0.0,0.0
backpack_room_noocc_1_1,1371,0.01698022070571333,100.0,0,30375,30375,100.0,0,30375,30375,100.0,0,30375,30375,0.0,0.0
bag01_indoor_1,334,0.00413668396477626,100.0,0,2123,2123,100.0,0,2123,2123,100.0,0,2123,2123,0.0,0.0
bag01_indoor_2,972,0.012038493454378817,76.95787930924615,12,12077,15693,65.02262155101,14,10204,15693,89.05881603262601,6,13976,15693,-0.14368252239884985,0.14567704753626068
bag01_indoor_4,397,0.0049169566886711836,100.0,0,2776,2776,100.0,0,2776,2776,100.0,0,2776,2776,0.0,0.0
bag02_indoor_1,485,0.006006861445857743,100.0,0,4181,4181,100.0,0,4181,4181,100.0,0,4181,4181,0.0,0.0
bag02_indoor_2,1271,0.015741692572546786,88.80520369736392,7,23346,26289,89.6306439955875,4,23563,26289,72.45996424359998,12,19049,26289,0.012993827411626982,-0.25730173450581445
