sequence,native_EAO_contribution_pp,M67_EAO_contribution_pp,M82_EAO_contribution_pp,M67_EAO_delta_pp,M82_EAO_delta_pp,native_ACC_contribution_pp,M67_ACC_contribution_pp,M82_ACC_contribution_pp,M67_ACC_delta_pp,M82_ACC_delta_pp,native_ROB_contribution_pp,M67_ROB_contribution_pp,M82_ROB_contribution_pp,M67_ROB_delta_pp,M82_ROB_delta_pp
XMG_outside_2,1.100069388219092,1.0864840664653521,1.073033444402223,-0.013585321753739832,-0.027035943816869024,0.9523580516340101,0.9624363921889857,0.9785046857876705,0.010078340554975584,0.026146634153660364,1.0923818134528926,1.0923818134528926,1.0923818134528926,0.0,0.0
adapter01_indoor_1,0.8955760856619316,0.8955801684386104,0.8696358941691799,4.08277667884871e-06,-0.02594019149275173,0.7712039009753554,0.7900214004649025,0.7692760287001155,0.01881749948954714,-0.001927872275239939,1.1060056229177246,1.1060056229177246,1.0614216590428966,0.0,-0.04458396387482799
backpack_blue_1,0.9808689629769388,0.8879383911462339,0.897430188350438,-0.09293057183070497,-0.08343877462650084,0.838279112715998,0.7413879552423469,0.7742337298200735,-0.09689115747365107,-0.06404538289592443,1.0732651831360291,0.9664917703391666,1.0261309738833602,-0.10677341279686259,-0.04713420925266898
backpack_indoor_1,0.22370078390145054,0.2212284194228278,0.2163795677735193,-0.0024723644786227295,-0.0073212161279312404,0.2582162459880627,0.25963080984241155,0.26105381446385867,0.0014145638543488492,0.0028375684757959707,0.5845852788546092,0.5845852788546092,0.5845852788546092,0.0,0.0
backpack_robotarm_lab_occ_1,0.373066636107681,0.3651467133174571,0.36126200125060826,-0.00791992279022391,-0.011804634857072727,0.38627288568914286,0.38405849219091387,0.391342973273981,-0.002214393498228995,0.005070087584838123,0.7282545423019284,0.7282545423019284,0.7282545423019284,0.0,0.0
backpack_room_noocc_1_1,1.9905014870886182,1.941487022240477,1.9214682802186542,-0.049014464848141204,-0.06903320686996395,2.1342091020344203,2.137080477652728,2.1788573927760067,0.0028713756183078587,0.04464829074158638,1.698022070571333,1.698022070571333,1.698022070571333,0.0,0.0
bag01_indoor_1,0.0968677624538012,0.0961501492037984,0.09555106206286673,-0.0007176132500028021,-0.0013167003909344693,0.14336061993736648,0.1445946128413103,0.14699732435367185,0.0012339929039438258,0.0036367044163053697,0.413668396477626,0.413668396477626,0.413668396477626,0.0,0.0
bag01_indoor_2,1.0771171599400244,1.0001937793673703,1.0847150326488184,-0.07692338057265413,0.0075978727087939735,0.7676744581882082,0.6579478321019921,0.9138235083282719,-0.10972662608621608,0.14614905014006363,0.9264569263272348,0.7827744039283849,1.0721339738634954,-0.14368252239884982,0.14567704753626065
bag01_indoor_4,0.14283718075757612,0.14198131556729024,0.14068063500609118,-0.0008558651902858816,-0.0021565457514849395,0.18682349440156662,0.18875663610902765,0.1916181812653985,0.0019331417074610335,0.004794686863831887,0.4916956688671183,0.4916956688671183,0.4916956688671183,0.0,0.0
bag02_indoor_1,0.22982850414474515,0.22875015836331938,0.22719646552994557,-0.0010783457814257658,-0.0026320386147995756,0.26259857745709053,0.26579920166360727,0.2705209298525134,0.0032006242065167334,0.007922352395422882,0.6006861445857743,0.6006861445857743,0.6006861445857743,0.0,0.0
