sequence,frames,visible_frames,selected_frames,precision_percent,recall_percent,f_score_percent
XMG_outside,1911,1890,1895,87.61001410598136,87.84178663007125,87.72574728181489
backpack_blue,1001,917,923,75.41317160441938,75.90660566071874,75.65908412052075
backpack_robotarm_lab_occ,1653,1439,1434,75.33633410337693,75.07456782782663,75.2052231842969
backpack_room_noocc_1,1383,1376,1379,84.27247905237498,84.4562126549601,84.36424581722329
bag_outside,2340,2155,2220,83.62248273893556,86.14473859881065,84.86487391105688
bicycle2_outside,1605,1170,1074,85.88565822944221,78.83862986189824,82.2114054709634
bicycle_outside,1373,1360,1369,86.40927760098181,86.981103702753,86.69424773597953
bottle_box,950,652,572,77.63686284160805,68.11086740091994,72.56255808071862
bottle_room_noocc_1,1253,1253,1249,83.48829573035394,83.22177283895617,83.35482123678024
bottle_room_occ_1,1522,1430,1494,27.450342457739787,28.678889253051214,28.051170746828475
box1_outside,2501,2501,2457,81.83064491341237,80.39100142033355,81.10443507553619
box_darkroom_noocc_1,1165,1098,1075,78.74054630224846,77.09115416659115,77.90712128386296
box_darkroom_noocc_10,873,873,871,80.52818232167844,80.34369622243062,80.43583348874076
box_darkroom_noocc_2,850,821,816,85.62915672601933,85.10766368871106,85.36761379160878
box_darkroom_noocc_3,1867,1827,1838,77.3220242283901,77.78756460414944,77.55409578814789
box_darkroom_noocc_4,1262,1225,1220,81.52747832069005,81.19471310305458,81.36075546113855
box_darkroom_noocc_5,2241,2190,2171,82.81057891935555,82.0921309743931,82.4497898802664
box_darkroom_noocc_6,1081,1081,1081,86.0578443261422,86.0578443261422,86.0578443261422
box_darkroom_noocc_7,702,702,667,84.60835021410954,80.38998517494453,82.44524410929301
box_darkroom_noocc_8,863,858,833,84.5412796289762,82.07795563046291,83.29140855226159
box_darkroom_noocc_9,758,758,748,80.49213485445324,79.430233339223,79.95765852739844
box_humans_room_occ_1,1098,1047,1048,87.01524543559177,87.0983545525312,87.05678015895005
box_room_noocc_1,952,876,821,81.30049376183412,76.19601070601121,78.66553374008937
box_room_noocc_2,406,406,406,89.18644364002074,89.18644364002074,89.18644364002074
box_room_noocc_3,1143,1143,1141,80.43772412036859,80.2969756967109,80.36728828488665
box_room_noocc_4,1266,1266,1257,81.66511529954302,81.08455760784011,81.37380097623907
box_room_noocc_5,1319,1319,1319,85.9561800811794,85.9561800811794,85.9561800811794
box_room_noocc_6,1128,1128,1127,87.68833099081978,87.61059310873571,87.64944481299679
box_room_noocc_7,1353,1353,1353,83.72987235924651,83.72987235924651,83.72987235924651
box_room_noocc_8,1058,1058,1058,83.06492761197332,83.06492761197332,83.06492761197332
box_room_noocc_9,1376,1288,1288,82.0771557161228,82.0771557161228,82.0771557161228
box_room_occ_1,1857,1414,1833,35.160448438083755,45.57928004738863,39.69762980413152
box_room_occ_2,1447,1188,1104,44.71953393659159,41.557546688549756,43.080598137868336
boxes_backpack_room_occ_1,1133,908,936,52.5461532463634,54.16651920550236,53.34403409826047
boxes_humans_room_occ_1,2311,1854,2151,49.5370421457719,57.47258773223051,53.210575608267355
boxes_office_occ_1,1266,1237,1212,46.85420869246295,45.90727642301139,46.37590929788901
boxes_room_occ_1,1295,1237,1247,83.17342453421129,83.84580468404323,83.50826118692551
cart_room_occ_1,999,914,860,32.294870827988234,30.38685876594079,31.311825154532
cartman,899,773,377,81.13229654292586,39.569050189758144,53.194566602927026
cartman_robotarm_lab_noocc,2058,2058,2058,80.03504684865926,80.03504684865926,80.03504684865926
case,960,848,936,31.719262583155654,35.01088417197369,33.28388988546378
container_room_noocc_1,1644,1644,1644,87.370130706088,87.370130706088,87.370130706088
dog_outside,1055,875,882,76.77720306612801,77.39142069065703,77.0830883373078
human_entry_occ_1,532,440,111,63.52906268810842,16.02664990540917,25.59610148232317
human_entry_occ_2,661,448,632,52.03209247987872,73.40241617697177,60.89681934682102
humans_corridor_occ_1,1193,638,848,55.565700279628174,73.85535084188824,63.418188206089766
humans_corridor_occ_2_A,1360,693,1009,51.62615563825395,75.16708663636109,61.21127031609663
humans_corridor_occ_2_B,1360,874,1036,59.46166208876292,70.48316009606224,64.5050072502182
humans_longcorridor_staricase_occ_1,1436,936,733,57.79325391961627,45.25903325115249,50.763876720286085
humans_shirts_room_occ_1_A,1533,1450,1465,72.21825648464714,72.96534189655728,72.58987701544291
humans_shirts_room_occ_1_B,1430,1111,1301,43.818617577175836,51.312350556170806,47.2703328921275
jug,874,796,761,81.3154407673677,77.74001309543571,79.48754068589189
mug_ankara,934,754,326,77.20486416380714,33.38035241034632,46.60886243963172
mug_gs,1029,870,642,78.15571458621493,57.67352731534482,66.37032905337301
paperpunch,859,747,779,37.32235351504345,38.92116919440275,38.10499788757385
person_outside,1728,1365,940,74.51436093350316,51.31391888461023,60.77527052277046
robot_corridor_noocc_1,799,632,633,87.97802439078578,88.11723012558133,88.047572236154
robot_corridor_occ_1,1819,1521,1522,74.29049248662561,74.33933567695212,74.3149060562893
robot_human_corridor_noocc_1_A,902,902,860,63.18795179006316,60.24571900161232,61.68176905726936
robot_human_corridor_noocc_1_B,902,902,902,56.25058895431746,56.25058895431746,56.25058895431746
robot_human_corridor_noocc_2,1065,972,974,74.57925038604075,74.73270563374865,74.65589915313844
robot_human_corridor_noocc_3_A,1679,1524,1556,55.05581755559504,56.21184522080438,55.62782604967915
robot_human_corridor_noocc_3_B,1134,1027,1057,58.43401302259355,60.140946217021785,59.27519363232376
robot_lab_occ,1643,1631,1591,84.53335554184036,82.46018925019499,83.48390357980634
teapot,950,857,847,86.04209180814493,85.03810007176051,85.53714995481074
tennis_ball,707,556,274,85.45605597983167,42.11323622027676,56.42158876740694
thermos_office_noocc_1,971,971,954,81.15627283247557,79.7354112071902,80.43956808538356
thermos_office_occ_1,1411,1314,265,85.35351568875919,17.21360856736772,28.649375120356158
toy_office_noocc_1,986,986,980,69.47261962228744,69.04986534466701,69.26059738539337
toy_office_occ_1,852,670,589,70.39296039009632,61.88276667129362,65.86410432051902
trashcan_room_occ_1,1305,979,860,39.07856277687692,34.32846168346696,36.549824891913154
trashcans_room_occ_1_A,847,679,690,18.727766774675175,19.031162112703786,18.878245543500178
trashcans_room_occ_1_B,944,827,782,56.32271220835404,53.25799388988255,54.747496515764894
trendNetBag_outside,2105,1614,1818,70.38610997625663,79.28249562381325,74.56989973009009
trendNet_outside,1818,1680,1273,78.29894005547744,59.33008969679927,67.50731506306995
trophy_outside,2001,1926,1649,76.7129174370791,65.67995890640884,70.7690074706257
trophy_room_noocc_1,1409,1406,1389,79.47588433942883,78.51493836946419,78.99248897850923
trophy_room_occ_1,1745,1522,1623,77.76462693720958,82.92509166825963,80.26199651452536
two_mugs,1134,1015,1042,52.00948142899209,53.392984875871676,52.69215328051507
two_tennis_balls,722,655,404,69.99182897117582,43.170532678404626,53.40264193457042
