sequence,frames,visible_frames,selected_frames,precision_percent,recall_percent,f_score_percent
adapter01_indoor,2775,2674,2635,49.477364359670574,48.75574236639191,49.11390283960518
backpack_indoor,2111,2052,2107,60.97079821626965,62.6050057707993,61.77709634127443
bag01_indoor,2463,2343,2391,68.11868358208375,69.51420078735052,68.80936731929118
bag02_indoor,2904,2758,2642,69.75489762707008,66.82104406480028,68.25645908545154
ball01_wild,531,398,446,58.94088091869223,66.04932886868527,62.29296893302544
ball06_indoor,781,718,557,60.8009200292137,47.16728754355436,53.123313656897295
ball10_wild,2089,2016,1887,56.05942867583323,52.47229261473081,54.206580533588166
ball11_wild,1576,1534,1459,82.58849455036918,78.55059553389088,80.51895325692524
ball15_wild,179,165,168,84.96550325344155,86.51033058532232,85.7309582377068
ball18_indoor,3699,3699,3687,82.45761792110208,82.19011551097685,82.32364941107593
ball20_indoor,1691,1508,1473,79.03324365037534,77.19891770358281,78.10531224220253
bandlight_indoor,1190,1190,1180,75.36137291929518,74.72808407123388,75.04339244284245
beautifullight02_indoor,975,975,975,83.31648045884951,83.31648045884951,83.31648045884951
book03_indoor,716,716,713,8.797595494108897,8.760734060474363,8.779126084394182
bottle04_indoor,2286,2161,2058,61.09016152193365,58.17841388807934,59.5987449216115
card_indoor,2416,2416,2356,29.612476028830788,28.877066855929357,29.24014816593685
cat01_indoor,3035,2952,2948,85.25279236637463,85.13727367753133,85.19499386307541
colacan03_indoor,2076,1668,2043,10.8731181416844,13.317614126775318,11.971856838297617
cube02_indoor,3816,3625,3732,25.311199402045297,26.058316184395323,25.67932477054045
cube03_indoor,610,594,577,61.27271846014123,59.5191221405749,60.38319137745771
cube05_indoor,2975,2856,2973,3.0696436477133218,3.1953958559704856,3.1312576993143617
cup01_indoor,1361,1335,1304,77.14465774030175,75.35328366543332,76.23844918026033
cup02_indoor,1758,1758,1756,51.834218529845735,51.77524899795739,51.80471698258914
cup04_indoor,2235,2164,2209,80.52059754064909,82.19500922703041,81.3491881853619
cup12_indoor,1006,953,920,33.47884257776859,32.31955421988154,32.888985767802566
developmentboard_indoor,1527,1389,1371,23.006732053848687,22.70858865790248,22.856688149149672
duck03_wild,492,488,486,82.60271250423664,82.26417679725206,82.43309707814991
dumbbells01_indoor,1056,1021,946,53.20409131227667,49.29585737650707,51.175465563206636
earphone01_indoor,1090,1090,1070,74.07454509127538,72.71537912629785,73.38866967376357
file01_indoor,1628,1621,1621,36.77927527569279,36.77927527569279,36.77927527569279
flag_indoor,1371,1371,1367,84.91391738364331,84.6661743715831,84.78986491120554
glass01_indoor,2233,2225,2175,78.51750794245086,76.75306956172162,77.62526353401392
hand01_indoor,1223,1169,971,47.425561101752734,39.392831334304454,43.03758862598309
human02_indoor,1740,1732,1731,79.20999346985099,79.16426021727024,79.18712024043434
lock02_indoor,521,521,516,87.34418911016574,86.50595313022174,86.92305030056997
mobilephone03_indoor,677,663,610,79.12283778261772,72.7977843852139,75.82864265105549
notebook01_indoor,2000,1891,1907,52.16405389889184,52.605420827703185,52.38380768045641
pigeon01_wild,668,668,650,80.18149220972445,78.02091307832471,79.08644906877224
pigeon02_wild,303,302,291,79.07701061764968,76.1967221514439,77.6101520733088
pigeon04_wild,143,143,115,87.60493853339464,70.4515239953873,78.09742582434407
pot_indoor,1056,817,995,71.34526210647778,86.88927270005554,78.35379226925538
roller_indoor,850,650,802,52.595585784275414,64.89486122921366,58.101459778221596
shoes02_indoor,1317,1297,1305,32.266282693393315,32.46530371231941,32.365487252020195
squirrel_wild,1010,943,862,73.66454977540306,67.33705398345434,70.35882759711627
stick_indoor,903,898,883,63.619678139387624,62.5569886381729,63.083858278584245
toiletpaper01_indoor,1600,1556,1504,79.34513860442073,76.69350158165089,77.99678984382274
toy02_indoor,1140,1140,1131,81.52954865476725,80.88589432328224,81.20644608414071
toy09_indoor,1344,1344,1303,64.91583983726376,62.93552031841866,63.91034326252715
ukulele01_indoor,1613,1608,1158,64.29962722960771,46.305328564605546,53.838733428695384
yogurt_indoor,1614,1614,1544,62.267074714129954,59.5665200487092,60.8868672315495
