sequence,old_inside,full_inside,old_outside,full_outside,old_template_writes,full_template_writes,old_training_loss,full_training_loss
cube04_indoor,1121,1121,1392,1392,33,36,3.906336576475881,3.8576127869457637
bag04_indoor,1569,1348,30,251,15,15,1.4743624652844805,1.5548420725268002
skateboard02_indoor,1958,1960,4,2,37,36,0.29917581919409814,0.3096290618166039
cat02_indoor,607,610,3,0,9,9,0.4186412108604048,0.39781524670905755
bottle02_indoor,2472,2006,65,531,23,21,0.6654766763776694,0.5861767798100621
bottle01_indoor,3972,3615,26,383,43,33,0.6126518172159299,0.6554340172958294
mushroom02_wild,321,321,4,4,3,3,0.2979407906417663,0.2965971988554184
book04_indoor,1098,1098,0,0,13,12,0.8465811830550052,0.8278790779126798
toydog_indoor,884,877,4,11,20,17,1.2922155606132504,0.28556837932298984
skateboard01_indoor,1161,1163,1044,1042,23,22,0.33645279375385373,0.2861067790241887
toy05_indoor,1343,1343,0,0,13,12,0.7987026454948793,0.6839629392779681
toy01_indoor,1255,1255,0,0,21,19,0.44641859860890415,0.43550938508247
cat05_indoor,631,649,159,141,10,10,0.3857999134573001,0.3901811169578305
leaves01_wild,71,71,21,21,0,0,0.8104077192104381,0.8310779307199561
ball04_indoor,1090,1091,319,318,1,0,0.911209301660505,0.9278433952900939
chair01_indoor,987,967,0,20,12,12,0.5369361602185103,0.48005965128993916
swing02_wild,776,776,0,0,12,11,0.4576166644116345,0.4634613158354132
ball03_indoor,760,755,93,98,7,7,0.7024017576333507,0.6622268664634242
duck04_wild,709,709,0,0,13,13,0.1873340494090058,0.1842095546886766
speaker_indoor,1743,1984,1338,1097,6,5,0.5603030790347081,0.5352973929421685
mushroom03_wild,391,391,0,0,0,4,0.448982644702315,0.39653697160198864
mushroom05_indoor,658,769,287,176,6,7,0.49802497557546727,0.574681334449816
mobilephone05_indoor,708,729,245,224,7,8,0.350204099814045,0.33369683341493545
ball17_wild,1183,1183,91,91,13,13,0.3905220601606816,0.3864476143987776
pine02_wild_320,192,170,66,88,4,0,0.508775416934906,0.44834772415834573
basket_indoor,748,793,45,0,7,7,0.8001433699045326,0.8607649832569335
book05_indoor,1496,1496,0,0,16,14,0.7238130910112897,0.7509757301516153
leaves04_indoor,1463,1465,42,40,5,5,1.5060601265240845,1.55758111062537
book02_indoor,1493,1493,0,0,25,26,0.31764642084834566,0.3233673851600207
dumbbells02_indoor,1346,1326,0,20,9,11,1.292795008704354,1.144448333644041
bike02_wild,293,293,0,0,5,5,0.14857227631142114,0.14685976626065403
book01_indoor,1437,1439,2,0,25,24,0.5770888625151627,0.5557839803584049
bottle03_indoor,2999,3000,2,1,43,45,0.5148357211567787,0.5308850544819194
glass04_indoor,773,447,187,513,8,14,0.8743219781822215,3.4658616166969294
colacan02_indoor,3198,2921,403,680,45,29,0.47733115186318037,0.56105871015209
candlecup_indoor,700,700,0,0,7,8,0.3337585325539112,0.33320467581706387
ball08_wild,776,1396,928,308,7,15,0.479519365376927,0.978575855821271
milkbottle_indoor,2596,2596,67,67,34,30,0.4838914970202505,0.5073603477008666
parkingsign_wild,426,426,0,0,7,7,0.24012050971808568,0.23709254120717027
teacup_indoor,703,594,15,124,4,4,0.4899655525173089,0.4247553009737003
suitcase_indoor,1253,1242,1,12,23,24,0.3071824429791415,0.3559046590394761
bottle06_indoor,283,283,0,0,2,2,0.47819486381518966,0.4875191599920445
toy08_indoor,2015,2020,6,1,21,22,0.5432971353711306,0.6311362194250356
