arm,sequence,frames,anchors,confirmed_failures,eao_percent,acc_percent,rob_percent,accuracy_weight_progress_frames,robustness_weight_sequence_frames,eao_active_bins_in_score_slice
default,cup02_indoor_1,1753,36,36,44.58825025042802,87.40608663446397,18.86666108646522,9016,1753,640
default,shoes02_indoor_1,614,13,12,26.47612533700901,86.66830747482263,26.271047899297038,1607,614,640
default,cube05_indoor_5,492,11,9,33.17860828995254,73.87498276331864,49.09176692616183,2081,492,640
default,shoes02_indoor_2,111,4,2,18.34244634705944,91.78550060770657,80.20833333333334,308,111,640
default,bandlight_indoor_1,1185,25,5,72.57353507740434,79.24243018136158,85.22792589644958,19276,1185,640
default,earphone01_indoor_1,1085,20,2,67.92966670326743,70.80516538306438,91.95982885666746,15475,1085,640
default,toy09_indoor_1,1339,26,26,59.986362896097354,85.00994229343368,43.42647732478241,11376,1339,640
default,duck03_wild_1,218,6,0,13.403495226290667,82.68528125124111,100.0,1074,218,103
default,two_tennis_balls_3,130,4,3,12.071281710070028,62.683456158780736,68.93424036281179,304,130,640
default,cube05_indoor_6,728,16,1,83.2101219510406,85.91193395385997,97.76840235372488,8806,728,640
default,duck03_wild_2,247,6,0,17.679860222534852,84.66915654659584,100.0,1190,247,132
default,cube02_indoor_1,572,13,7,57.19949581376943,88.22056610870057,74.56140350877193,4335,572,640
default,cube02_indoor_2,590,13,0,65.79766183664745,87.94213903136196,100.0,5934,590,475
default,cube05_indoor_1,111,4,2,12.422343804042102,86.78693216514064,67.44791666666666,259,111,640
default,yogurt_indoor_1,1609,34,2,67.2995036500433,68.53126362937978,96.17023313705778,40178,1609,640
default,cube05_indoor_2,146,4,0,4.339054267799119,87.3004381779969,100.0,434,146,31
default,cube05_indoor_4,299,7,4,50.27520487938936,89.4671726694136,95.56500607533415,1573,299,640
default,humans_shirts_room_occ_1_A_2,602,13,6,56.78038592816268,69.71157295946063,84.69251336898395,5068,602,640
default,ball06_indoor_2,337,8,7,21.382876641818978,72.52411904926328,43.84398496240601,933,337,640
default,robot_human_corridor_noocc_1_B_1,897,19,0,62.923553296471255,62.686801437114745,100.0,13029,897,640
default,squirrel_wild_1,368,9,0,33.32044775640663,84.16161659871932,100.0,2639,368,253
default,humans_shirts_room_occ_1_B_1,511,12,0,45.69646645659968,73.23635466537773,100.0,4832,511,396
no_update,cup02_indoor_1,1753,36,36,40.62860761827006,87.78054570131833,14.223235958818115,6797,1753,640
no_update,shoes02_indoor_1,614,13,12,25.96503399420164,86.07569616291956,25.666176230178188,1570,614,640
no_update,cube05_indoor_5,492,11,8,30.826984442461665,76.6283284577146,49.32767162066526,2091,492,640
no_update,shoes02_indoor_2,111,4,2,18.32974896403932,91.42811977730561,80.20833333333334,308,111,640
no_update,bandlight_indoor_1,1185,25,14,65.80596007810058,79.04941274759275,64.81849935888934,14660,1185,640
no_update,earphone01_indoor_1,1085,20,7,64.52908561620994,68.7886464257188,78.9576895650107,13287,1085,640
no_update,toy09_indoor_1,1339,26,26,61.54989472157736,82.76834462186663,47.06825469537334,12330,1339,640
no_update,duck03_wild_1,218,6,0,13.403529534331499,82.42645360514446,100.0,1074,218,103
no_update,two_tennis_balls_3,130,4,3,12.071281710070028,62.683456158780736,68.93424036281179,304,130,640
no_update,cube05_indoor_6,728,16,2,79.64956672903078,85.13431200710664,95.53680470744976,8605,728,640
no_update,duck03_wild_2,247,6,0,17.151666845552633,82.6876217788156,100.0,1190,247,132
no_update,cube02_indoor_1,572,13,7,57.2529272900322,88.25211166414377,74.56140350877193,4335,572,640
no_update,cube02_indoor_2,590,13,2,67.97811125096548,88.10763780489236,90.0067408156387,5341,590,640
no_update,cube05_indoor_1,111,4,1,2.1430201835742353,86.57581501350354,73.4375,282,111,640
no_update,yogurt_indoor_1,1609,34,7,66.32295882668441,68.47354144311464,89.04447316769591,37201,1609,640
no_update,cube05_indoor_2,146,4,0,4.344879500415875,88.5288780910533,100.0,434,146,31
no_update,cube05_indoor_4,299,7,3,49.19453968134961,89.40484013849525,96.71931956257595,1592,299,640
no_update,humans_shirts_room_occ_1_A_2,602,13,10,45.500759111268444,68.58953205974892,61.19652406417112,3662,602,640
no_update,ball06_indoor_2,337,8,7,21.382876641818978,72.52411904926328,43.84398496240601,933,337,640
no_update,robot_human_corridor_noocc_1_B_1,897,19,3,60.40183823866456,64.37270398786536,90.85117814106992,11837,897,640
no_update,squirrel_wild_1,368,9,0,33.40411818590563,84.224639491696,100.0,2639,368,253
no_update,humans_shirts_room_occ_1_B_1,511,12,5,56.48763741486109,75.12889788714628,86.25827814569537,4168,511,640
