anchor_key,sequence,anchor,direction,progress,run_length,source_frame_zero_based,source_frame_one_based,previous_iou,failure_iou,failure_confidence,h10_mean_confidence,h10_mean_iou,prediction_center_error_gt_scale,prediction_to_gt_area_ratio,minimum_factor_for_target_center,minimum_factor_for_full_target_box,onset_search_class,factor4_crop_side,factor4_center_inside,factor4_box_fraction_inside,factor4_box_fully_inside,factor6_center_inside,factor7_center_inside,h10_factor4_center_inside_count,h10_factor6_center_inside_count,h10_factor7_center_inside_count
ball06_indoor_2@0F,ball06_indoor_2,0,forward,193,337,193,194,0.7094594594594594,0.0,0.37966958,0.572059636,0.0,1.2621731349768075,1.3934097649485306,1.248187572254628,2.1500572901408415,inside_factor4,94,True,1.0,True,True,True,2,3,3
ball06_indoor_2@149F,ball06_indoor_2,149,forward,44,188,193,194,0.7407407407407407,0.0,0.3791351,0.5530376610000001,0.0,1.24995061177051,1.3526423396637792,1.2430840401656984,2.1446567084848427,inside_factor4,94,True,1.0,True,True,True,2,3,3
ball06_indoor_2@199B,ball06_indoor_2,199,backward,87,200,112,113,0.6842105263157895,0.017654476670870115,0.33844253,0.552420106,0.0017654476670870116,1.1155647421114987,1.163620753121062,1.3851911911573174,2.350227178819051,inside_factor4,112,True,1.0,True,True,True,2,2,3
ball06_indoor_2@298B,ball06_indoor_2,298,backward,46,299,252,253,0.75,0.0,0.4437212,0.419535164,0.0,1.1270799390813173,1.0023474944897648,2.056176497934869,2.97898488929468,inside_factor4,96,True,1.0,True,True,True,1,2,2
ball06_indoor_2@329B,ball06_indoor_2,329,backward,77,330,252,253,0.6873977086743044,0.0,0.25543824,0.428668787,0.0,1.1423844754945076,0.9728208886923967,2.142298521365228,3.095220566981084,inside_factor4,93,True,1.0,True,True,True,1,2,2
ball06_indoor_2@50F,ball06_indoor_2,50,forward,143,287,193,194,0.7692307692307693,0.0,0.39331332,0.596898141,0.0,1.2520821480684994,1.3038370102565129,1.3054374557018644,2.230929656575771,inside_factor4,91,True,1.0,True,True,True,2,3,3
ball06_indoor_2@99F,ball06_indoor_2,99,forward,94,238,193,194,0.6840390879478827,0.0,0.36741152,0.5419672170000001,0.0,1.2398325031307065,1.3794839121185472,1.1816134240742486,2.0677443563950857,inside_factor4,95,True,1.0,True,True,True,2,3,3
bandlight_indoor_1@1050B,bandlight_indoor_1,1050,backward,280,1051,770,771,0.40087829360100374,0.05752111390093586,0.42527193,0.615222692,0.05151397959175667,1.0606901263093274,0.656690987355557,1.1026259583009765,3.939099451435184,inside_factor4,158,True,1.0,True,True,True,10,10,10
bandlight_indoor_1@1100B,bandlight_indoor_1,1100,backward,327,1101,773,774,0.1573861021629084,0.06401137980085349,0.37296525,0.64864055,0.051674159671836806,1.101590607196723,0.6777150048873991,2.1053774055985492,4.554375879850209,inside_factor4,182,True,0.8918918918918919,False,True,True,10,10,10
bandlight_indoor_1@500F,bandlight_indoor_1,500,forward,432,685,932,933,0.7212238950947062,0.0,0.17385459,0.619075606,0.0,1.5313979217724136,0.5782748006990829,0.03785717767463756,1.1744800601640202,inside_factor4,226,True,1.0,True,True,True,9,10,10
bandlight_indoor_1@850B,bandlight_indoor_1,850,backward,77,851,773,774,0.1339044183949504,0.06716768435885392,0.63605404,0.694772351,0.05769232013244033,1.101233090077229,0.7045306921742819,2.2603013661554114,4.717841417541571,inside_factor4,181,True,0.8558558558558559,False,True,True,10,10,10
bandlight_indoor_1@900B,bandlight_indoor_1,900,backward,132,901,768,769,0.11182108626198083,0.09325311559948432,0.6227115,0.538282882,0.08268617523600014,1.0301368191072167,0.8225610757136539,2.000402440609176,4.290956510415056,inside_factor4,196,True,0.9375,False,True,True,10,10,10
cube02_indoor_1@300B,cube02_indoor_1,300,backward,127,301,173,174,0.9079236977256053,0.0,0.20988874,0.681060392,0.0,4.276635715338894,0.43224876416155916,5.848641030560799,6.827249733039487,factor6_only,201,False,0.0,False,True,True,0,1,1
cube02_indoor_1@350B,cube02_indoor_1,350,backward,177,351,173,174,0.8682170542635659,0.0,0.21735857,0.688051958,0.0,4.276721340453734,0.44003733544101237,5.783385309820338,6.755324141578976,factor6_only,202,False,0.0,False,True,True,0,1,1
cube02_indoor_1@400B,cube02_indoor_1,400,backward,227,401,173,174,0.905823148813803,0.0,0.1979366,0.6917334589999999,0.0,4.2796977696153995,0.44282392597276443,5.767637829892788,6.733258053196756,factor6_only,203,False,0.0,False,True,True,0,1,1
cube02_indoor_1@450B,cube02_indoor_1,450,backward,16,451,434,435,0.13775245986535473,0.0,0.51334625,0.838943876,0.0,0.9826086489922057,0.6965828490422775,1.876395748646694,2.9598163934906423,inside_factor4,185,True,1.0,True,True,True,7,10,10
cube02_indoor_1@506B,cube02_indoor_1,506,backward,333,507,173,174,0.8533145275035261,0.0,0.2262752,0.682200438,0.0,4.275541261840876,0.4275648409761162,5.785095967898334,6.7586198322870725,factor6_only,202,False,0.0,False,True,True,0,1,1
cube02_indoor_1@550B,cube02_indoor_1,550,backward,377,551,173,174,0.8533145275035261,0.0,0.2066856,0.687820155,0.0,4.262775415226444,0.4347679765668136,5.802803813355486,6.778036888700305,factor6_only,201,False,0.0,False,True,True,0,1,1
cube02_indoor_1@569B,cube02_indoor_1,569,backward,396,570,173,174,0.889967637540453,0.0,0.18570149,0.717021822,0.0,4.269721014076718,0.43500469956520754,5.856460128368365,6.834852347281081,factor6_only,201,False,0.0,False,True,True,0,1,1
cube05_indoor_1@0F,cube05_indoor_1,0,forward,9,111,9,10,0.9433962264150944,0.09751243781094528,0.48176083,0.820601138,0.022493117820389135,0.8112659400291417,0.9286764992314641,0.34752219714463056,1.2898302280855172,inside_factor4,203,True,1.0,True,True,True,10,10,10
