sequence,frames,default_valid_frames,default_iou_sum,default_mean_iou,default_low_iou_frames,default_failure_episodes,pooled_valid_frames,pooled_iou_sum,pooled_mean_iou,pooled_low_iou_frames,pooled_failure_episodes,pooled_changes,spatial_valid_frames,spatial_iou_sum,spatial_mean_iou,spatial_low_iou_frames,spatial_failure_episodes,spatial_changes
bag05_indoor,889,587,485.992161220083,0.8279253172403458,25,1,587,500.69093078214246,0.8529658105317589,8,0,5,587,498.43376190525754,0.849120548390558,12,0,8
ball07_indoor,2519,2179,796.8161301712615,0.3656797293121898,1288,8,2179,795.8880166649467,0.3652537937884106,1290,8,14,2179,795.8880166649467,0.3652537937884106,1290,8,11
ball19_indoor,1381,1380,1155.8912274051568,0.8376023386993889,19,1,1380,1155.7920395962467,0.837530463475541,19,1,1,1380,1155.8912274051568,0.8376023386993889,19,1,0
beautifullight01_indoor,1270,910,559.4832711270465,0.6148167814582928,270,4,910,559.4832711270465,0.6148167814582928,270,4,1,910,559.4832711270465,0.6148167814582928,270,4,0
book06_indoor,1991,1545,1013.7672081692652,0.6561600052875504,381,3,1545,1000.939991560442,0.6478575997154964,392,4,26,1545,1246.0234967121,0.8064877001372815,108,4,24
car01_indoor,1542,1402,547.1864382255281,0.39028989887698157,814,3,1402,547.1864382255281,0.39028989887698157,814,3,0,1402,547.1864382255281,0.39028989887698157,814,3,0
car02_indoor,753,565,391.6098153367722,0.6931147174102164,143,2,565,389.03437164353795,0.6885564099885627,145,2,1,565,392.37323432319454,0.6944659014569815,141,2,1
colacan01_indoor,3056,2801,283.33593647718,0.10115527899935023,2464,10,2801,493.78165281211915,0.17628763042203469,2218,10,27,2801,742.4553291420074,0.2650679504255649,1921,10,33
colacan04_indoor,1001,567,156.80810544827293,0.2765575051997759,392,12,567,156.80810544827293,0.2765575051997759,392,12,0,567,156.80810544827293,0.2765575051997759,392,12,1
container01_indoor,761,621,574.9543623699495,0.9258524353783406,4,0,621,574.9543623699495,0.9258524353783406,4,0,0,621,574.9543623699495,0.9258524353783406,4,0,0
cup08_indoor,1451,1321,1098.2726139509293,0.8313948629454423,103,1,1321,1114.4972005505592,0.8436769118475089,84,1,2,1321,1113.6606504577373,0.8430436415274317,84,1,4
cup10_indoor,2196,2147,1859.9395587554895,0.8662969533094967,77,1,2147,1859.293131490677,0.8659958693482427,78,1,18,2147,1876.9074016041207,0.8742000007471452,59,1,7
cup13_indoor,1762,1658,1276.8300872565617,0.7701025858000975,111,3,1658,1342.9905918864044,0.8100063883512693,29,1,23,1658,1313.4763534253536,0.7922052795086572,63,2,21
egg_indoor,3552,3433,2522.4921413802276,0.7347777865948814,523,9,3433,1258.5026195021208,0.36658975225811846,1983,17,128,3433,1948.1712232133889,0.5674836071113862,1152,12,60
flower02_wild,656,467,303.80563875152296,0.6505474063201776,100,2,467,363.68125821280256,0.7787607242244167,29,0,4,467,305.79241207284986,0.6548017389140254,97,1,2
flower03_indoor,744,547,458.55314687342366,0.8383055701525113,0,0,547,457.8544665397674,0.8370282752098124,0,0,2,547,457.8533742231419,0.8370262782872795,0,0,2
flowerbasket_indoor,1001,851,648.4832839275659,0.7620250104906767,123,3,851,663.0109439351706,0.7790962913456765,108,1,11,851,663.1568161374756,0.7792677040393368,108,1,6
ghostmask_indoor,1165,1025,733.9882352702633,0.7160860831905008,193,3,1025,786.8041471064474,0.7676138020550707,133,2,17,1025,710.3359310145999,0.6930106644044877,235,3,4
glass03_indoor,675,570,431.8285333006747,0.7575939180713591,111,3,570,431.8285333006747,0.7575939180713591,111,3,0,570,431.8285333006747,0.7575939180713591,111,3,0
mobilephone01_indoor,1418,1217,888.2215484229087,0.7298451507172626,207,5,1217,725.309728782623,0.5959816999035522,397,6,11,1217,752.8220901102069,0.6185884060067436,364,5,7
mobilephone02_indoor,701,610,519.2774090781404,0.8512744411117056,1,0,610,515.9842310910802,0.845875788673902,1,0,5,610,515.2100044000607,0.8446065645902635,1,0,8
notebook02_indoor,2646,2494,2139.845474085696,0.8579973833543287,48,1,2494,2136.9960442546335,0.8568548693883855,48,1,12,2494,2128.586690688696,0.8534830355608243,53,2,8
