sequence,frames,geometry_changes,appearance_changes,default_valid_frames,default_iou_sum,default_mean_iou,default_low_iou_frames,default_failure_episodes,geometry_valid_frames,geometry_iou_sum,geometry_mean_iou,geometry_low_iou_frames,geometry_failure_episodes,appearance_valid_frames,appearance_iou_sum,appearance_mean_iou,appearance_low_iou_frames,appearance_failure_episodes
bag05_indoor,889,49,111,587,485.992161220083,0.8279253172403458,25,1,587,500.97209883387524,0.8534448021020021,4,0,587,491.7979889946287,0.837815994880117,12,0
ball07_indoor,2519,66,117,2179,796.8161301712615,0.3656797293121898,1288,8,2179,797.4071748220705,0.3659509751363334,1287,8,2179,1772.534309600252,0.8134622806793264,213,6
ball19_indoor,1381,42,34,1380,1155.8912274051568,0.8376023386993889,19,1,1380,1152.9230420339622,0.8354514797347552,19,1,1380,1155.9703869982393,0.8376597007233618,19,1
beautifullight01_indoor,1270,19,285,910,559.4832711270465,0.6148167814582928,270,4,910,429.9919945820742,0.4725186753649167,420,7,910,502.89730610464505,0.5526344023127968,327,5
book06_indoor,1991,128,294,1545,1013.7672081692652,0.6561600052875504,381,3,1545,1194.6663277858192,0.7732468141008538,152,3,1545,981.5252390739532,0.6352914168763452,389,3
car01_indoor,1542,2,45,1402,547.1864382255281,0.39028989887698157,814,3,1402,540.3245383529111,0.38539553377525754,821,3,1402,542.2087886000575,0.3867395068474019,814,3
car02_indoor,753,12,32,565,391.6098153367722,0.6931147174102164,143,2,565,398.67274466219425,0.7056154772782199,134,2,565,511.1585161593605,0.9047053383351513,14,1
colacan01_indoor,3056,75,400,2801,283.33593647718,0.10115527899935023,2464,10,2801,282.99295622010715,0.10103282978225889,2464,10,2801,703.2506429483814,0.2510712755974228,1962,11
colacan04_indoor,1001,8,40,567,156.80810544827293,0.2765575051997759,392,12,567,157.71848526613775,0.2781631133441583,391,12,567,184.0807568783386,0.32465741953851607,361,11
container01_indoor,761,6,17,621,574.9543623699495,0.9258524353783406,4,0,621,575.0833902213976,0.9260602096962924,3,0,621,573.1173662470852,0.9228943095766268,3,0
cup08_indoor,1451,15,21,1321,1098.2726139509293,0.8313948629454423,103,1,1321,1111.5973098862253,0.8414816880289366,86,1,1321,1109.9712583059957,0.8402507632899285,84,1
cup10_indoor,2196,84,233,2147,1859.9395587554895,0.8662969533094967,77,1,2147,1859.3647382259517,0.8660292213441787,64,1,2147,1733.75578219859,0.8075248170463857,157,3
cup13_indoor,1762,361,701,1658,1276.8300872565617,0.7701025858000975,111,3,1658,1289.0274767826459,0.7774592742959263,64,2,1658,1258.5863099217368,0.7590991012796965,77,2
egg_indoor,3552,319,925,3433,2522.4921413802276,0.7347777865948814,523,9,3433,1850.217293216144,0.53895056604024,1306,18,3433,1532.5725317562963,0.4464236911611699,1636,19
flower02_wild,656,42,153,467,303.80563875152296,0.6505474063201776,100,2,467,353.16992546456873,0.756252517054751,42,2,467,302.1720918977998,0.6470494473186291,99,1
flower03_indoor,744,13,21,547,458.55314687342366,0.8383055701525113,0,0,547,457.95724344313265,0.8372161671720889,0,0,547,456.9699152222997,0.8354111795654473,0,0
flowerbasket_indoor,1001,71,122,851,648.4832839275659,0.7620250104906767,123,3,851,653.3533025492154,0.7677477115736961,112,2,851,657.6118591792858,0.7727518909274804,102,2
ghostmask_indoor,1165,26,138,1025,733.9882352702633,0.7160860831905008,193,3,1025,780.9135121024575,0.7618668410755683,139,2,1025,829.0872221190673,0.8088655825551876,14,0
glass03_indoor,675,1,3,570,431.8285333006747,0.7575939180713591,111,3,570,96.64532509729571,0.1695532019250802,469,5,570,96.63470767414621,0.1695345748669232,468,5
mobilephone01_indoor,1418,60,218,1217,888.2215484229087,0.7298451507172626,207,5,1217,725.873091015516,0.5964446105304158,390,6,1217,657.5890048813078,0.5403360763198913,457,9
mobilephone02_indoor,701,43,249,610,519.2774090781404,0.8512744411117056,1,0,610,510.25575982328047,0.8364848521693122,1,0,610,339.5218004686163,0.5565931155223217,205,1
notebook02_indoor,2646,112,213,2494,2139.845474085696,0.8579973833543287,48,1,2494,2113.1513618837525,0.8472940504746401,68,2,2494,2116.878308590005,0.8487884156335225,53,1
