sequence,valid_frames,iou_sum,mean_iou,low_iou_frames,failure_episodes,changes,proposals,vetoed,mean_iou_gain,low_frame_delta,episode_delta
ball07_indoor,2179,1807.2602403921587,0.8293989171143454,182,5,2,7,5,0.46371918780215565,-1106,-3
ball19_indoor,1380,1155.7644038133485,0.8375104375459047,19,1,2,4,2,-9.190115348423067e-05,0,0
book06_indoor,1545,1010.7709135464722,0.6542206560171341,382,3,4,64,60,-0.0019393492704162796,1,0
car01_indoor,1402,547.0194700853303,0.3901708060523041,814,3,1,2,1,-0.00011909282467748028,0,0
car02_indoor,565,391.6098153367722,0.6931147174102164,143,2,0,0,0,0.0,0,0
colacan04_indoor,567,156.80810544827293,0.2765575051997759,392,12,0,7,7,0.0,0,0
cup08_indoor,1321,1097.7479998183262,0.8309977288556595,103,1,1,18,17,-0.0003971340897828135,0,0
egg_indoor,3433,2484.959861199282,0.723844993067079,564,8,22,552,530,-0.010932793527802409,41,-1
flowerbasket_indoor,851,662.8298427934944,0.7788834815434718,109,1,2,7,5,0.016858471052795032,-14,-2
glass03_indoor,570,431.8285333006747,0.7575939180713591,111,3,0,0,0,0.0,0,0
mobilephone02_indoor,610,346.7012646395895,0.5683627289173598,205,1,1,5,4,-0.28291171219434574,204,1
bag05_indoor,587,485.992161220083,0.8279253172403458,25,1,0,5,5,0.0,0,0
beautifullight01_indoor,910,559.5465389513124,0.6148863065399037,271,4,1,9,8,6.952508161095494e-05,1,0
colacan01_indoor,2801,1215.8866750515515,0.4340902088723854,1349,10,6,46,40,0.3329349298730352,-1115,0
container01_indoor,621,574.9543623699495,0.9258524353783406,4,0,0,1,1,0.0,0,0
cup10_indoor,2147,1860.0272385613944,0.8663377915982274,74,1,2,55,53,4.0838288730693506e-05,-3,0
cup13_indoor,1658,1269.6340674032826,0.7657624049476977,115,3,2,31,29,-0.004340180852399844,4,0
flower02_wild,467,302.9872492736856,0.6487949663248086,101,2,2,16,14,-0.001752439995369004,1,0
flower03_indoor,547,458.55314687342366,0.8383055701525113,0,0,0,0,0,0.0,0,0
ghostmask_indoor,1025,733.9882352702633,0.7160860831905008,193,3,0,51,51,0.0,0,0
mobilephone01_indoor,1217,963.4859601304515,0.7916893674038221,121,2,5,23,18,0.06184421668655948,-86,-3
notebook02_indoor,2494,2131.0671486533515,0.8544776057150567,54,2,3,11,8,-0.003519777639272026,6,1
