key,sequence,source_frame,inside_factor4,top10_capacity_iou_ge_0_5,native_rank_one_based,nearest_center_rank_one_based,previous_box_iou_rank_one_based,velocity_box_iou_rank_one_based,native_iou,nearest_center_iou,previous_box_iou_iou,velocity_box_iou_iou
ball06_indoor_2@0F,ball06_indoor_2,193,True,True,1,9,9,2,0.0,0.2845528455284553,0.2845528455284553,0.6542056074766355
ball06_indoor_2@149F,ball06_indoor_2,193,True,True,1,9,9,2,0.0,0.2930232558139535,0.2930232558139535,0.6542056074766355
ball06_indoor_2@199B,ball06_indoor_2,112,True,True,1,9,9,4,0.017654476670870115,0.22865627319970305,0.22865627319970305,0.5864022662889519
ball06_indoor_2@298B,ball06_indoor_2,252,True,True,1,8,5,6,0.0,0.0,0.17509727626459143,0.3818646232439336
ball06_indoor_2@329B,ball06_indoor_2,252,True,True,1,5,5,3,0.0,0.09311348205625607,0.09311348205625607,0.5982905982905983
ball06_indoor_2@50F,ball06_indoor_2,193,True,True,1,9,9,2,0.0,0.22702702702702704,0.22702702702702704,0.6042296072507553
ball06_indoor_2@99F,ball06_indoor_2,193,True,True,1,9,9,2,0.0,0.2692307692307692,0.2692307692307692,0.6069364161849711
bandlight_indoor_1@1050B,bandlight_indoor_1,770,True,False,1,2,2,2,0.05752111390093586,0.433026433026433,0.433026433026433,0.433026433026433
bandlight_indoor_1@1100B,bandlight_indoor_1,773,True,False,1,1,1,5,0.06401137980085349,0.06401137980085349,0.06401137980085349,0.0867713004484305
bandlight_indoor_1@500F,bandlight_indoor_1,932,True,True,1,2,2,8,0.0,0.7910447761194029,0.7910447761194029,0.8184679958027282
bandlight_indoor_1@850B,bandlight_indoor_1,773,True,False,1,1,1,1,0.06716768435885392,0.06716768435885392,0.06716768435885392,0.06716768435885392
bandlight_indoor_1@900B,bandlight_indoor_1,768,True,False,1,1,1,1,0.09325311559948432,0.09325311559948432,0.09325311559948432,0.09325311559948432
cube02_indoor_1@300B,cube02_indoor_1,173,False,False,1,7,7,7,0.0,0.0,0.0,0.0
cube02_indoor_1@350B,cube02_indoor_1,173,False,False,1,7,7,7,0.0,0.0,0.0,0.0
cube02_indoor_1@400B,cube02_indoor_1,173,False,False,1,6,6,6,0.0,0.0,0.0,0.0
cube02_indoor_1@450B,cube02_indoor_1,434,True,True,1,4,4,5,0.0,0.03744939271255061,0.03744939271255061,0.0
cube02_indoor_1@506B,cube02_indoor_1,173,False,False,1,7,7,7,0.0,0.0,0.0,0.0
cube02_indoor_1@550B,cube02_indoor_1,173,False,False,1,7,10,10,0.0,0.0,0.0,0.0
cube02_indoor_1@569B,cube02_indoor_1,173,False,False,1,7,7,7,0.0,0.0,0.0,0.0
cube05_indoor_1@0F,cube05_indoor_1,9,True,True,1,5,5,2,0.09751243781094528,0.5550885619933954,0.5550885619933954,0.6064880112834978
cube05_indoor_1@110B,cube05_indoor_1,22,True,True,1,2,2,2,0.0,0.7075442409189693,0.7075442409189693,0.7075442409189693
cube05_indoor_4@0F,cube05_indoor_4,281,True,True,1,2,2,2,0.0,0.8774703557312253,0.8774703557312253,0.8774703557312253
cube05_indoor_4@100F,cube05_indoor_4,281,True,True,1,2,2,2,0.0,0.8560411311053985,0.8560411311053985,0.8560411311053985
cube05_indoor_4@149F,cube05_indoor_4,281,True,True,1,2,2,2,0.0,0.7916666666666666,0.7916666666666666,0.7916666666666666
cube05_indoor_4@50F,cube05_indoor_4,280,True,True,1,2,2,2,0.0,0.8993923024983119,0.8993923024983119,0.8993923024983119
cube05_indoor_5@0F,cube05_indoor_5,62,True,True,1,2,2,2,0.03382949932341001,0.87,0.87,0.87
cube05_indoor_5@100F,cube05_indoor_5,382,True,False,1,1,1,7,0.09230769230769231,0.09230769230769231,0.09230769230769231,0.05783530707793996
cube05_indoor_5@150F,cube05_indoor_5,382,True,False,1,1,1,1,0.0711135611907387,0.0711135611907387,0.0711135611907387,0.0711135611907387
cube05_indoor_5@200F,cube05_indoor_5,382,True,False,1,1,1,7,0.08200836820083682,0.08200836820083682,0.08200836820083682,0.03437926330150068
cube05_indoor_5@387B,cube05_indoor_5,297,True,True,1,1,1,1,0.06260671599317018,0.06260671599317018,0.06260671599317018,0.06260671599317018
cube05_indoor_5@400B,cube05_indoor_5,297,True,True,1,1,1,1,0.06184987348889514,0.06184987348889514,0.06184987348889514,0.06184987348889514
cube05_indoor_5@450B,cube05_indoor_5,393,True,True,1,2,2,2,0.0,0.8686868686868687,0.8686868686868687,0.8686868686868687
cube05_indoor_5@491B,cube05_indoor_5,297,True,True,1,1,1,1,0.06260671599317018,0.06260671599317018,0.06260671599317018,0.06260671599317018
cube05_indoor_5@50F,cube05_indoor_5,382,True,False,1,1,1,1,0.08190476190476191,0.08190476190476191,0.08190476190476191,0.08190476190476191
cube05_indoor_6@100F,cube05_indoor_6,527,True,True,1,1,1,1,0.0261172373766686,0.0261172373766686,0.0261172373766686,0.0261172373766686
cup02_indoor_1@0F,cup02_indoor_1,455,True,True,1,2,2,2,0.0,0.8516689709658305,0.8516689709658305,0.8516689709658305
cup02_indoor_1@1006B,cup02_indoor_1,946,True,False,1,6,6,1,0.083595952894344,0.18738049713193117,0.18738049713193117,0.083595952894344
cup02_indoor_1@100F,cup02_indoor_1,916,True,True,1,3,3,4,0.07805676855895197,0.33729398236872365,0.33729398236872365,0.16587950696924317
cup02_indoor_1@1050B,cup02_indoor_1,1018,True,True,1,2,2,2,0.010061311114604623,0.8747668531841194,0.8747668531841194,0.8747668531841194
cup02_indoor_1@1100B,cup02_indoor_1,1018,True,True,1,2,2,2,0.010220125786163521,0.7261706679343951,0.7261706679343951,0.7261706679343951
cup02_indoor_1@1150B,cup02_indoor_1,1018,True,True,1,2,2,2,0.010165184243964422,0.8765044479330194,0.8765044479330194,0.8765044479330194
cup02_indoor_1@1200B,cup02_indoor_1,1019,True,True,1,2,2,2,0.03179860881086453,0.8472622478386167,0.8472622478386167,0.8472622478386167
cup02_indoor_1@1250B,cup02_indoor_1,1020,True,True,1,2,2,2,0.05241450421034542,0.6645475736384827,0.6645475736384827,0.6645475736384827
cup02_indoor_1@1300B,cup02_indoor_1,1012,True,True,1,2,2,2,0.0,0.7256317689530686,0.7256317689530686,0.7256317689530686
cup02_indoor_1@1350B,cup02_indoor_1,1325,True,False,1,1,1,4,0.06206459784673844,0.06206459784673844,0.06206459784673844,0.15901060070671377
cup02_indoor_1@1400B,cup02_indoor_1,1321,True,True,1,4,2,1,0.03347016103568046,0.14474107430041813,0.13615023474178403,0.03347016103568046
cup02_indoor_1@1450B,cup02_indoor_1,1336,True,False,1,1,1,9,0.07746835443037975,0.07746835443037975,0.07746835443037975,0.07706321734377847
cup02_indoor_1@1500B,cup02_indoor_1,1321,True,False,1,4,4,1,0.04272126390456231,0.16121231662098984,0.16121231662098984,0.04272126390456231
cup02_indoor_1@150F,cup02_indoor_1,916,True,True,1,3,5,6,0.028701531668276527,0.19689254471863168,0.16822969268503823,0.0914313653587581
cup02_indoor_1@1550B,cup02_indoor_1,1318,True,True,1,2,2,2,0.0,0.790341578327444,0.790341578327444,0.790341578327444
cup02_indoor_1@1600B,cup02_indoor_1,1321,True,True,1,2,2,1,0.022578397212543556,0.1641861937935402,0.1641861937935402,0.022578397212543556
cup02_indoor_1@1650B,cup02_indoor_1,1621,True,True,1,2,2,2,0.0,0.7875,0.7875,0.7875
cup02_indoor_1@1700B,cup02_indoor_1,1664,True,True,1,2,2,2,0.0,0.8482816429170159,0.8482816429170159,0.8482816429170159
cup02_indoor_1@1752B,cup02_indoor_1,1663,True,True,1,2,2,2,0.0,0.8973913043478261,0.8973913043478261,0.8973913043478261
cup02_indoor_1@200F,cup02_indoor_1,916,True,True,1,2,2,2,0.07967746344130108,0.7104296731546089,0.7104296731546089,0.7104296731546089
cup02_indoor_1@250F,cup02_indoor_1,452,True,True,1,2,2,2,0.0,0.9563164108618654,0.9563164108618654,0.9563164108618654
cup02_indoor_1@300F,cup02_indoor_1,916,True,True,1,3,3,6,0.03509496284062758,0.27058378514689196,0.27058378514689196,0.13280404186214362
cup02_indoor_1@350F,cup02_indoor_1,455,True,True,1,2,2,2,0.0,0.8935568572005655,0.8935568572005655,0.8935568572005655
cup02_indoor_1@400F,cup02_indoor_1,546,True,True,1,7,2,2,0.0,0.65625,0.8578249336870026,0.8578249336870026
cup02_indoor_1@450F,cup02_indoor_1,545,True,True,1,8,2,5,0.0,0.6117918664535607,0.9193877551020408,0.5942915392456677
cup02_indoor_1@500F,cup02_indoor_1,916,True,True,1,3,3,4,0.07805676855895197,0.32476576348442643,0.32476576348442643,0.1605320490769407
cup02_indoor_1@50F,cup02_indoor_1,929,True,True,1,2,2,2,0.0,0.8641033167009099,0.8641033167009099,0.8641033167009099
cup02_indoor_1@550F,cup02_indoor_1,916,True,True,1,3,10,4,0.06412715812551384,0.2623921085080148,0.17838953888506537,0.12443726191850399
cup02_indoor_1@600F,cup02_indoor_1,916,True,True,1,5,3,7,0.03580773998071891,0.11839095923584017,0.22348638764729784,0.02763576067431256
cup02_indoor_1@650F,cup02_indoor_1,916,True,True,1,2,2,6,0.02813405047579644,0.16589126678186894,0.16589126678186894,0.021742160278745645
cup02_indoor_1@700F,cup02_indoor_1,916,True,True,1,3,5,4,0.02813405047579644,0.2267175572519084,0.2452463566967384,0.11379800853485064
cup02_indoor_1@750F,cup02_indoor_1,916,True,True,1,2,2,5,0.028701531668276527,0.21828191012674433,0.21828191012674433,0.05345446862455103
cup02_indoor_1@800F,cup02_indoor_1,916,True,True,1,3,3,4,0.02827239363871143,0.27624027547506697,0.27624027547506697,0.07678943710910355
cup02_indoor_1@850F,cup02_indoor_1,916,True,True,1,3,7,6,0.021144278606965175,0.16802378182758174,0.14754098360655737,0.048001920076803074
cup02_indoor_1@900B,cup02_indoor_1,723,True,True,1,2,2,2,0.0,0.8883977900552487,0.8883977900552487,0.8883977900552487
cup02_indoor_1@958B,cup02_indoor_1,910,True,True,1,3,3,2,0.029452140272057906,0.4318151101500203,0.4318151101500203,0.712108237711937
earphone01_indoor_1@1000B,earphone01_indoor_1,535,True,True,1,2,2,2,0.0,0.6827880512091038,0.6827880512091038,0.6827880512091038
earphone01_indoor_1@1084B,earphone01_indoor_1,816,True,False,1,1,1,1,0.06868686868686869,0.06868686868686869,0.06868686868686869,0.06868686868686869
humans_shirts_room_occ_1_A_2@0F,humans_shirts_room_occ_1_A_2,336,True,True,1,2,2,2,0.0,0.6231565045124368,0.6231565045124368,0.6231565045124368
