sequence,failure_anchors,unique_gt_pairs,gt_pair_motion_px_median,gt_pair_motion_norm_q95,onset_gt_motion_px_median,onset_gt_motion_norm_median,onset_gt_scale_change_factor_median,onset_prediction_jump_norm_median,onset_prior_error_norm_median,onset_center_outside,onset_oracle_previous_gt_center_outside,onset_velocity_gain,onset_velocity_loss,healthy_frames,healthy_velocity_gain,healthy_velocity_loss,onset_latest_template_bad
ball06_indoor_2,7,336,13.062328569353848,1.3597724647034135,14.866068747318506,0.6916321120039023,1.0,0.8653292864573645,0.1024892288548372,0,0,0,0,1625,0,0,0
bandlight_indoor_1,5,1184,2.5,0.11698547035268858,4.272001872658765,0.0679466465294761,1.059420772107274,0.10008970729398603,0.8922189465698459,0,0,0,0,20345,0,0,0
cube02_indoor_1,7,571,6.0,0.2951408101019554,148.18991193735152,2.838283119040415,1.0655328556903356,1.3287543370089163,0.04408142544659054,6,6,0,0,4514,0,0,0
cube02_indoor_2,0,589,6.020797289396148,0.339768360439683,,,,,,0,0,0,0,5904,0,0,0
cube05_indoor_1,2,110,4.182873156368473,0.33962905390357534,5.836481440458601,0.11558230242134741,1.0282485923353226,1.370757295618518,0.03039137045818483,0,0,0,0,255,0,0,0
cube05_indoor_2,0,145,5.220153254455275,0.23300214395083757,,,,,,0,0,0,0,423,0,0,0
cube05_indoor_4,4,298,6.224820240748662,0.40365137883409813,0.0,0.0,1.0,1.536181333105223,0.021020191861897724,0,0,0,0,1543,0,0,0
cube05_indoor_5,9,491,2.5,0.15560691650985578,3.1622776601683795,0.07968190728895959,1.008309506856629,0.03823591369710837,0.7729624137763792,0,0,0,0,1760,0,0,0
cube05_indoor_6,1,727,4.123105625617661,0.29889589056600196,5.220153254455275,0.08893826237221018,1.0321067190605795,0.04401942644043955,0.6650412660160872,0,0,0,0,8731,0,0,0
cup02_indoor_1,36,1752,0.0,0.10726622339971399,5.0,0.10274936706584831,1.0,0.5064472064559999,0.10817596284854084,0,0,0,0,18986,0,0,1
duck03_wild_1,0,217,1.5811388300841898,0.10568284755590995,,,,,,0,0,0,0,1068,0,0,0
duck03_wild_2,0,246,1.4142135623730951,0.08578440145663388,,,,,,0,0,0,0,1174,0,0,0
earphone01_indoor_1,2,1084,2.0615528128088303,0.13821236123111028,4.151387818865997,0.09394880262888426,1.0218468771573663,0.8951219456889019,1.003181745695112,0,0,0,0,12527,0,0,0
humans_shirts_room_occ_1_A_2,6,601,2.5495097567963922,0.025259388382552744,4.531089277272629,0.013938188867152878,1.0047784718941324,0.7304981319941414,0.06989204876679661,0,0,0,0,4493,0,0,0
humans_shirts_room_occ_1_B_1,0,510,0.5,0.020609968901577323,,,,,,0,0,0,0,4532,0,0,0
robot_human_corridor_noocc_1_B_1,0,896,0.5,0.022137186250260617,,,,,,0,0,0,0,10372,0,0,0
shoes02_indoor_1,12,613,3.0,0.2152027407026464,10.152929101359197,0.1187345494629904,1.0364792762926083,1.3434395567523825,0.05051340362743583,0,0,0,0,1547,0,0,0
shoes02_indoor_2,2,110,3.0206906325745546,0.07915573682191362,13.209844813622906,0.08983171672017529,1.011975098361631,1.2109983426131024,0.04354470853434099,0,0,0,0,340,0,0,0
squirrel_wild_1,0,367,7.810249675906654,0.302876256032013,,,,,,0,0,0,0,2603,0,0,0
toy09_indoor_1,26,1338,1.5,0.2641542976701703,2.0,0.08840960251159269,1.076264924694809,1.3211858759696757,0.06799094012949337,0,0,0,0,15540,0,0,0
two_tennis_balls_3,3,129,19.6596032513375,2.0815083961790832,111.0,2.116686948125215,1.0109950405656765,0.9321872070012615,0.29462616417024207,3,3,1,0,281,0,2,0
yogurt_indoor_1,2,1608,1.0,0.13775268748696926,0.0,0.0,1.0,1.5992087335315306,0.08339595141418316,0,0,0,0,28546,0,0,0
