sequence,valid_frames,iou_sum,mean_iou,low_iou_frames,failure_episodes,native_updates,scale_updates,mean_iou_gain,low_frame_delta,episode_delta
bag05_indoor,587,484.2937898513635,0.8250320099682513,30,1,10,78,-0.0028933072720944697,5,0
ball07_indoor,2179,1590.8535593270465,0.7300842401684472,415,7,34,17,0.3644045108562574,-873,-1
ball19_indoor,1380,1153.2298917017672,0.835673834566498,19,1,12,13,-0.001928504132890918,0,0
beautifullight01_indoor,910,387.0664638788424,0.4253477625042224,467,8,16,16,-0.18946901895407037,197,4
book06_indoor,1545,1250.7988127943488,0.8095785196079928,106,3,28,38,0.1534185143204424,-275,0
car01_indoor,1402,547.0021085087667,0.39015842261680933,814,3,9,21,-0.00013147626017223635,0,0
car02_indoor,565,303.9615635924914,0.5379850683052946,235,2,5,21,-0.15512964910492177,92,0
colacan01_indoor,2801,846.539703032361,0.3022276697723531,1783,10,6,33,0.20107239077300287,-681,0
colacan04_indoor,567,115.00237031539017,0.20282604993895972,440,13,6,14,-0.07373145526081618,48,1
container01_indoor,621,572.6918052134273,0.9222090261085786,4,0,14,16,-0.0036434092697620324,0,0
cup08_indoor,1321,1097.6799708189997,0.830946230748675,103,1,21,13,-0.0004486321967672735,0,0
cup10_indoor,2147,1735.8425875683515,0.8084967804230794,166,2,35,23,-0.05780017288641737,89,1
cup13_indoor,1658,1316.7286298229776,0.7941668454903363,60,2,4,1,0.024064259690238843,-51,-1
egg_indoor,3433,2547.6421977136633,0.7421037569803854,490,7,35,27,0.007325970385504088,-33,-2
flower02_wild,467,366.96113772480567,0.785784020823995,25,0,5,11,0.1352366145038174,-75,-2
flower03_indoor,547,458.28698258972463,0.837818980968418,0,0,5,10,-0.0004865891840932779,0,0
flowerbasket_indoor,851,595.5264140437563,0.6997960212030039,183,4,7,27,-0.06222898928767284,60,1
ghostmask_indoor,1025,829.2639666010277,0.8090380161961246,18,0,17,22,0.09295193300562377,-175,-3
glass03_indoor,570,96.59350381222511,0.1694622873898686,468,5,12,1,-0.5881316306814905,357,2
mobilephone01_indoor,1217,691.0352645022552,0.5678186232557562,433,7,6,28,-0.16202652746150648,226,2
mobilephone02_indoor,610,345.262096728457,0.5660034372597655,205,1,10,13,-0.28527100385194004,204,1
notebook02_indoor,2494,1525.0570628731255,0.6114904021143246,740,10,38,77,-0.24650698124000414,692,9
