sequence,valid_frames,iou_sum,mean_iou,low_iou_frames,failure_episodes,changes,mean_iou_gain,low_frame_delta,episode_delta
ball07_indoor,2179,1784.7986608520746,0.8190907117265143,208,5,7,0.4534109824143245,-1080,-3
ball19_indoor,1380,1154.367347185447,0.8364980776706138,19,1,3,-0.0011042610287751442,0,0
book06_indoor,1545,1236.6733455788594,0.8004358223811388,105,3,116,0.1442758170935884,-276,0
car01_indoor,1402,547.4500129018552,0.39047789793284965,813,3,3,0.0001879990558680822,-1,0
car02_indoor,565,391.6098153367722,0.6931147174102164,143,2,0,0.0,0,0
colacan04_indoor,567,115.6552601825341,0.20397753118612716,440,13,5,-0.07257997401364874,48,1
cup08_indoor,1321,587.3971041197744,0.4446609418014947,666,2,21,-0.3867339211439476,563,1
egg_indoor,3433,1246.785276527458,0.3631766025422249,1980,22,327,-0.37160118405265646,1457,13
flowerbasket_indoor,851,664.4837375160067,0.7808269536028282,104,2,9,0.018801943112151442,-19,-1
glass03_indoor,570,431.8285333006747,0.7575939180713591,111,3,0,0.0,0,0
mobilephone02_indoor,610,344.49238280197403,0.5647416111507771,205,1,13,-0.28653282996092844,204,1
bag05_indoor,587,498.30455751363763,0.8489004386944423,12,0,8,0.020975121454096524,-13,-1
beautifullight01_indoor,910,566.8074265320473,0.6228653038813706,262,4,2,0.008048522423077853,-8,0
colacan01_indoor,2801,281.95957216435966,0.10066389581019623,2465,10,46,-0.000491383189153996,1,0
container01_indoor,621,574.4544240885565,0.9250473817851151,4,0,2,-0.0008050535932254688,0,0
cup10_indoor,2147,1864.661440898977,0.868496246343259,65,1,59,0.0021992930337622063,-12,0
cup13_indoor,1658,1269.2540022929466,0.7655331738799437,115,3,28,-0.00456941192015381,4,0
flower02_wild,467,368.56556556055045,0.7892196264679882,22,1,18,0.13867222014781055,-78,-1
flower03_indoor,547,457.96565924801985,0.837231552555795,0,0,2,-0.0010740175967163257,0,0
ghostmask_indoor,1025,774.6137501251272,0.7557207318293925,142,2,23,0.039634648638891656,-51,-1
mobilephone01_indoor,1217,681.679298984143,0.5601308948103064,435,6,11,-0.1697142559069562,228,1
notebook02_indoor,2494,2131.086700553849,0.8544854452902362,49,1,20,-0.003511938064092557,1,0
