arm,sequence,valid_frames,iou_sum,mean_iou,low_iou_frames,failure_episodes,changes,mean_iou_gain,low_frame_delta,episode_delta
control,ball07_indoor,2179,797.442140572196,0.365967021832123,1286,8,68,0.00028729251993325766,-2,0
control,ball19_indoor,1380,1154.648082244983,0.8367015088731761,19,1,9,-0.0009008298262128678,0,0
control,book06_indoor,1545,983.9521947585494,0.6368622619796436,399,5,52,-0.01929774330790668,18,2
control,car01_indoor,1402,536.5829859938759,0.38272680884013976,825,3,3,-0.007563090036841802,11,0
control,car02_indoor,565,183.80362405436446,0.3253161487687867,366,2,2,-0.3677985686414297,223,0
control,colacan04_indoor,567,144.6639786601125,0.2551392921695106,407,12,2,-0.02141821303026531,15,0
control,cup08_indoor,1321,1109.3687149924785,0.8397946366332162,86,1,12,0.00839977368777367,-17,0
control,egg_indoor,3433,2290.3161602852474,0.6671471483499118,796,12,120,-0.06763063824496951,273,3
control,flowerbasket_indoor,851,640.9284304923449,0.7531473918828965,129,4,14,-0.008877618607780247,6,1
control,glass03_indoor,570,431.8285333006747,0.7575939180713591,111,3,0,-1.1102230246251565e-16,0,0
control,mobilephone02_indoor,610,515.8045024462632,0.8455811515512511,1,0,16,-0.005693289560454451,0,0
control,bag05_indoor,587,500.36382498482527,0.8524085604511504,6,0,14,0.02448324321080464,-19,-1
control,beautifullight01_indoor,910,565.8333438211167,0.6217948833199085,263,4,4,0.0069781018616157375,-7,0
control,colacan01_indoor,2801,1879.2722587242338,0.6709290463135429,549,8,68,0.5697737673141927,-1915,-2
control,container01_indoor,621,574.9543623699495,0.9258524353783406,4,0,0,0.0,0,0
control,cup10_indoor,2147,1867.5222913504374,0.8698287337449638,61,1,39,0.003531780435467091,-16,0
control,cup13_indoor,1658,1153.1581255622464,0.6955115353210171,249,4,104,-0.07459105047908043,138,1
control,flower02_wild,467,367.32272744783137,0.7865583028861486,22,0,18,0.1360108965659711,-78,-2
control,flower03_indoor,547,458.0215203335037,0.8373336751983614,0,0,1,-0.0009718949541498434,0,0
control,ghostmask_indoor,1025,841.9342899344214,0.8213993072530941,17,0,16,0.10531322406259336,-176,-3
control,mobilephone01_indoor,1217,674.8498295882268,0.5545191697520352,437,6,30,-0.17532598096522745,230,1
control,notebook02_indoor,2494,933.4256580436303,0.37426850763577796,1396,16,11,-0.48372887571855067,1348,15
mixed,ball07_indoor,2179,796.0499883607988,0.36532812682918714,1288,8,30,-0.0003516024830025888,0,0
mixed,ball19_indoor,1380,1155.8912274051568,0.8376023386993889,19,1,0,0.0,0,0
mixed,book06_indoor,1545,1213.825411605567,0.7856475156023088,142,3,48,0.12948751031475858,-239,0
mixed,car01_indoor,1402,536.6975674484404,0.3828085359831957,824,3,4,-0.00748136289378587,10,0
mixed,car02_indoor,565,391.6098153367722,0.6931147174102164,143,2,0,0.0,0,0
mixed,colacan04_indoor,567,145.2396148833325,0.256154523603761,407,12,4,-0.02040298159601489,15,0
mixed,cup08_indoor,1321,1101.4339678462925,0.8337880150236885,96,1,2,0.0023931520782459748,-7,0
mixed,egg_indoor,3433,1892.4066581558016,0.5512399237272944,1232,15,141,-0.183537862867587,709,6
mixed,flowerbasket_indoor,851,644.8772849777332,0.7577876439221307,127,3,8,-0.004237366568546008,4,0
mixed,glass03_indoor,570,431.8285333006747,0.7575939180713591,111,3,0,-1.1102230246251565e-16,0,0
mixed,mobilephone02_indoor,610,516.7208351428777,0.8470833362997995,1,0,11,-0.004191104811906099,0,0
mixed,bag05_indoor,587,500.759847689827,0.8530832158259404,6,0,9,0.025157898585594585,-19,-1
mixed,beautifullight01_indoor,910,559.4832711270465,0.6148167814582928,270,4,0,0.0,0,0
mixed,colacan01_indoor,2801,283.18741135872733,0.10110225325195549,2464,10,63,-5.302574739474153e-05,0,0
mixed,container01_indoor,621,574.9543623699495,0.9258524353783406,4,0,0,0.0,0,0
mixed,cup10_indoor,2147,1866.8630099906868,0.869521662780944,62,1,24,0.0032247094714472624,-15,0
mixed,cup13_indoor,1658,1310.874014599172,0.790635714474772,65,2,26,0.020533128674674495,-46,-1
mixed,flower02_wild,467,361.9331048626716,0.7750173551663203,31,1,3,0.12446994884614282,-69,-1
mixed,flower03_indoor,547,458.55314687342366,0.8383055701525113,0,0,0,0.0,0,0
mixed,ghostmask_indoor,1025,691.3346285873431,0.6744728083778957,255,3,4,-0.04161327481260502,62,0
mixed,mobilephone01_indoor,1217,681.1994506572331,0.5597366069492467,435,6,25,-0.17010854376801599,228,1
mixed,notebook02_indoor,2494,2115.2415789010597,0.8481321487173455,76,2,16,-0.009865234636983078,28,1
