sequence,mode,events,valid_events,invalid_gt_events,top1_correct,top10_available,severe_events_recovered,current_candidate_rank_improved,new_candidate_events,oracle_top1_iou_sum,mean_oracle_top1_iou
bag04_indoor,default,23,21,2,13,17,0,0,0,12.75485489284431,0.6073740425163957
bag04_indoor,all_past,23,21,2,16,18,1,3,1,13.961866033945803,0.6648507635212287
bag04_indoor,valid_past,23,21,2,16,18,1,3,1,13.961866033945803,0.6648507635212287
ball02_indoor,default,38,30,8,12,15,0,0,0,11.865072791912535,0.3955024263970845
ball02_indoor,all_past,38,30,8,14,15,0,2,0,12.439896194541715,0.4146632064847238
ball02_indoor,valid_past,38,30,8,14,15,0,2,0,12.439896194541715,0.4146632064847238
ball04_indoor,default,26,22,4,12,13,0,0,0,11.24884535697168,0.5113111525896218
ball04_indoor,all_past,26,22,4,12,13,0,0,0,11.513852182514135,0.5233569173870062
ball04_indoor,valid_past,26,22,4,12,13,0,0,0,11.513852182514135,0.5233569173870062
ball05_indoor,default,26,22,4,12,16,0,0,0,11.08622202285574,0.503919182857079
ball05_indoor,all_past,26,22,4,12,16,0,0,0,11.08622202285574,0.503919182857079
ball05_indoor,valid_past,26,22,4,12,16,0,0,0,11.08622202285574,0.503919182857079
ball08_wild,default,26,23,3,12,13,0,0,0,12.058738340499316,0.5242929713260572
ball08_wild,all_past,26,23,3,13,13,0,1,0,12.231927300574913,0.5318229261119527
ball08_wild,valid_past,26,23,3,13,13,0,1,0,12.231927300574913,0.5318229261119527
ball13_indoor,default,38,31,7,12,12,0,0,0,10.533829833019666,0.33980096235547314
ball13_indoor,all_past,38,31,7,18,18,2,0,6,14.616782395814056,0.4715091095423889
ball13_indoor,valid_past,38,31,7,18,18,2,0,6,14.616782395814056,0.4715091095423889
ball21_indoor,default,17,17,0,12,14,0,0,0,12.176227497703778,0.7162486763355164
ball21_indoor,all_past,17,17,0,12,14,0,0,0,12.380834766265684,0.7282843980156285
ball21_indoor,valid_past,17,17,0,12,14,0,0,0,12.380834766265684,0.7282843980156285
basket_indoor,default,26,23,3,12,12,0,0,0,11.682971672301742,0.5079552901000757
basket_indoor,all_past,26,23,3,12,12,0,0,0,11.853413937798999,0.5153658233825652
basket_indoor,valid_past,26,23,3,12,12,0,0,0,11.853413937798999,0.5153658233825652
bike03_wild,default,18,16,2,12,13,0,0,0,11.495817562511622,0.7184885976569764
bike03_wild,all_past,18,16,2,12,13,0,0,0,11.590501122680953,0.7244063201675596
bike03_wild,valid_past,18,16,2,12,13,0,0,0,11.590501122680953,0.7244063201675596
book02_indoor,default,16,16,0,12,14,0,0,0,12.42356348430563,0.7764727177691019
book02_indoor,all_past,16,16,0,14,16,0,2,2,12.774578593634278,0.7984111621021424
book02_indoor,valid_past,16,16,0,14,16,0,2,2,12.774578593634278,0.7984111621021424
book04_indoor,default,16,16,0,12,12,0,0,0,11.950869485862837,0.7469293428664273
book04_indoor,all_past,16,16,0,13,14,0,0,2,12.81647851288805,0.8010299070555031
book04_indoor,valid_past,16,16,0,13,14,0,0,2,12.80750788349819,0.8004692427186368
bottle02_indoor,default,23,20,3,12,15,0,0,0,11.759391892012266,0.5879695946006133
bottle02_indoor,all_past,23,20,3,15,16,1,3,1,13.235238675665128,0.6617619337832564
bottle02_indoor,valid_past,23,20,3,15,16,1,3,1,13.235238675665128,0.6617619337832564
bottle03_indoor,default,20,18,2,12,12,0,0,0,11.886473101516604,0.6603596167509225
bottle03_indoor,all_past,20,18,2,12,13,0,0,1,12.164855932157673,0.6758253295643152
bottle03_indoor,valid_past,20,18,2,12,13,0,0,1,12.164855932157673,0.6758253295643152
box_indoor,default,31,25,6,12,12,0,0,0,9.558204920309523,0.3823281968123809
box_indoor,all_past,31,25,6,12,12,0,0,0,9.69308682184173,0.3877234728736692
box_indoor,valid_past,31,25,6,12,12,0,0,0,9.645035242463768,0.3858014096985507
cat02_indoor,default,20,18,2,12,13,0,0,0,12.11931233387892,0.67329512965994
cat02_indoor,all_past,20,18,2,14,14,0,1,1,12.553501723897558,0.6974167624387532
cat02_indoor,valid_past,20,18,2,14,14,0,1,1,12.553501723897558,0.6974167624387532
cat03_indoor,default,21,18,3,12,12,0,0,0,11.517951122896129,0.6398861734942294
cat03_indoor,all_past,21,18,3,12,12,0,0,0,11.6270900623529,0.6459494479084945
cat03_indoor,valid_past,21,18,3,12,12,0,0,0,11.6270900623529,0.6459494479084945
cat04_indoor,default,20,18,2,12,12,0,0,0,11.729141356296424,0.6516189642386903
cat04_indoor,all_past,20,18,2,13,13,0,0,1,12.030563181730368,0.6683646212072427
cat04_indoor,valid_past,20,18,2,13,13,0,0,1,12.030563181730368,0.6683646212072427
cat05_indoor,default,26,22,4,12,13,0,0,0,11.989181210432701,0.5449627822923955
cat05_indoor,all_past,26,22,4,12,13,0,0,0,12.11983057754401,0.550901389888364
cat05_indoor,valid_past,26,22,4,12,13,0,0,0,12.11983057754401,0.550901389888364
chair01_indoor,default,22,19,3,12,14,0,0,0,12.147093290268314,0.639320699487806
chair01_indoor,all_past,22,19,3,14,14,0,2,0,12.69967967825969,0.6684041935926153
chair01_indoor,valid_past,22,19,3,14,14,0,2,0,12.69967967825969,0.6684041935926153
chair02_indoor,default,18,16,2,12,14,0,0,0,12.796977889983427,0.7998111181239642
chair02_indoor,all_past,18,16,2,14,14,0,2,0,13.473710305893297,0.8421068941183311
chair02_indoor,valid_past,18,16,2,14,14,0,2,0,13.473710305893297,0.8421068941183311
colacan02_indoor,default,38,30,8,12,15,0,0,0,12.417548726162131,0.41391829087207105
colacan02_indoor,all_past,38,30,8,15,15,1,3,0,14.529475038363667,0.48431583461212224
colacan02_indoor,valid_past,38,30,8,15,15,1,3,0,14.501921535570396,0.4833973845190132
cube01_indoor,default,23,21,2,13,17,0,0,0,13.347279061372076,0.6355847172081941
cube01_indoor,all_past,23,21,2,16,17,0,3,0,14.010154921470088,0.6671502343557185
cube01_indoor,valid_past,23,21,2,16,17,0,3,0,14.010154921470088,0.6671502343557185
cube04_indoor,default,37,33,4,13,25,0,0,0,12.549431372014853,0.38028579915196525
cube04_indoor,all_past,37,33,4,24,28,5,10,3,21.274880775136175,0.6446933568223083
cube04_indoor,valid_past,37,33,4,24,28,5,10,3,21.20613308708515,0.6426100935480348
cup05_indoor,default,38,31,7,12,16,0,0,0,11.877384372951871,0.38314143138554424
cup05_indoor,all_past,38,31,7,13,16,1,1,0,12.719456543467425,0.4103050497892718
cup05_indoor,valid_past,38,31,7,13,16,1,1,0,12.719456543467425,0.4103050497892718
cup06_indoor,default,38,33,5,14,19,0,0,0,14.250791611526585,0.4318421700462602
cup06_indoor,all_past,38,33,5,26,27,9,5,8,24.69832566335607,0.7484341110107899
cup06_indoor,valid_past,38,33,5,26,27,9,5,8,24.678204719390404,0.7478243854360729
cup14_indoor,default,23,20,3,12,14,0,0,0,11.844913844854238,0.592245692242712
cup14_indoor,all_past,23,20,3,13,15,0,0,1,12.333313825193468,0.6166656912596734
cup14_indoor,valid_past,23,20,3,13,15,0,0,1,12.333313825193468,0.6166656912596734
dumbbells02_indoor,default,26,22,4,12,12,0,0,0,11.760781854307957,0.5345809933776344
dumbbells02_indoor,all_past,26,22,4,15,15,0,0,3,12.593354003793998,0.5724251819906363
dumbbells02_indoor,valid_past,26,22,4,15,15,0,0,3,12.593354003793998,0.5724251819906363
earphone02_indoor,default,29,24,5,12,13,0,0,0,11.478709913739218,0.4782795797391341
earphone02_indoor,all_past,29,24,5,12,14,0,0,1,11.95112245115002,0.49796343546458416
earphone02_indoor,valid_past,29,24,5,12,14,0,0,1,11.95112245115002,0.49796343546458416
flower01_indoor,default,37,29,8,12,14,0,0,0,11.920075532143148,0.411037087315281
flower01_indoor,all_past,37,29,8,13,14,0,1,0,12.035611923979562,0.4150211008268815
flower01_indoor,valid_past,37,29,8,13,14,0,1,0,12.031431835507027,0.4148769598450699
glass04_indoor,default,18,15,3,12,12,0,0,0,10.734868897619219,0.7156579265079479
glass04_indoor,all_past,18,15,3,12,12,0,0,0,10.826108118314274,0.7217405412209515
glass04_indoor,valid_past,18,15,3,12,12,0,0,0,10.826108118314274,0.7217405412209515
glass05_indoor,default,24,20,4,12,12,0,0,0,10.978708181012438,0.5489354090506219
glass05_indoor,all_past,24,20,4,12,12,0,0,0,11.126944562550772,0.5563472281275386
glass05_indoor,valid_past,24,20,4,12,12,0,0,0,11.126944562550772,0.5563472281275386
gymring_wild,default,12,12,0,12,12,0,0,0,11.318633673101905,0.943219472758492
gymring_wild,all_past,12,12,0,12,12,0,0,0,11.38461650772322,0.9487180423102682
gymring_wild,valid_past,12,12,0,12,12,0,0,0,11.38461650772322,0.9487180423102682
hat01_indoor,default,18,16,2,12,14,0,0,0,12.248597626823765,0.7655373516764853
hat01_indoor,all_past,18,16,2,12,14,0,0,0,12.499667081351218,0.7812291925844511
hat01_indoor,valid_past,18,16,2,12,14,0,0,0,12.499667081351218,0.7812291925844511
human01_indoor,default,18,16,2,12,14,0,0,0,12.381929073235895,0.7738705670772434
human01_indoor,all_past,18,16,2,14,15,0,1,1,13.10117033287084,0.8188231458044275
human01_indoor,valid_past,18,16,2,14,15,0,1,1,13.095024317605967,0.8184390198503729
human03_wild,default,31,25,6,12,12,0,0,0,11.689225059706347,0.4675690023882539
human03_wild,all_past,31,25,6,12,13,0,0,1,12.003111795189065,0.4801244718075626
human03_wild,valid_past,31,25,6,12,13,0,0,1,12.003111795189065,0.4801244718075626
leaves01_wild,default,22,19,3,12,12,0,0,0,10.869304290707458,0.5720686468793399
leaves01_wild,all_past,22,19,3,12,12,0,0,0,10.869304290707458,0.5720686468793399
leaves01_wild,valid_past,22,19,3,12,12,0,0,0,10.869304290707458,0.5720686468793399
leaves02_indoor,default,24,20,4,12,12,0,0,0,12.301548825148362,0.6150774412574181
leaves02_indoor,all_past,24,20,4,12,12,0,0,0,12.405423030302908,0.6202711515151453
