sequence,valid_frames,default_mean_iou,reader_mean_iou,gain_pp,default_low_frames,reader_low_frames,default_h10,reader_h10,initial_reads
bag05_indoor,587,0.8279253172403458,0.8507336783537928,2.2808361113446973,25,10,1,0,15
ball07_indoor,2179,0.3656797293121897,0.3592073033896452,-0.6472425922544545,1288,1314,8,10,23
ball19_indoor,1380,0.8376023386993889,0.8385430237184737,0.09406850190847305,19,21,1,1,1
beautifullight01_indoor,910,0.6148167814582928,0.6234949319755385,0.8678150517245742,270,261,4,4,18
book06_indoor,1545,0.6561600052875503,0.787821829442292,13.16618241547417,381,145,3,3,89
car01_indoor,1402,0.39028989887698157,0.3902688755225949,-0.0021023354386640047,814,814,3,3,17
car02_indoor,565,0.6931147174102164,0.6920221151224291,-0.10926022877872921,143,143,2,2,2
colacan01_indoor,2801,0.10115527899935023,0.2646355337053652,16.348025470601495,2464,1921,10,10,10
colacan04_indoor,567,0.2765575051997759,0.621114160469282,34.45566552695061,392,177,12,6,79
container01_indoor,621,0.9258524353783406,0.9254030256016356,-0.044940977670504534,4,3,0,0,13
cup08_indoor,1321,0.8313948629454425,0.8411619335489889,0.9767070603546424,103,86,1,1,2
cup10_indoor,2147,0.8662969533094967,0.8515106821561562,-1.4786271153340524,77,107,1,2,28
cup13_indoor,1658,0.7701025858000975,0.7696928255544755,-0.0409760245622004,111,112,3,3,31
egg_indoor,3433,0.7347777865948814,0.7361013809376776,0.13235943427962749,523,522,9,8,63
flower02_wild,467,0.6505474063201775,0.786661736297665,13.611432997748752,100,24,2,0,74
flower03_indoor,547,0.8383055701525113,0.8371656880439369,-0.11398821085744082,0,0,0,0,3
flowerbasket_indoor,851,0.7620250104906767,0.7863904158206163,2.4365405329939582,123,100,3,1,39
ghostmask_indoor,1025,0.7160860831905007,0.8538068611022583,13.772077791175763,193,16,3,0,42
glass03_indoor,570,0.7575939180713592,0.8940708404467145,13.647692237535525,111,30,3,1,6
mobilephone01_indoor,1217,0.7298451507172626,0.5615107795085539,-16.833437120870876,207,435,5,6,4
mobilephone02_indoor,610,0.8512744411117056,0.5685745904475321,-28.269985066417348,1,205,0,1,4
notebook02_indoor,2494,0.8579973833543286,0.7850354068696365,-7.2961976484692155,48,246,1,3,122
