sequence,valid_frames,native_mean_iou,control_mean_iou,null_mean_iou,native_low,control_low,null_low,native_H10,control_H10,null_H10
bag05_indoor,587,0.8279253172403458,0.848500123928882,0.8420513559676487,25,11,13,1,0,0
ball07_indoor,2179,0.3656797293121897,0.7824655763697345,0.5040313629180013,1288,323,975,8,7,7
ball19_indoor,1380,0.8376023386993889,0.8412701630831314,0.841484558713316,19,22,20,1,1,1
beautifullight01_indoor,910,0.6148167814582928,0.4245089752231008,0.8314956667493743,270,468,39,4,8,1
book06_indoor,1545,0.6561600052875503,0.7975027922454884,0.803616581960995,381,85,92,3,3,4
car01_indoor,1402,0.39028989887698157,0.656936007164108,0.7222651881981953,814,417,321,3,3,3
car02_indoor,565,0.6931147174102164,0.326745932771537,0.9094689335061638,143,366,13,2,2,1
colacan01_indoor,2801,0.10115527899935023,0.3921792447244416,0.3029637508614542,2464,1501,1785,10,10,10
colacan04_indoor,567,0.2765575051997759,0.2688100404357543,0.3295079608953236,392,398,359,12,12,11
container01_indoor,621,0.9258524353783406,0.9230007914171334,0.9232339440408205,4,3,3,0,0,0
cup08_indoor,1321,0.8313948629454425,0.8941329707901503,0.8919917317494719,103,1,1,1,0,0
cup10_indoor,2147,0.8662969533094967,0.8892214008085244,0.8550707059453233,77,34,86,1,1,2
cup13_indoor,1658,0.7701025858000975,0.8041834145592532,0.7411070543152345,111,55,183,3,2,4
egg_indoor,3433,0.7347777865948814,0.665500942099518,0.7305819812102199,523,816,559,9,9,7
flower02_wild,467,0.6505474063201775,0.6610804245615837,0.6349482253631721,100,96,111,2,1,2
flower03_indoor,547,0.8383055701525113,0.8412208311336606,0.8482275156917768,0,4,0,0,0,0
flowerbasket_indoor,851,0.7620250104906767,0.7751726912934481,0.7998474914257829,123,112,85,3,2,2
ghostmask_indoor,1025,0.7160860831905007,0.66107788594608,0.7813771066724219,193,263,121,3,4,2
glass03_indoor,570,0.7575939180713592,0.9175499737352353,0.8845598219090799,111,16,36,3,0,1
mobilephone01_indoor,1217,0.7298451507172626,0.5631007223869643,0.7405118141636099,207,435,193,5,6,7
mobilephone02_indoor,610,0.8512744411117056,0.5605541832089568,0.842906538910614,1,208,4,0,1,0
notebook02_indoor,2494,0.8579973833543286,0.6397837750969833,0.8509768577702668,48,692,82,1,6,3
