sequence,content,mean_iou,low_iou_frames,H10,valid_frames
bag05_indoor,category,0.812963102073,31,1,587
bag05_indoor,empty,0.819297172683,29,1,587
bag05_indoor,swapped,0.806455451341,34,1,587
ball07_indoor,category,0.361211751692,1312,10,2179
ball07_indoor,empty,0.801479782698,269,8,2179
ball07_indoor,swapped,0.447948290472,1107,9,2179
ball19_indoor,category,0.835641785774,27,1,1380
ball19_indoor,empty,0.836812538511,22,1,1380
ball19_indoor,swapped,0.840892742397,23,1,1380
beautifullight01_indoor,category,0.551319199475,339,6,910
beautifullight01_indoor,empty,0.561189309854,328,5,910
beautifullight01_indoor,swapped,0.420306761684,474,9,910
book06_indoor,category,0.795399402462,72,3,1545
book06_indoor,empty,0.826910803040,62,2,1545
book06_indoor,swapped,0.815493000227,78,2,1545
car01_indoor,category,0.399540260412,798,3,1402
car01_indoor,empty,0.337048774243,892,3,1402
car01_indoor,swapped,0.386724711406,819,3,1402
car02_indoor,category,0.911408965086,14,1,565
car02_indoor,empty,0.912153790061,14,1,565
car02_indoor,swapped,0.746874216627,111,2,565
colacan01_indoor,category,0.268098246366,1920,10,2801
colacan01_indoor,empty,0.756967803120,272,6,2801
colacan01_indoor,swapped,0.679144516268,529,6,2801
colacan04_indoor,category,0.205336715806,439,13,567
colacan04_indoor,empty,0.652765431456,156,5,567
colacan04_indoor,swapped,0.643344896808,161,4,567
container01_indoor,category,0.924610761778,3,0,621
container01_indoor,empty,0.768323646112,110,1,621
container01_indoor,swapped,0.925319945811,4,0,621
cup08_indoor,category,0.892128990320,1,0,1321
cup08_indoor,empty,0.891812303685,3,0,1321
cup08_indoor,swapped,0.825585610763,103,1,1321
cup10_indoor,category,0.887822373752,36,2,2147
cup10_indoor,empty,0.841383044855,121,3,2147
cup10_indoor,swapped,0.868881236908,76,2,2147
cup13_indoor,category,0.799932484032,63,2,1658
cup13_indoor,empty,0.801568897818,58,2,1658
cup13_indoor,swapped,0.804061454013,57,2,1658
egg_indoor,category,0.717128116883,614,8,3433
egg_indoor,empty,0.736381426863,542,7,3433
egg_indoor,swapped,0.741475690011,520,6,3433
flower02_wild,category,0.654573178428,99,1,467
flower02_wild,empty,0.789734184690,23,0,467
flower02_wild,swapped,0.780185827592,29,0,467
flower03_indoor,category,0.833903457212,0,0,547
flower03_indoor,empty,0.845091467629,0,0,547
flower03_indoor,swapped,0.843824745954,0,0,547
flowerbasket_indoor,category,0.768730395633,116,2,851
flowerbasket_indoor,empty,0.726315833934,159,3,851
flowerbasket_indoor,swapped,0.313570694249,551,3,851
ghostmask_indoor,category,0.622829691775,312,4,1025
ghostmask_indoor,empty,0.699113853691,224,3,1025
ghostmask_indoor,swapped,0.644812468401,286,5,1025
glass03_indoor,category,0.485373516172,277,3,570
glass03_indoor,empty,0.894961682519,31,1,570
glass03_indoor,swapped,0.579842275469,220,2,570
mobilephone01_indoor,category,0.562231686033,435,6,1217
mobilephone01_indoor,empty,0.561819450497,435,6,1217
mobilephone01_indoor,swapped,0.561912206615,432,7,1217
mobilephone02_indoor,category,0.563045575806,208,1,610
mobilephone02_indoor,empty,0.843958088877,3,0,610
mobilephone02_indoor,swapped,0.845013547271,3,0,610
notebook02_indoor,category,0.853577553653,72,3,2494
notebook02_indoor,empty,0.867838623962,28,1,2494
notebook02_indoor,swapped,0.844589011308,94,2,2494
