sequence,model,condition,mean_iou,low_iou_frames,H10,valid_frames
bag05_indoor,native,visual,0.8279253172403458,25,1,587
bag05_indoor,M73,category,0.7386561583886777,77,3,587
bag05_indoor,M73,empty_trained,0.7727462053694364,60,2,587
bag05_indoor,M77_Hann,category,0.8129631020725676,31,1,587
bag05_indoor,M77_Hann,empty_trained,0.8447851815822626,11,0,587
bag05_indoor,M78_raw,category,0.8549466858772202,5,0,587
bag05_indoor,M78_raw,empty_trained,0.8484565739291003,9,0,587
bag05_indoor,M78_category_head,empty_content,0.8532550588786364,10,0,587
bag05_indoor,M78_category_head,swapped_content,0.8476644922610148,12,0,587
ball07_indoor,native,visual,0.3656797293121897,1288,8,2179
ball07_indoor,M73,category,0.8187332173545686,245,7,2179
ball07_indoor,M73,empty_trained,0.48220898321482303,1029,8,2179
ball07_indoor,M77_Hann,category,0.3612117516919336,1312,10,2179
ball07_indoor,M77_Hann,empty_trained,0.8486062239986549,171,8,2179
ball07_indoor,M78_raw,category,0.8068493004961645,268,6,2179
ball07_indoor,M78_raw,empty_trained,0.8585364166453269,151,5,2179
ball07_indoor,M78_category_head,empty_content,0.7845497259577242,316,7,2179
ball07_indoor,M78_category_head,swapped_content,0.7798218460657627,334,8,2179
ball19_indoor,native,visual,0.8376023386993889,19,1,1380
ball19_indoor,M73,category,0.8407045425820493,19,1,1380
ball19_indoor,M73,empty_trained,0.8393016073375138,17,1,1380
ball19_indoor,M77_Hann,category,0.8356417857744647,27,1,1380
ball19_indoor,M77_Hann,empty_trained,0.8449877776539763,20,1,1380
ball19_indoor,M78_raw,category,0.8458064374861881,20,1,1380
ball19_indoor,M78_raw,empty_trained,0.8475202068138182,22,1,1380
ball19_indoor,M78_category_head,empty_content,0.8398218028180683,32,1,1380
ball19_indoor,M78_category_head,swapped_content,0.8460373457712016,20,0,1380
beautifullight01_indoor,native,visual,0.6148167814582928,270,4,910
beautifullight01_indoor,M73,category,0.46645903996128596,426,7,910
beautifullight01_indoor,M73,empty_trained,0.4257032732997101,467,8,910
beautifullight01_indoor,M77_Hann,category,0.5513191994746514,339,6,910
beautifullight01_indoor,M77_Hann,empty_trained,0.5569856735356998,333,5,910
beautifullight01_indoor,M78_raw,category,0.5556015023230035,334,5,910
beautifullight01_indoor,M78_raw,empty_trained,0.4230828875057718,472,9,910
beautifullight01_indoor,M78_category_head,empty_content,0.42624255519449755,468,8,910
beautifullight01_indoor,M78_category_head,swapped_content,0.46175901891050053,433,8,910
book06_indoor,native,visual,0.6561600052875503,381,3,1545
book06_indoor,M73,category,0.8012598240347175,86,4,1545
book06_indoor,M73,empty_trained,0.8017371438080799,108,3,1545
book06_indoor,M77_Hann,category,0.7953994024618829,72,3,1545
book06_indoor,M77_Hann,empty_trained,0.8048969370949226,100,3,1545
book06_indoor,M78_raw,category,0.8173943193706406,79,2,1545
book06_indoor,M78_raw,empty_trained,0.7900229968779772,133,3,1545
book06_indoor,M78_category_head,empty_content,0.8177145614792788,81,2,1545
book06_indoor,M78_category_head,swapped_content,0.8064898698799364,102,3,1545
car01_indoor,native,visual,0.39028989887698157,814,3,1402
car01_indoor,M73,category,0.8364968147267174,149,2,1402
car01_indoor,M73,empty_trained,0.7325303866262549,305,3,1402
car01_indoor,M77_Hann,category,0.3995402604121124,798,3,1402
car01_indoor,M77_Hann,empty_trained,0.3868916246253879,820,3,1402
car01_indoor,M78_raw,category,0.4522062553073588,719,3,1402
car01_indoor,M78_raw,empty_trained,0.45494789927393703,714,3,1402
car01_indoor,M78_category_head,empty_content,0.4501571964939324,722,3,1402
car01_indoor,M78_category_head,swapped_content,0.4494829141571366,722,3,1402
car02_indoor,native,visual,0.6931147174102164,143,2,565
car02_indoor,M73,category,0.9119586554232167,13,1,565
car02_indoor,M73,empty_trained,0.7437485070867697,112,2,565
car02_indoor,M77_Hann,category,0.9114089650860587,14,1,565
car02_indoor,M77_Hann,empty_trained,0.9098027144753011,14,1,565
car02_indoor,M78_raw,category,0.9122640935250125,13,1,565
car02_indoor,M78_raw,empty_trained,0.9094026680033522,14,1,565
car02_indoor,M78_category_head,empty_content,0.9119320407669804,13,1,565
car02_indoor,M78_category_head,swapped_content,0.9134949338730871,13,1,565
colacan01_indoor,native,visual,0.10115527899935023,2464,10,2801
colacan01_indoor,M73,category,0.2652337490888437,1928,10,2801
colacan01_indoor,M73,empty_trained,0.3032209490026304,1787,10,2801
colacan01_indoor,M77_Hann,category,0.26809824636562424,1920,10,2801
colacan01_indoor,M77_Hann,empty_trained,0.26773117740724367,1919,10,2801
colacan01_indoor,M78_raw,category,0.7566404337172092,272,6,2801
colacan01_indoor,M78_raw,empty_trained,0.1007219872767765,2470,10,2801
colacan01_indoor,M78_category_head,empty_content,0.265313614356724,1927,10,2801
colacan01_indoor,M78_category_head,swapped_content,0.8091497906153208,95,4,2801
colacan04_indoor,native,visual,0.2765575051997759,392,12,567
colacan04_indoor,M73,category,0.7232352728258451,111,2,567
colacan04_indoor,M73,empty_trained,0.21278299954468707,434,13,567
colacan04_indoor,M77_Hann,category,0.20533671580587629,439,13,567
colacan04_indoor,M77_Hann,empty_trained,0.2053466778842693,439,13,567
colacan04_indoor,M78_raw,category,0.422677144290091,301,9,567
colacan04_indoor,M78_raw,empty_trained,0.2646288456087001,399,12,567
colacan04_indoor,M78_category_head,empty_content,0.16228960215585994,467,14,567
colacan04_indoor,M78_category_head,swapped_content,0.26431205928567825,399,12,567
container01_indoor,native,visual,0.9258524353783406,4,0,621
container01_indoor,M73,category,0.920836201382076,4,0,621
container01_indoor,M73,empty_trained,0.9241236555045185,3,0,621
container01_indoor,M77_Hann,category,0.9246107617777554,3,0,621
container01_indoor,M77_Hann,empty_trained,0.9249458179259233,3,0,621
container01_indoor,M78_raw,category,0.9243783664955826,3,0,621
container01_indoor,M78_raw,empty_trained,0.9240734032227411,4,0,621
container01_indoor,M78_category_head,empty_content,0.9251217750219125,3,0,621
container01_indoor,M78_category_head,swapped_content,0.9251009377508644,3,0,621
cup08_indoor,native,visual,0.8313948629454425,103,1,1321
cup08_indoor,M73,category,0.8443961661467464,84,1,1321
cup08_indoor,M73,empty_trained,0.8271840943935196,87,1,1321
cup08_indoor,M77_Hann,category,0.89212899032009,1,0,1321
cup08_indoor,M77_Hann,empty_trained,0.8871878033575825,1,0,1321
cup08_indoor,M78_raw,category,0.8273952447820951,103,1,1321
cup08_indoor,M78_raw,empty_trained,0.8249045442148555,103,1,1321
cup08_indoor,M78_category_head,empty_content,0.8236662950695269,103,1,1321
cup08_indoor,M78_category_head,swapped_content,0.8935872676307014,1,0,1321
cup10_indoor,native,visual,0.8662969533094967,77,1,2147
cup10_indoor,M73,category,0.8634857239833047,45,2,2147
cup10_indoor,M73,empty_trained,0.860007798023923,85,2,2147
cup10_indoor,M77_Hann,category,0.8878223737517298,36,2,2147
cup10_indoor,M77_Hann,empty_trained,0.8452727985003622,83,1,2147
cup10_indoor,M78_raw,category,0.8959888341582198,17,1,2147
cup10_indoor,M78_raw,empty_trained,0.8618492520663988,45,2,2147
cup10_indoor,M78_category_head,empty_content,0.8650840601368508,43,2,2147
cup10_indoor,M78_category_head,swapped_content,0.8766970716547302,64,1,2147
cup13_indoor,native,visual,0.7701025858000975,111,3,1658
cup13_indoor,M73,category,0.7549725150573284,155,3,1658
cup13_indoor,M73,empty_trained,0.3695806763773872,930,8,1658
cup13_indoor,M77_Hann,category,0.799932484031538,63,2,1658
cup13_indoor,M77_Hann,empty_trained,0.7948339354455192,73,3,1658
cup13_indoor,M78_raw,category,0.7339231323487684,194,4,1658
cup13_indoor,M78_raw,empty_trained,0.4969604041582825,670,5,1658
cup13_indoor,M78_category_head,empty_content,0.4246841667753509,812,7,1658
cup13_indoor,M78_category_head,swapped_content,0.41759025147629625,827,7,1658
egg_indoor,native,visual,0.7347777865948814,523,9,3433
egg_indoor,M73,category,0.6981640487706988,683,11,3433
egg_indoor,M73,empty_trained,0.7033281862836487,668,10,3433
egg_indoor,M77_Hann,category,0.7171281168826902,614,8,3433
egg_indoor,M77_Hann,empty_trained,0.7392997847584136,532,7,3433
egg_indoor,M78_raw,category,0.6123827620774827,1040,11,3433
egg_indoor,M78_raw,empty_trained,0.5407778314990008,1322,12,3433
egg_indoor,M78_category_head,empty_content,0.7294361992088024,575,9,3433
egg_indoor,M78_category_head,swapped_content,0.6107390394454368,1049,11,3433
flower02_wild,native,visual,0.6505474063201775,100,2,467
flower02_wild,M73,category,0.6248041527298427,117,2,467
flower02_wild,M73,empty_trained,0.6285211916204774,115,2,467
flower02_wild,M77_Hann,category,0.654573178428415,99,1,467
flower02_wild,M77_Hann,empty_trained,0.6607349143164799,93,1,467
flower02_wild,M78_raw,category,0.7916484060974245,23,0,467
flower02_wild,M78_raw,empty_trained,0.6477798131600601,103,1,467
flower02_wild,M78_category_head,empty_content,0.6667058934027451,89,1,467
flower02_wild,M78_category_head,swapped_content,0.6587321740458586,96,1,467
flower03_indoor,native,visual,0.8383055701525113,0,0,547
flower03_indoor,M73,category,0.7953901393392718,0,0,547
flower03_indoor,M73,empty_trained,0.5546982245321039,185,3,547
flower03_indoor,M77_Hann,category,0.8339034572116542,0,0,547
flower03_indoor,M77_Hann,empty_trained,0.8444018810761942,0,0,547
flower03_indoor,M78_raw,category,0.844447208369311,0,0,547
flower03_indoor,M78_raw,empty_trained,0.8468451211299055,0,0,547
flower03_indoor,M78_category_head,empty_content,0.8452179615781988,0,0,547
flower03_indoor,M78_category_head,swapped_content,0.8460214939330709,0,0,547
flowerbasket_indoor,native,visual,0.7620250104906767,123,3,851
flowerbasket_indoor,M73,category,0.7220204984172013,157,2,851
flowerbasket_indoor,M73,empty_trained,0.3126875590004467,553,3,851
flowerbasket_indoor,M77_Hann,category,0.7687303956331922,116,2,851
flowerbasket_indoor,M77_Hann,empty_trained,0.31142595793912947,555,3,851
flowerbasket_indoor,M78_raw,category,0.3121271745667486,553,3,851
flowerbasket_indoor,M78_raw,empty_trained,0.3082773897065267,556,3,851
flowerbasket_indoor,M78_category_head,empty_content,0.307026556658719,559,3,851
flowerbasket_indoor,M78_category_head,swapped_content,0.769666513910712,115,2,851
ghostmask_indoor,native,visual,0.7160860831905007,193,3,1025
ghostmask_indoor,M73,category,0.8533637639793392,11,0,1025
ghostmask_indoor,M73,empty_trained,0.8593891475189777,7,0,1025
ghostmask_indoor,M77_Hann,category,0.6228296917747143,312,4,1025
ghostmask_indoor,M77_Hann,empty_trained,0.6629255734014071,260,4,1025
ghostmask_indoor,M78_raw,category,0.6765005438102489,247,4,1025
ghostmask_indoor,M78_raw,empty_trained,0.6629862857061586,269,5,1025
ghostmask_indoor,M78_category_head,empty_content,0.7169312243716424,195,3,1025
ghostmask_indoor,M78_category_head,swapped_content,0.6524100980928305,278,5,1025
glass03_indoor,native,visual,0.7575939180713592,111,3,570
glass03_indoor,M73,category,0.519367766180307,254,5,570
glass03_indoor,M73,empty_trained,0.8006081004865442,86,4,570
glass03_indoor,M77_Hann,category,0.4853735161715249,277,3,570
glass03_indoor,M77_Hann,empty_trained,0.9220619905921732,11,0,570
glass03_indoor,M78_raw,category,0.16870902038955593,468,5,570
glass03_indoor,M78_raw,empty_trained,0.2677942756246638,408,4,570
glass03_indoor,M78_category_head,empty_content,0.16912592555917527,468,5,570
glass03_indoor,M78_category_head,swapped_content,0.16869685649621202,468,5,570
mobilephone01_indoor,native,visual,0.7298451507172626,207,5,1217
mobilephone01_indoor,M73,category,0.5601244285794673,438,6,1217
mobilephone01_indoor,M73,empty_trained,0.7621910722662419,164,5,1217
mobilephone01_indoor,M77_Hann,category,0.5622316860330699,435,6,1217
mobilephone01_indoor,M77_Hann,empty_trained,0.6022906113709918,388,5,1217
