anchor_key,sequence,anchor,direction,run_length,native_failed,M78_failed,native_progress,M78_progress
cup02_indoor_1@0F,cup02_indoor_1,0,forward,1753,True,True,455,452
cup02_indoor_1@50F,cup02_indoor_1,50,forward,1703,True,True,879,705
cup02_indoor_1@100F,cup02_indoor_1,100,forward,1653,True,True,816,321
cup02_indoor_1@150F,cup02_indoor_1,150,forward,1603,True,True,766,271
cup02_indoor_1@200F,cup02_indoor_1,200,forward,1553,True,True,716,220
cup02_indoor_1@250F,cup02_indoor_1,250,forward,1503,True,True,202,199
cup02_indoor_1@300F,cup02_indoor_1,300,forward,1453,True,True,616,616
cup02_indoor_1@350F,cup02_indoor_1,350,forward,1403,True,True,105,105
cup02_indoor_1@400F,cup02_indoor_1,400,forward,1353,True,True,146,517
cup02_indoor_1@450F,cup02_indoor_1,450,forward,1303,True,True,95,94
cup02_indoor_1@500F,cup02_indoor_1,500,forward,1253,True,True,416,416
cup02_indoor_1@550F,cup02_indoor_1,550,forward,1203,True,True,366,366
cup02_indoor_1@600F,cup02_indoor_1,600,forward,1153,True,True,316,316
cup02_indoor_1@650F,cup02_indoor_1,650,forward,1103,True,True,266,266
cup02_indoor_1@700F,cup02_indoor_1,700,forward,1053,True,True,216,216
cup02_indoor_1@750F,cup02_indoor_1,750,forward,1003,True,True,166,53
cup02_indoor_1@800F,cup02_indoor_1,800,forward,953,True,True,116,116
cup02_indoor_1@850F,cup02_indoor_1,850,forward,903,True,True,66,66
cup02_indoor_1@900B,cup02_indoor_1,900,backward,901,True,True,177,375
cup02_indoor_1@958B,cup02_indoor_1,958,backward,959,True,True,48,48
cup02_indoor_1@1006B,cup02_indoor_1,1006,backward,1007,True,True,60,60
cup02_indoor_1@1050B,cup02_indoor_1,1050,backward,1051,True,True,32,32
cup02_indoor_1@1100B,cup02_indoor_1,1100,backward,1101,True,True,82,81
cup02_indoor_1@1150B,cup02_indoor_1,1150,backward,1151,True,True,132,136
cup02_indoor_1@1200B,cup02_indoor_1,1200,backward,1201,True,True,181,181
cup02_indoor_1@1250B,cup02_indoor_1,1250,backward,1251,True,True,230,232
cup02_indoor_1@1300B,cup02_indoor_1,1300,backward,1301,True,True,288,291
cup02_indoor_1@1350B,cup02_indoor_1,1350,backward,1351,True,True,25,16
cup02_indoor_1@1400B,cup02_indoor_1,1400,backward,1401,True,True,79,79
cup02_indoor_1@1450B,cup02_indoor_1,1450,backward,1451,True,True,114,132
cup02_indoor_1@1500B,cup02_indoor_1,1500,backward,1501,True,True,179,179
cup02_indoor_1@1550B,cup02_indoor_1,1550,backward,1551,True,True,232,229
cup02_indoor_1@1600B,cup02_indoor_1,1600,backward,1601,True,True,279,105
cup02_indoor_1@1650B,cup02_indoor_1,1650,backward,1651,True,True,29,29
cup02_indoor_1@1700B,cup02_indoor_1,1700,backward,1701,True,True,36,35
cup02_indoor_1@1752B,cup02_indoor_1,1752,backward,1753,True,True,89,70
shoes02_indoor_1@0F,shoes02_indoor_1,0,forward,614,True,True,57,57
shoes02_indoor_1@50F,shoes02_indoor_1,50,forward,564,True,True,7,7
shoes02_indoor_1@100F,shoes02_indoor_1,100,forward,514,True,True,62,58
shoes02_indoor_1@150F,shoes02_indoor_1,150,forward,464,True,True,58,13
shoes02_indoor_1@200F,shoes02_indoor_1,200,forward,414,True,True,8,8
shoes02_indoor_1@250F,shoes02_indoor_1,250,forward,364,True,True,4,4
shoes02_indoor_1@300F,shoes02_indoor_1,300,forward,314,False,False,314,314
shoes02_indoor_1@350B,shoes02_indoor_1,350,backward,351,True,True,94,94
shoes02_indoor_1@400B,shoes02_indoor_1,400,backward,401,True,True,68,53
shoes02_indoor_1@450B,shoes02_indoor_1,450,backward,451,True,True,126,123
shoes02_indoor_1@500B,shoes02_indoor_1,500,backward,501,True,True,224,144
shoes02_indoor_1@550B,shoes02_indoor_1,550,backward,551,True,True,274,193
shoes02_indoor_1@613B,shoes02_indoor_1,613,backward,614,True,True,311,230
cube05_indoor_5@0F,cube05_indoor_5,0,forward,492,True,True,62,65
cube05_indoor_5@50F,cube05_indoor_5,50,forward,442,True,True,332,333
cube05_indoor_5@100F,cube05_indoor_5,100,forward,392,True,True,282,282
cube05_indoor_5@150F,cube05_indoor_5,150,forward,342,True,True,232,231
cube05_indoor_5@200F,cube05_indoor_5,200,forward,292,True,True,182,181
cube05_indoor_5@250B,cube05_indoor_5,250,backward,251,False,False,251,251
cube05_indoor_5@295B,cube05_indoor_5,295,backward,296,False,False,296,296
cube05_indoor_5@387B,cube05_indoor_5,387,backward,388,True,True,90,90
cube05_indoor_5@400B,cube05_indoor_5,400,backward,401,True,True,103,8
cube05_indoor_5@450B,cube05_indoor_5,450,backward,451,True,True,57,57
cube05_indoor_5@491B,cube05_indoor_5,491,backward,492,True,True,194,194
shoes02_indoor_2@0F,shoes02_indoor_2,0,forward,111,False,False,111,111
shoes02_indoor_2@50F,shoes02_indoor_2,50,forward,61,False,False,61,61
shoes02_indoor_2@100B,shoes02_indoor_2,100,backward,101,True,True,63,55
shoes02_indoor_2@110B,shoes02_indoor_2,110,backward,111,True,True,73,65
bandlight_indoor_1@0F,bandlight_indoor_1,0,forward,1185,False,True,1185,209
bandlight_indoor_1@50F,bandlight_indoor_1,50,forward,1135,False,False,1135,1135
bandlight_indoor_1@100F,bandlight_indoor_1,100,forward,1085,False,False,1085,1085
