sequence,anchors,native_failures,M78_failures,rescued,newly_failed
ball06_indoor_2,8,7,8,0,1
bandlight_indoor_1,25,5,6,2,3
cube02_indoor_1,13,7,7,0,0
cube02_indoor_2,13,0,3,0,3
cube05_indoor_1,4,2,2,0,0
cube05_indoor_2,4,0,0,0,0
cube05_indoor_4,7,4,3,1,0
cube05_indoor_5,11,9,9,0,0
cube05_indoor_6,16,1,2,0,1
cup02_indoor_1,36,36,36,0,0
duck03_wild_1,6,0,0,0,0
duck03_wild_2,6,0,0,0,0
earphone01_indoor_1,20,2,1,2,1
humans_shirts_room_occ_1_A_2,13,6,6,0,0
humans_shirts_room_occ_1_B_1,12,0,1,0,1
robot_human_corridor_noocc_1_B_1,19,0,2,0,2
shoes02_indoor_1,13,12,12,0,0
shoes02_indoor_2,4,2,2,0,0
squirrel_wild_1,9,0,0,0,0
toy09_indoor_1,26,26,26,0,0
two_tennis_balls_3,4,3,4,0,1
yogurt_indoor_1,34,2,10,0,8
