condition,sequence,valid_frames,mean_iou,low_iou_frames,H10_episodes,invalid_gt_frames
native,bag05_indoor,587,0.8279253172403458,25,1,301
native,ball07_indoor,2179,0.3656797293121897,1288,8,339
native,ball19_indoor,1380,0.8376023386993889,19,1,0
native,beautifullight01_indoor,910,0.6148167814582928,270,4,359
native,book06_indoor,1545,0.6561600052875503,381,3,445
native,car01_indoor,1402,0.39028989887698157,814,3,139
native,car02_indoor,565,0.6931147174102164,143,2,187
native,colacan01_indoor,2801,0.10115527899935023,2464,10,254
native,colacan04_indoor,567,0.2765575051997759,392,12,433
native,container01_indoor,621,0.9258524353783406,4,0,139
native,cup08_indoor,1321,0.8313948629454425,103,1,129
native,cup10_indoor,2147,0.8662969533094967,77,1,48
native,cup13_indoor,1658,0.7701025858000975,111,3,103
native,egg_indoor,3433,0.7347777865948814,523,9,118
native,flower02_wild,467,0.6505474063201775,100,2,188
native,flower03_indoor,547,0.8383055701525113,0,0,196
native,flowerbasket_indoor,851,0.7620250104906767,123,3,149
native,ghostmask_indoor,1025,0.7160860831905007,193,3,139
native,glass03_indoor,570,0.7575939180713592,111,3,104
native,mobilephone01_indoor,1217,0.7298451507172626,207,5,200
native,mobilephone02_indoor,610,0.8512744411117056,1,0,90
native,notebook02_indoor,2494,0.8579973833543286,48,1,151
M78_category,bag05_indoor,587,0.8549466858772202,5,0,301
M78_category,ball07_indoor,2179,0.8068493004961645,268,6,339
M78_category,ball19_indoor,1380,0.8458064374861881,20,1,0
M78_category,beautifullight01_indoor,910,0.5556015023230035,334,5,359
M78_category,book06_indoor,1545,0.8173943193706406,79,2,445
M78_category,car01_indoor,1402,0.4522062553073588,719,3,139
M78_category,car02_indoor,565,0.9122640935250125,13,1,187
M78_category,colacan01_indoor,2801,0.7566404337172092,272,6,254
M78_category,colacan04_indoor,567,0.422677144290091,301,9,433
M78_category,container01_indoor,621,0.9243783664955826,3,0,139
M78_category,cup08_indoor,1321,0.8273952447820951,103,1,129
M78_category,cup10_indoor,2147,0.8959888341582198,17,1,48
M78_category,cup13_indoor,1658,0.7339231323487684,194,4,103
M78_category,egg_indoor,3433,0.6123827620774827,1040,11,118
M78_category,flower02_wild,467,0.7916484060974245,23,0,188
M78_category,flower03_indoor,547,0.844447208369311,0,0,196
M78_category,flowerbasket_indoor,851,0.3121271745667486,553,3,149
M78_category,ghostmask_indoor,1025,0.6765005438102489,247,4,139
M78_category,glass03_indoor,570,0.16870902038955593,468,5,104
M78_category,mobilephone01_indoor,1217,0.527275879230102,483,8,200
M78_category,mobilephone02_indoor,610,0.8441935447526401,3,0,90
M78_category,notebook02_indoor,2494,0.8499457696706101,78,3,151
M78_empty_trained,bag05_indoor,587,0.8484565739291003,9,0,301
M78_empty_trained,ball07_indoor,2179,0.8585364166453269,151,5,339
M78_empty_trained,ball19_indoor,1380,0.8475202068138182,22,1,0
M78_empty_trained,beautifullight01_indoor,910,0.4230828875057718,472,9,359
M78_empty_trained,book06_indoor,1545,0.7900229968779772,133,3,445
M78_empty_trained,car01_indoor,1402,0.45494789927393703,714,3,139
M78_empty_trained,car02_indoor,565,0.9094026680033522,14,1,187
M78_empty_trained,colacan01_indoor,2801,0.1007219872767765,2470,10,254
M78_empty_trained,colacan04_indoor,567,0.2646288456087001,399,12,433
M78_empty_trained,container01_indoor,621,0.9240734032227411,4,0,139
M78_empty_trained,cup08_indoor,1321,0.8249045442148555,103,1,129
M78_empty_trained,cup10_indoor,2147,0.8618492520663988,45,2,48
M78_empty_trained,cup13_indoor,1658,0.4969604041582825,670,5,103
M78_empty_trained,egg_indoor,3433,0.5407778314990008,1322,12,118
M78_empty_trained,flower02_wild,467,0.6477798131600601,103,1,188
M78_empty_trained,flower03_indoor,547,0.8468451211299055,0,0,196
M78_empty_trained,flowerbasket_indoor,851,0.3082773897065267,556,3,149
M78_empty_trained,ghostmask_indoor,1025,0.6629862857061586,269,5,139
M78_empty_trained,glass03_indoor,570,0.2677942756246638,408,4,104
M78_empty_trained,mobilephone01_indoor,1217,0.7610027075545155,168,3,200
M78_empty_trained,mobilephone02_indoor,610,0.8439827880810445,3,0,90
M78_empty_trained,notebook02_indoor,2494,0.8472706677929763,90,3,151
category,bag05_indoor,587,0.8408853893039373,15,0,301
category,ball07_indoor,2179,0.7832197727569774,323,7,339
category,ball19_indoor,1380,0.8459190036378367,21,1,0
category,beautifullight01_indoor,910,0.5507958054686989,340,6,359
category,book06_indoor,1545,0.6453069266701443,382,3,445
category,car01_indoor,1402,0.44898838211733516,722,3,139
category,car02_indoor,565,0.9105175088292683,14,1,187
category,colacan01_indoor,2801,0.10032570682233455,2469,10,254
category,colacan04_indoor,567,0.26314487437815015,400,12,433
category,container01_indoor,621,0.898730203502927,21,1,139
category,cup08_indoor,1321,0.8932173967147965,1,0,129
category,cup10_indoor,2147,0.898379217700313,11,1,48
category,cup13_indoor,1658,0.8001003528262672,63,2,103
category,egg_indoor,3433,0.7391473685997924,550,9,118
category,flower02_wild,467,0.656258753455897,98,1,188
category,flower03_indoor,547,0.8456656915171007,0,0,196
category,flowerbasket_indoor,851,0.7729962109662791,111,2,149
category,ghostmask_indoor,1025,0.7997780051256184,82,1,139
category,glass03_indoor,570,0.27188370998637224,405,4,104
category,mobilephone01_indoor,1217,0.5272644442914246,483,8,200
category,mobilephone02_indoor,610,0.8370631120897067,9,0,90
category,notebook02_indoor,2494,0.4655744049134951,1178,9,151
empty,bag05_indoor,587,0.7766515591622062,58,2,301
empty,ball07_indoor,2179,0.7785472592021782,335,8,339
empty,ball19_indoor,1380,0.8448005512341733,23,1,0
empty,beautifullight01_indoor,910,0.42699180009626286,466,8,359
empty,book06_indoor,1545,0.7865316028787648,126,3,445
empty,car01_indoor,1402,0.4485338874010776,722,3,139
empty,car02_indoor,565,0.9080511771695733,15,1,187
empty,colacan01_indoor,2801,0.10145031436177482,2466,10,254
empty,colacan04_indoor,567,0.20252452956125014,440,13,433
empty,container01_indoor,621,0.8962701364815384,22,1,139
empty,cup08_indoor,1321,0.8896287189498226,1,0,129
empty,cup10_indoor,2147,0.8981893612962207,11,1,48
empty,cup13_indoor,1658,0.8002711993113992,64,2,103
empty,egg_indoor,3433,0.6091101180937682,1058,12,118
empty,flower02_wild,467,0.6457724146701396,104,1,188
empty,flower03_indoor,547,0.84465006490762,0,0,196
empty,flowerbasket_indoor,851,0.7693764679668935,116,2,149
empty,ghostmask_indoor,1025,0.6737644653974373,245,4,139
empty,glass03_indoor,570,0.5801037560809816,218,2,104
empty,mobilephone01_indoor,1217,0.5619341652566725,435,6,200
empty,mobilephone02_indoor,610,0.8374040027956026,9,0,90
empty,notebook02_indoor,2494,0.6367869801990726,702,6,151
swapped,bag05_indoor,587,0.8194930114295258,30,1,301
swapped,ball07_indoor,2179,0.7792007989207169,335,8,339
swapped,ball19_indoor,1380,0.8455907403040307,21,1,0
swapped,beautifullight01_indoor,910,0.42465011111710327,469,8,359
swapped,book06_indoor,1545,0.8118615727181531,83,2,445
swapped,car01_indoor,1402,0.387780097912526,812,4,139
swapped,car02_indoor,565,0.9117787599708168,14,1,187
swapped,colacan01_indoor,2801,0.1004861859466244,2469,10,254
swapped,colacan04_indoor,567,0.6955316414352624,127,3,433
swapped,container01_indoor,621,0.9242828556808159,3,0,139
