group,condition,passed
primary_gates,t0_vs_t0_native_pooled,False
primary_gates,t0_vs_t0_native_macro,False
primary_gates,t0_vs_t0_native_low,False
primary_gates,t0_vs_t0_native_H10,False
primary_gates,t0_vs_t0_native_protect,True
primary_gates,t0_vs_t0_empty_trained_pooled,True
primary_gates,t0_vs_t0_empty_trained_macro,False
primary_gates,t0_vs_t0_empty_trained_low,True
primary_gates,t0_vs_t0_empty_trained_H10,True
primary_gates,t0_vs_t0_empty_trained_protect,True
primary_gates,multi_vs_multi_native_pooled,False
primary_gates,multi_vs_multi_native_macro,False
primary_gates,multi_vs_multi_native_low,False
primary_gates,multi_vs_multi_native_H10,False
primary_gates,multi_vs_multi_native_protect,False
primary_gates,multi_vs_multi_empty_trained_pooled,False
primary_gates,multi_vs_multi_empty_trained_macro,False
primary_gates,multi_vs_multi_empty_trained_low,False
primary_gates,multi_vs_multi_empty_trained_H10,False
primary_gates,multi_vs_multi_empty_trained_protect,False
content_gates,t0_empty_content_pooled,True
content_gates,t0_empty_content_macro,False
content_gates,t0_empty_content_low,False
content_gates,t0_empty_content_H10,False
content_gates,t0_swapped_pooled,True
content_gates,t0_swapped_macro,True
content_gates,t0_swapped_low,True
content_gates,t0_swapped_H10,True
initialization_coverage_gates,pooled,False
initialization_coverage_gates,macro,False
initialization_coverage_gates,low,False
initialization_coverage_gates,H10,False
