condition,episode,valid_frames,mean_iou,low_iou_frames,H10_episodes,invalid_gt_frames
t0_category,bag05_indoor:0,587,0.854969811915937,5,0,301
t0_category,ball07_indoor:0,2179,0.7778558971843348,334,8,339
t0_category,ball19_indoor:0,1380,0.8475471528076232,20,0,0
t0_category,beautifullight01_indoor:0,910,0.5517931241132006,339,6,359
t0_category,book06_indoor:0,1545,0.7802263475695977,150,4,445
t0_category,car01_indoor:0,1402,0.3985606342388879,797,3,139
t0_category,car02_indoor:0,565,0.9117042691656733,14,1,187
t0_category,colacan01_indoor:0,2801,0.1011904686841308,2468,10,254
t0_category,colacan04_indoor:0,567,0.20399525847252958,439,13,433
t0_category,container01_indoor:0,621,0.9249234190336526,3,0,139
t0_category,cup08_indoor:0,1321,0.9004540651095537,1,0,129
t0_category,cup10_indoor:0,2147,0.8976864567657249,13,1,48
t0_category,cup13_indoor:0,1658,0.799975524139966,62,2,103
t0_category,egg_indoor:0,3433,0.5704519863333751,1209,13,118
t0_category,flower02_wild:0,467,0.6498228604544306,103,1,188
t0_category,flower03_indoor:0,547,0.8470686178412948,0,0,196
t0_category,flowerbasket_indoor:0,851,0.31355992149098966,552,3,149
t0_category,ghostmask_indoor:0,1025,0.6908529084762222,233,4,139
t0_category,glass03_indoor:0,570,0.16902015231944045,468,5,104
t0_category,mobilephone01_indoor:0,1217,0.5280902223751923,483,8,200
t0_category,mobilephone02_indoor:0,610,0.8434208596728113,4,0,90
t0_category,notebook02_indoor:0,2494,0.8516981662416255,74,2,151
t0_empty_trained,bag05_indoor:0,587,0.7695525793329466,61,2,301
t0_empty_trained,ball07_indoor:0,2179,0.8039871658326039,273,7,339
t0_empty_trained,ball19_indoor:0,1380,0.8473470010822353,20,1,0
t0_empty_trained,beautifullight01_indoor:0,910,0.4148314193216869,480,9,359
t0_empty_trained,book06_indoor:0,1545,0.8115163723593122,81,2,445
t0_empty_trained,car01_indoor:0,1402,0.39977146038026584,796,3,139
t0_empty_trained,car02_indoor:0,565,0.9132890320795335,14,1,187
t0_empty_trained,colacan01_indoor:0,2801,0.10029381245039096,2471,10,254
t0_empty_trained,colacan04_indoor:0,567,0.48995330156513883,256,8,433
t0_empty_trained,container01_indoor:0,621,0.8746356370887503,36,1,139
t0_empty_trained,cup08_indoor:0,1321,0.8959643574886794,1,0,129
t0_empty_trained,cup10_indoor:0,2147,0.8733832586472158,74,1,48
t0_empty_trained,cup13_indoor:0,1658,0.8015304559725035,62,2,103
t0_empty_trained,egg_indoor:0,3433,0.5412486151990336,1329,12,118
t0_empty_trained,flower02_wild:0,467,0.6642002214971419,93,1,188
t0_empty_trained,flower03_indoor:0,547,0.8426152625155026,0,0,196
t0_empty_trained,flowerbasket_indoor:0,851,0.7701423275564652,113,2,149
t0_empty_trained,ghostmask_indoor:0,1025,0.6738949180713948,251,4,139
t0_empty_trained,glass03_indoor:0,570,0.5806719500007271,220,2,104
t0_empty_trained,mobilephone01_indoor:0,1217,0.5295878197313798,483,8,200
t0_empty_trained,mobilephone02_indoor:0,610,0.8290058232176014,15,1,90
t0_empty_trained,notebook02_indoor:0,2494,0.5336478960316514,820,13,151
t0_empty_content,bag05_indoor:0,587,0.820962787962896,27,1,301
t0_empty_content,ball07_indoor:0,2179,0.798520924553205,285,8,339
t0_empty_content,ball19_indoor:0,1380,0.842752153148427,25,1,0
t0_empty_content,beautifullight01_indoor:0,910,0.8361884428197085,36,0,359
t0_empty_content,book06_indoor:0,1545,0.7915645228491829,128,3,445
t0_empty_content,car01_indoor:0,1402,0.39903536412613455,796,3,139
t0_empty_content,car02_indoor:0,565,0.912436399950369,14,1,187
t0_empty_content,colacan01_indoor:0,2801,0.10210078044727132,2465,10,254
t0_empty_content,colacan04_indoor:0,567,0.26419203963713755,399,12,433
t0_empty_content,container01_indoor:0,621,0.9244856642919108,3,0,139
t0_empty_content,cup08_indoor:0,1321,0.8998009419220365,1,0,129
t0_empty_content,cup10_indoor:0,2147,0.8725502867984717,75,1,48
t0_empty_content,cup13_indoor:0,1658,0.8042644407516524,56,2,103
t0_empty_content,egg_indoor:0,3433,0.6032630292635739,1081,12,118
t0_empty_content,flower02_wild:0,467,0.7869173405684214,26,0,188
t0_empty_content,flower03_indoor:0,547,0.8461969790127778,0,0,196
t0_empty_content,flowerbasket_indoor:0,851,0.7702587233592221,114,2,149
t0_empty_content,ghostmask_indoor:0,1025,0.8034592628501154,88,1,139
t0_empty_content,glass03_indoor:0,570,0.5842197039407799,218,2,104
t0_empty_content,mobilephone01_indoor:0,1217,0.5625639321420223,436,6,200
t0_empty_content,mobilephone02_indoor:0,610,0.8429813644920472,4,0,90
t0_empty_content,notebook02_indoor:0,2494,0.3154596842644475,1437,17,151
t0_swapped,bag05_indoor:0,587,0.8272275603462242,24,1,301
t0_swapped,ball07_indoor:0,2179,0.7841543927432528,326,11,339
t0_swapped,ball19_indoor:0,1380,0.846031539662114,23,1,0
t0_swapped,beautifullight01_indoor:0,910,0.3349192864037462,563,11,359
t0_swapped,book06_indoor:0,1545,0.8176916237998094,79,2,445
t0_swapped,car01_indoor:0,1402,0.4001905690440504,795,3,139
t0_swapped,car02_indoor:0,565,0.9127054085412085,14,1,187
t0_swapped,colacan01_indoor:0,2801,0.10078552996307717,2469,10,254
t0_swapped,colacan04_indoor:0,567,0.21315993016129847,433,13,433
t0_swapped,container01_indoor:0,621,0.8282444184696824,67,1,139
t0_swapped,cup08_indoor:0,1321,0.896078612204173,1,0,129
t0_swapped,cup10_indoor:0,2147,0.882855534813547,51,1,48
t0_swapped,cup13_indoor:0,1658,0.8015319717712359,63,2,103
t0_swapped,egg_indoor:0,3433,0.46936992208098,1572,16,118
t0_swapped,flower02_wild:0,467,0.6605358106158588,95,1,188
t0_swapped,flower03_indoor:0,547,0.8452901936184757,0,0,196
t0_swapped,flowerbasket_indoor:0,851,0.7692488706642072,116,2,149
t0_swapped,ghostmask_indoor:0,1025,0.6773932058205211,252,5,139
t0_swapped,glass03_indoor:0,570,0.2751988609151683,404,4,104
t0_swapped,mobilephone01_indoor:0,1217,0.5627056267071385,435,6,200
t0_swapped,mobilephone02_indoor:0,610,0.8432624719757565,4,0,90
t0_swapped,notebook02_indoor:0,2494,0.3152696500472051,1442,17,151
multi_category,bag05_indoor:0,355,0.8448910637631784,4,0,157
multi_category,bag05_indoor:512,232,0.730317020458772,35,2,144
multi_category,ball07_indoor:0,514,0.8896092417594724,16,1,30
multi_category,ball07_indoor:544,423,0.8417003755600845,25,1,185
multi_category,ball07_indoor:1152,476,0.6745824319840413,129,3,36
multi_category,ball07_indoor:1664,512,0.9410927280833021,0,0,0
multi_category,ball07_indoor:2176,254,0.36671019156714263,153,2,88
multi_category,ball19_indoor:0,512,0.8431235008076537,9,0,0
multi_category,ball19_indoor:512,512,0.831730686341316,15,1,0
multi_category,ball19_indoor:1024,356,0.8655854007732962,0,0,0
multi_category,beautifullight01_indoor:0,421,0.8412704501118482,19,1,91
multi_category,beautifullight01_indoor:512,290,0.09019439688428582,259,6,222
multi_category,beautifullight01_indoor:1024,199,0.6849513197927631,37,2,46
multi_category,book06_indoor:0,512,0.8681011762594962,4,0,0
multi_category,book06_indoor:512,289,0.8508406543855791,3,0,223
multi_category,book06_indoor:1024,450,0.7358527438871272,61,2,222
multi_category,book06_indoor:1696,294,0.8320063105557943,12,1,0
multi_category,car01_indoor:0,439,0.5733051451152501,163,2,73
multi_category,car01_indoor:512,446,0.6903670496863418,117,1,66
multi_category,car01_indoor:1024,512,0.9423590266734543,0,0,0
multi_category,car01_indoor:1536,5,0.9601589401709356,0,0,0
multi_category,car02_indoor:0,497,0.9383892983744946,0,0,15
multi_category,car02_indoor:512,68,0.7195637041929389,14,1,172
multi_category,colacan01_indoor:0,498,0.5690879955192302,165,2,14
multi_category,colacan01_indoor:512,481,0.8213913742049024,0,0,31
multi_category,colacan01_indoor:1024,509,0.8209906396905212,0,0,3
multi_category,colacan01_indoor:1536,508,0.8143107644040551,13,1,4
multi_category,colacan01_indoor:2048,310,0.02619139716740204,298,5,202
multi_category,colacan01_indoor:2560,495,0.854105131800366,0,0,0
multi_category,colacan04_indoor:0,336,0.34424199867239363,208,5,176
multi_category,colacan04_indoor:512,231,0.8684236712788118,5,0,257
multi_category,container01_indoor:0,447,0.9340849306829668,1,0,97
multi_category,container01_indoor:544,174,0.8937109426647988,3,0,42
multi_category,cup08_indoor:0,436,0.9087968970084588,0,0,76
multi_category,cup08_indoor:512,459,0.8812946003257207,1,0,53
multi_category,cup08_indoor:1024,426,0.894371507441065,0,0,0
multi_category,cup10_indoor:0,509,0.9021446503188661,0,0,3
multi_category,cup10_indoor:512,512,0.9368466340119608,1,0,0
multi_category,cup10_indoor:1024,507,0.8703636437472883,0,0,5
multi_category,cup10_indoor:1536,472,0.7971197673401986,54,1,40
multi_category,cup10_indoor:2048,147,0.8553868347696686,5,0,0
multi_category,cup13_indoor:0,508,0.8448863913228741,3,0,4
multi_category,cup13_indoor:512,466,0.812354655395972,0,0,78
multi_category,cup13_indoor:1056,507,0.8184244353478868,5,0,5
multi_category,cup13_indoor:1568,177,0.7711839579060595,8,0,16
multi_category,egg_indoor:0,442,0.12273399863939125,378,4,70
multi_category,egg_indoor:512,512,0.7865793109456679,39,1,0
multi_category,egg_indoor:1024,479,0.8483446434340933,14,1,33
multi_category,egg_indoor:1536,512,0.8999491697569745,12,1,0
multi_category,egg_indoor:2048,512,0.8554265789067059,2,0,0
multi_category,egg_indoor:2560,497,0.8741795227729803,5,0,15
multi_category,egg_indoor:3072,479,0.8691094820643874,0,0,0
multi_category,flower02_wild:0,358,0.6101535559643331,98,1,154
multi_category,flower02_wild:512,109,0.7280467635777323,13,0,34
multi_category,flower03_indoor:0,367,0.8470927888855675,0,0,145
multi_category,flower03_indoor:512,180,0.8537802912632111,0,0,51
multi_category,flowerbasket_indoor:0,427,0.6249168458754852,128,1,85
multi_category,flowerbasket_indoor:512,424,0.6786550170559783,97,1,64
multi_category,ghostmask_indoor:0,464,0.8998218592937338,2,0,48
multi_category,ghostmask_indoor:512,424,0.8248790292715631,6,0,88
