group,condition,criterion,passed
primary,category,mean_vs_native,True
primary,category,mean_vs_control,True
primary,category,macro_vs_native,True
primary,category,macro_vs_control,True
primary,category,low_frames_vs_native,True
primary,category,low_frames_vs_control,True
primary,category,H10_vs_native,True
primary,category,H10_vs_control,True
primary,category,native_success_protection,True
primary,category,control_success_protection,True
content_gates,category_empty,mean,False
content_gates,category_empty,macro,False
content_gates,category_empty,low,False
content_gates,category_empty,H10,False
content_gates,category_swapped,mean,True
content_gates,category_swapped,macro,True
content_gates,category_swapped,low,True
content_gates,category_swapped,H10,True
preservation_incremental_gates,category,mean,True
preservation_incremental_gates,category,macro,True
preservation_incremental_gates,category,low,True
preservation_incremental_gates,category,H10,True
preservation_incremental_gates,empty,mean,True
preservation_incremental_gates,empty,macro,True
preservation_incremental_gates,empty,low,True
preservation_incremental_gates,empty,H10,True
