condition,sequence,valid_frames,mean_iou,low_iou_frames,failure_episodes
native,bag05_indoor,587,0.8279253172403458,25,1
native,ball07_indoor,2179,0.3656797293121897,1288,8
native,ball19_indoor,1380,0.8376023386993889,19,1
native,beautifullight01_indoor,910,0.6148167814582928,270,4
native,book06_indoor,1545,0.6561600052875503,381,3
native,car01_indoor,1402,0.39028989887698157,814,3
native,car02_indoor,565,0.6931147174102164,143,2
native,colacan01_indoor,2801,0.10115527899935023,2464,10
native,colacan04_indoor,567,0.2765575051997759,392,12
native,container01_indoor,621,0.9258524353783406,4,0
native,cup08_indoor,1321,0.8313948629454425,103,1
native,cup10_indoor,2147,0.8662969533094967,77,1
native,cup13_indoor,1658,0.7701025858000975,111,3
native,egg_indoor,3433,0.7347777865948814,523,9
native,flower02_wild,467,0.6505474063201775,100,2
native,flower03_indoor,547,0.8383055701525113,0,0
native,flowerbasket_indoor,851,0.7620250104906767,123,3
native,ghostmask_indoor,1025,0.7160860831905007,193,3
native,glass03_indoor,570,0.7575939180713592,111,3
native,mobilephone01_indoor,1217,0.7298451507172626,207,5
native,mobilephone02_indoor,610,0.8512744411117056,1,0
native,notebook02_indoor,2494,0.8579973833543286,48,1
category,bag05_indoor,587,0.8461222207746254,12,0
category,ball07_indoor,2179,0.812455540561324,247,6
category,ball19_indoor,1380,0.8437683691852146,17,1
category,beautifullight01_indoor,910,0.6225291517721588,263,4
category,book06_indoor,1545,0.8083232147497165,96,3
category,car01_indoor,1402,0.7068378972609537,344,3
category,car02_indoor,565,0.9059171967084688,14,1
category,colacan01_indoor,2801,0.26613707548231624,1924,10
category,colacan04_indoor,567,0.250917754225741,409,12
category,container01_indoor,621,0.9267650605428521,3,0
category,cup08_indoor,1321,0.8884034281878057,1,0
category,cup10_indoor,2147,0.8616080751691794,48,2
category,cup13_indoor,1658,0.7996179615235037,61,2
category,egg_indoor,3433,0.7335176981463367,553,8
category,flower02_wild,467,0.6289081021429678,115,2
category,flower03_indoor,547,0.8415668668073903,1,0
category,flowerbasket_indoor,851,0.7773271599922834,108,2
category,ghostmask_indoor,1025,0.7066658412720972,221,3
category,glass03_indoor,570,0.8873924099092777,35,1
category,mobilephone01_indoor,1217,0.5624955669875247,435,6
category,mobilephone02_indoor,610,0.8433256191758437,4,0
category,notebook02_indoor,2494,0.8644978239889097,41,1
empty,bag05_indoor,587,0.8226392444404632,27,1
empty,ball07_indoor,2179,0.7714778982337501,351,9
empty,ball19_indoor,1380,0.8421089856100602,19,1
empty,beautifullight01_indoor,910,0.419631989751765,475,9
empty,book06_indoor,1545,0.8202731047808833,81,2
empty,car01_indoor,1402,0.6298015697030352,457,3
empty,car02_indoor,565,0.3257852207708717,366,2
empty,colacan01_indoor,2801,0.1017725756372097,2465,10
empty,colacan04_indoor,567,0.2322374495974332,419,13
empty,container01_indoor,621,0.9256790262677244,4,0
empty,cup08_indoor,1321,0.8931849455649294,1,0
empty,cup10_indoor,2147,0.8674642370245162,36,2
empty,cup13_indoor,1658,0.8038696759071272,54,2
empty,egg_indoor,3433,0.7329436008431297,556,8
empty,flower02_wild,467,0.6241127406890252,118,2
empty,flower03_indoor,547,0.8467200898472446,0,0
empty,flowerbasket_indoor,851,0.7695838262790511,116,2
empty,ghostmask_indoor,1025,0.6255743562915929,312,4
empty,glass03_indoor,570,0.8891176779400192,35,1
empty,mobilephone01_indoor,1217,0.5631877411229426,435,6
