group,readout,n,mean_one_step_iou,low,correct,rescue_vs_category,harm_vs_category,raw_rescue_hann,raw_harm_hann,raw_hann_peak_changes,mean_native_spatial_kl,mean_response_mass
all_valid,category,28897,0.7295208956047247,4952,23662,0,0,62,99,979,0.01603348223618414,1.816351052734742
all_valid,empty,28897,0.7294818358563498,4953,23663,0,1,62,97,969,0.017023076923490692,1.8056580895935659
all_valid,swapped,28897,0.7296439486129083,4950,23664,0,0,62,99,924,0.01597520204965722,1.8106659963254133
all_valid,native,28897,0.7278484732411136,4953,23657,4,7,65,106,965,0.0,2.3012116926122412
centre_inside,category,24323,0.8666252017065237,385,23662,0,0,61,99,475,0.012328229343737307,1.6025016023101801
centre_inside,empty,24323,0.8665789141166109,386,23663,0,1,61,97,468,0.012925037758329575,1.6005634114581817
centre_inside,swapped,24323,0.8667717090226089,384,23664,0,0,61,99,467,0.01193327249076522,1.60641541543458
centre_inside,native,24323,0.8646422729692314,385,23657,4,7,64,106,463,0.0,1.8276192850518256
native_correct,category,23657,0.8863988967122692,4,23635,0,0,0,99,322,0.011934268916502875,1.572452774373174
native_correct,empty,23657,0.8863469162785573,5,23635,0,1,0,97,312,0.012506433888296383,1.5710755434318242
native_correct,swapped,23657,0.8865418490496504,4,23637,0,0,0,99,312,0.011552421922525943,1.575294373048734
native_correct,native,23657,0.8847630909611224,0,23657,4,0,0,106,313,0.0,1.7601995934455228
native_not_correct,category,5240,0.021264622283888097,4948,27,0,0,62,0,657,0.03454017870635583,2.9174773067804693
native_not_correct,empty,5240,0.021283895484562436,4948,28,0,0,62,0,657,0.03741434109974866,2.8647266572554604
native_not_correct,swapped,5240,0.021297835896875103,4946,27,0,0,62,0,612,0.035942703856440536,2.873297006221673
native_not_correct,native,5240,0.019426887095646016,4953,0,0,7,65,0,652,0.0,4.7437161258158795
centre_outside,category,4574,0.00044611700523657815,4567,0,0,0,1,0,504,0.035736776093417265,2.9535308040851165
centre_outside,empty,4574,0.0004454924972925281,4567,0,0,0,1,0,501,0.03881507662052039,2.8962828942037433
centre_outside,swapped,4574,0.0004444478597042902,4566,0,0,0,1,0,457,0.0374688296537084,2.8968021745081285
centre_outside,native,4574,0.0004248635369133948,4568,0,0,0,1,0,502,0.0,4.819617492588629
