sequence,readout,n,mean_one_step_iou,low,rescue_vs_category,harm_vs_category,update_qualification_count,update_qualification_disagreements
bag05_indoor,category,587,0.846122220774626,12,0,0,7,0
bag05_indoor,empty,587,0.8459387089012274,12,0,0,6,1
bag05_indoor,swapped,587,0.8459322736753757,12,0,0,6,1
bag05_indoor,native,587,0.8458532160619936,14,0,0,7,0
ball07_indoor,category,2179,0.8124555405613233,247,0,0,28,0
ball07_indoor,empty,2179,0.8130965573707859,247,0,0,28,0
ball07_indoor,swapped,2179,0.8121852458770099,247,0,0,28,0
ball07_indoor,native,2179,0.8052941740938192,247,0,0,28,0
ball19_indoor,category,1380,0.8437683691852143,17,0,0,10,0
ball19_indoor,empty,1380,0.8439124575712551,17,0,0,10,0
ball19_indoor,swapped,1380,0.8437896278582467,17,0,0,10,0
ball19_indoor,native,1380,0.8407040768327961,18,0,0,10,0
beautifullight01_indoor,category,910,0.6225291517721582,263,0,0,5,0
beautifullight01_indoor,empty,910,0.6225628180223393,263,0,0,5,0
beautifullight01_indoor,swapped,910,0.6225571046850393,263,0,0,6,1
beautifullight01_indoor,native,910,0.6193984292164465,264,0,1,11,6
book06_indoor,category,1545,0.8083232147497181,96,0,0,21,0
book06_indoor,empty,1545,0.8090477353614364,96,0,0,22,1
book06_indoor,swapped,1545,0.8095094454896151,96,0,0,23,2
book06_indoor,native,1545,0.8111046381206858,97,0,1,25,4
car01_indoor,category,1402,0.7068378972609534,344,0,0,17,0
car01_indoor,empty,1402,0.7068361537861714,344,0,0,17,0
car01_indoor,swapped,1402,0.706785134059693,344,0,0,17,0
car01_indoor,native,1402,0.705236448827113,346,0,1,17,0
car02_indoor,category,565,0.9059171967084692,14,0,0,8,0
car02_indoor,empty,565,0.9058478922486972,14,0,0,8,0
car02_indoor,swapped,565,0.9063642607350584,14,0,0,8,0
car02_indoor,native,565,0.9049776757594554,14,0,0,9,1
colacan01_indoor,category,2801,0.26613707548231635,1924,0,0,5,0
colacan01_indoor,empty,2801,0.265820320972675,1924,0,0,4,1
colacan01_indoor,swapped,2801,0.2657772813945127,1924,0,0,4,1
colacan01_indoor,native,2801,0.2652466788739369,1924,0,0,8,3
colacan04_indoor,category,567,0.2509177542257411,409,0,0,1,0
colacan04_indoor,empty,567,0.25089629671037217,409,0,0,1,0
colacan04_indoor,swapped,567,0.25110292643670956,409,0,0,1,0
colacan04_indoor,native,567,0.25114493273845073,409,0,0,4,3
container01_indoor,category,621,0.926765060542851,3,0,0,13,0
container01_indoor,empty,621,0.9264000446514274,3,0,0,13,0
container01_indoor,swapped,621,0.9266916651973124,3,0,0,13,0
container01_indoor,native,621,0.9267264286981882,3,0,0,13,0
cup08_indoor,category,1321,0.8884034281878067,1,0,0,21,0
cup08_indoor,empty,1321,0.8880553590349131,1,0,0,21,0
cup08_indoor,swapped,1321,0.8901992754205554,1,0,0,21,0
cup08_indoor,native,1321,0.8950922045253217,1,0,0,22,1
cup10_indoor,category,2147,0.8616080751691773,48,0,0,35,0
cup10_indoor,empty,2147,0.8617323744794935,48,0,0,35,0
cup10_indoor,swapped,2147,0.862013847328727,47,0,0,36,1
cup10_indoor,native,2147,0.8623420422430329,42,1,0,37,2
cup13_indoor,category,1658,0.7996179615235022,61,0,0,3,0
cup13_indoor,empty,1658,0.7991619841185473,61,0,0,2,1
cup13_indoor,swapped,1658,0.7997426965889814,61,0,0,4,1
cup13_indoor,native,1658,0.7931116607779625,62,1,2,6,3
egg_indoor,category,3433,0.7335176981463384,553,0,0,14,0
egg_indoor,empty,3433,0.7332791842058309,554,0,1,13,1
egg_indoor,swapped,3433,0.7335083876020992,553,0,0,13,1
egg_indoor,native,3433,0.7313615596648162,552,2,1,32,18
flower02_wild,category,467,0.6289081021429678,115,0,0,2,0
flower02_wild,empty,467,0.6286810094165193,115,0,0,2,0
flower02_wild,swapped,467,0.6288619768241076,115,0,0,2,0
flower02_wild,native,467,0.6257081431190019,115,0,0,4,2
flower03_indoor,category,547,0.8415668668073902,1,0,0,4,0
flower03_indoor,empty,547,0.8414866944122616,1,0,0,4,0
flower03_indoor,swapped,547,0.8410247981744656,1,0,0,4,0
flower03_indoor,native,547,0.8328367272561268,1,0,0,5,1
flowerbasket_indoor,category,851,0.7773271599922841,108,0,0,9,0
