comparison,removed_sequence,mean_iou_delta
category_empty,bag05_indoor,0.058572645207904395
category_empty,ball07_indoor,0.027704481209284038
category_empty,ball19_indoor,0.058876304864309836
category_empty,beautifullight01_indoor,0.055929503249596446
category_empty,book06_indoor,0.05799668363264765
category_empty,car01_indoor,0.05650273366207936
category_empty,car02_indoor,0.06473881297912609
category_empty,colacan01_indoor,0.021132245740828726
category_empty,colacan04_indoor,0.05471659657200345
category_empty,container01_indoor,0.05755391480933192
category_empty,cup08_indoor,0.056218395367882645
category_empty,cup10_indoor,0.060898688604763884
category_empty,cup13_indoor,0.0624291983202131
category_empty,egg_indoor,0.06720068533924906
category_empty,flower02_wild,0.05767413757814144
category_empty,flower03_indoor,0.05726033045028012
category_empty,flowerbasket_indoor,0.05788806045651951
category_empty,ghostmask_indoor,0.054653578055386065
category_empty,glass03_indoor,0.05487174317496557
category_empty,mobilephone01_indoor,0.06756866905355863
category_empty,mobilephone02_indoor,0.06378423431296232
category_empty,notebook02_indoor,0.06231783718779993
category_swapped,bag05_indoor,0.004192324631046351
category_swapped,ball07_indoor,0.005051944707051725
category_swapped,ball19_indoor,0.004608897806422596
category_swapped,beautifullight01_indoor,0.00041339573359611137
category_swapped,book06_indoor,0.01121089994886637
category_swapped,car01_indoor,0.014158631225295149
category_swapped,car02_indoor,0.008669980097192886
category_swapped,colacan01_indoor,-0.018629633916492416
category_swapped,colacan04_indoor,0.008939719727450002
category_swapped,container01_indoor,0.0034039982025289017
category_swapped,cup08_indoor,0.004573718602372767
category_swapped,cup10_indoor,0.0071346777235208325
category_swapped,cup13_indoor,0.00903037716997257
category_swapped,egg_indoor,0.002785139817521043
category_swapped,flower02_wild,-0.0022566492018983864
category_swapped,flower03_indoor,0.004439829600482281
category_swapped,flowerbasket_indoor,0.0047418830240747445
category_swapped,ghostmask_indoor,-0.002565009744593283
category_swapped,glass03_indoor,0.00453935570644437
category_swapped,mobilephone01_indoor,0.004602304833081106
category_swapped,mobilephone02_indoor,0.010556761316950602
category_swapped,notebook02_indoor,0.005636609200461717
