sequence,old_category,new_category,old_screening,new_screening,category_valid_frames,category_mean_iou,category_low_iou_frames,category_failure_episodes,category_empty_valid_frames,category_empty_mean_iou,category_empty_low_iou_frames,category_empty_failure_episodes,category_old_valid_frames,category_old_mean_iou,category_old_low_iou_frames,category_old_failure_episodes,category_swapped_valid_frames,category_swapped_mean_iou,category_swapped_low_iou_frames,category_swapped_failure_episodes,delta_mean_vs_category_empty,first_bbox_difference_vs_category_empty,delta_mean_vs_category_old,first_bbox_difference_vs_category_old,delta_mean_vs_category_swapped,first_bbox_difference_vs_category_swapped
bag05_indoor,hand,package,conflicting,supported,587,0.7851136447050275,52,2,587,0.8279253172403458,25,1,587,0.8145701136872252,33,1,587,0.8426437784300913,11,0,-0.04281167253531826,1,-0.02945646898219767,1,-0.05753013372506377,1
ball07_indoor,ball,table-tennis-ball,supported,conflicting,2179,0.4427795008510719,1122,10,2179,0.3656797293121898,1288,8,2179,0.7761709875357367,338,8,2179,0.7697305639725176,358,9,0.07709977153888214,1,-0.33339148668466473,1,-0.3269510631214457,1
ball19_indoor,ball,basketball,supported,supported,1380,0.8427178891375293,19,1,1380,0.8376023386993889,19,1,1380,0.841614046260485,17,1,1380,0.8411946066585004,19,1,0.005115550438140382,1,0.0011038428770443476,1,0.0015232824790288868,1
beautifullight01_indoor,ball,egg,supported,conflicting,910,0.5549349236274138,333,5,910,0.6148167814582928,270,4,910,0.3513104820538765,544,10,910,0.42056787058592654,473,8,-0.05988185783087896,1,0.20362444157353732,1,0.13436705304148727,1
book06_indoor,cup,cable,conflicting,conflicting,1545,0.8084252191821661,99,3,1545,0.6561600052875504,381,3,1545,0.8074298259941016,101,3,1545,0.7853806113638648,149,3,0.15226521389461578,1,0.0009953931880645195,1,0.02304460781830131,1
car01_indoor,car,car,supported,supported,1402,0.44256671295274574,741,2,1402,0.39028989887698157,814,3,1402,0.44256671295274574,741,2,1402,0.3769596817808034,833,4,0.05227681407576418,1,0.0,,0.06560703117194233,1
car02_indoor,car,car,supported,supported,565,0.3257428570955626,366,2,565,0.6931147174102164,143,2,565,0.3257428570955626,366,2,565,0.9068349326149121,14,1,-0.36737186031465374,1,0.0,,-0.5810920755193495,1
colacan01_indoor,soda can,canned-food,supported,uncertain,2801,0.32005422960484003,1733,10,2801,0.10115527899935023,2464,10,2801,0.7593123739977916,267,6,2801,0.48559055090916636,1186,10,0.2188989506054898,1,-0.4392581443929516,1,-0.16553632130432633,1
colacan04_indoor,can,canned-food,supported,uncertain,567,0.48665831599829384,261,7,567,0.2765575051997759,392,12,567,0.805940189258994,59,1,567,0.5876351875025453,197,6,0.21010081079851795,1,-0.3192818732607002,1,-0.10097687150425144,1
container01_indoor,plastic container,storage-box,supported,supported,621,0.9255188779105898,3,0,621,0.9258524353783406,4,0,621,0.9261499896369806,3,0,621,0.9264392648056295,3,0,-0.0003335574677507669,1,-0.0006311117263907429,1,-0.0009203868950397043,1
