arm,sequence,valid_frames,iou_sum,mean_iou,low_iou_frames,failure_episodes,invalid_gt_frames
category,bag05_indoor,587,460.8617094418512,0.7851136447050275,52,2,301
category,ball07_indoor,2179,964.8165323544857,0.4427795008510719,1122,10,339
category,ball19_indoor,1380,1162.9506870097905,0.8427178891375293,19,1,0
category,beautifullight01_indoor,910,504.9907805009465,0.5549349236274138,333,5,359
category,book06_indoor,1545,1249.0169636364467,0.8084252191821661,99,3,445
category,car01_indoor,1402,620.4785315597495,0.44256671295274574,741,2,139
category,car02_indoor,565,184.04471425899288,0.3257428570955626,366,2,187
category,colacan01_indoor,2801,896.471897123157,0.32005422960484003,1733,10,254
category,colacan04_indoor,567,275.9352651710326,0.48665831599829384,261,7,433
category,container01_indoor,621,574.7472231824763,0.9255188779105898,3,0,139
category,cup08_indoor,1321,1180.2576707657531,0.8934577371428866,1,0,129
category,cup10_indoor,2147,1817.2637963613909,0.84642002625123,84,2,48
category,cup13_indoor,1658,1353.836131424324,0.8165477270351774,25,1,103
category,egg_indoor,3433,2467.352649124328,0.7187161809275642,608,9,118
category,flower02_wild,467,291.5858982313702,0.6243809383969383,118,2,188
category,flower03_indoor,547,462.5020836090334,0.8455248329232786,0,0,196
category,flowerbasket_indoor,851,620.8458901215016,0.7295486370405424,152,2,149
category,ghostmask_indoor,1025,639.7360104265613,0.6241326930990841,313,4,139
category,glass03_indoor,570,508.7994024459631,0.8926305306069529,32,1,104
category,mobilephone01_indoor,1217,683.9181094583897,0.5619705090044287,435,6,200
category,mobilephone02_indoor,610,341.9841842115898,0.5606298101829341,208,1,90
category,notebook02_indoor,2494,1321.6674102158092,0.5299388172477182,989,5,151
category_empty,bag05_indoor,587,485.992161220083,0.8279253172403458,25,1,301
category_empty,ball07_indoor,2179,796.8161301712615,0.3656797293121898,1288,8,339
category_empty,ball19_indoor,1380,1155.8912274051568,0.8376023386993889,19,1,0
category_empty,beautifullight01_indoor,910,559.4832711270465,0.6148167814582928,270,4,359
category_empty,book06_indoor,1545,1013.7672081692652,0.6561600052875504,381,3,445
category_empty,car01_indoor,1402,547.1864382255281,0.39028989887698157,814,3,139
category_empty,car02_indoor,565,391.6098153367722,0.6931147174102164,143,2,187
category_empty,colacan01_indoor,2801,283.33593647718,0.10115527899935023,2464,10,254
category_empty,colacan04_indoor,567,156.80810544827293,0.2765575051997759,392,12,433
category_empty,container01_indoor,621,574.9543623699495,0.9258524353783406,4,0,139
category_empty,cup08_indoor,1321,1098.2726139509293,0.8313948629454423,103,1,129
category_empty,cup10_indoor,2147,1859.9395587554895,0.8662969533094967,77,1,48
category_empty,cup13_indoor,1658,1276.8300872565617,0.7701025858000975,111,3,103
category_empty,egg_indoor,3433,2522.4921413802276,0.7347777865948814,523,9,118
category_empty,flower02_wild,467,303.80563875152296,0.6505474063201776,100,2,188
category_empty,flower03_indoor,547,458.55314687342366,0.8383055701525113,0,0,196
category_empty,flowerbasket_indoor,851,648.4832839275659,0.7620250104906767,123,3,149
category_empty,ghostmask_indoor,1025,733.9882352702633,0.7160860831905008,193,3,139
category_empty,glass03_indoor,570,431.8285333006747,0.7575939180713591,111,3,104
category_empty,mobilephone01_indoor,1217,888.2215484229087,0.7298451507172626,207,5,200
category_empty,mobilephone02_indoor,610,519.2774090781404,0.8512744411117056,1,0,90
category_empty,notebook02_indoor,2494,2139.845474085696,0.8579973833543287,48,1,151
category_old,bag05_indoor,587,478.1526567344012,0.8145701136872252,33,1,301
category_old,ball07_indoor,2179,1691.2765818403702,0.7761709875357367,338,8,339
category_old,ball19_indoor,1380,1161.4273838394693,0.841614046260485,17,1,0
category_old,beautifullight01_indoor,910,319.6925386690276,0.3513104820538765,544,10,359
category_old,book06_indoor,1545,1247.479081160887,0.8074298259941016,101,3,445
category_old,car01_indoor,1402,620.4785315597495,0.44256671295274574,741,2,139
category_old,car02_indoor,565,184.04471425899288,0.3257428570955626,366,2,187
category_old,colacan01_indoor,2801,2126.8339595678144,0.7593123739977916,267,6,254
category_old,colacan04_indoor,567,456.96808730984964,0.805940189258994,59,1,433
category_old,container01_indoor,621,575.139143564565,0.9261499896369806,3,0,139
category_old,cup08_indoor,1321,1095.600658632287,0.8293721867012013,103,1,129
category_old,cup10_indoor,2147,1817.2637963613909,0.84642002625123,84,2,48
category_old,cup13_indoor,1658,691.5072261910635,0.41707311591740864,826,7,103
category_old,egg_indoor,3433,2518.5556456877594,0.7336311231248935,552,8,118
category_old,flower02_wild,467,291.9693805192136,0.6252020996128771,118,2,188
category_old,flower03_indoor,547,462.5020836090334,0.8455248329232786,0,0,196
category_old,flowerbasket_indoor,851,620.8458901215016,0.7295486370405424,152,2,149
category_old,ghostmask_indoor,1025,880.311554510209,0.8588405409855697,16,0,139
category_old,glass03_indoor,570,505.6622067017718,0.887126678424161,34,1,104
category_old,mobilephone01_indoor,1217,735.6069459366655,0.6044428479348114,385,5,200
category_old,mobilephone02_indoor,610,515.090663616754,0.8444109239618918,3,0,90
