sequence,arm,frame,score,iou,quality
bag05_indoor,category,200,0.8789576888084412,0.8436708987290832,correct
bag05_indoor,category,300,0.8542452454566956,0.7557678718650505,correct
bag05_indoor,category,400,0.8477900624275208,0.967535667600858,correct
bag05_indoor,category,500,0.7847082018852234,0.7690954963731987,correct
bag05_indoor,category,550,0.8955757021903992,0.9315978812306045,correct
bag05_indoor,category,600,0.8555279970169067,0.9346245530170751,correct
bag05_indoor,category,700,0.8952035903930664,0.9501169499173563,correct
bag05_indoor,category_empty,200,0.8919156789779663,0.8251376170271505,correct
bag05_indoor,category_empty,300,0.857417643070221,0.773937940083255,correct
bag05_indoor,category_empty,400,0.8368539214134216,0.9553053935031709,correct
bag05_indoor,category_empty,500,0.7677524089813232,0.7734988709793755,correct
bag05_indoor,category_empty,550,0.9100347757339478,0.9409657800845225,correct
bag05_indoor,category_empty,600,0.8700444102287292,0.9293149821701239,correct
bag05_indoor,category_empty,700,0.9109311103820801,0.965311716397442,correct
bag05_indoor,category_old,200,0.8751686215400696,0.8157800388664208,correct
bag05_indoor,category_old,300,0.8377236127853394,0.7723694677534514,correct
bag05_indoor,category_old,400,0.8442184925079346,0.973403660037736,correct
bag05_indoor,category_old,500,0.7568903565406799,0.7676254176190406,correct
bag05_indoor,category_old,550,0.87897127866745,0.9300702851826204,correct
bag05_indoor,category_old,600,0.8561034202575684,0.9321606329736348,correct
bag05_indoor,category_old,700,0.8802286982536316,0.9492342535964559,correct
bag05_indoor,category_swapped,200,0.8806526064872742,0.8417081578477255,correct
bag05_indoor,category_swapped,300,0.8489164113998413,0.7583605295070276,correct
bag05_indoor,category_swapped,400,0.8304410576820374,0.9558514702846501,correct
bag05_indoor,category_swapped,500,0.7726132273674011,0.767812112730278,correct
bag05_indoor,category_swapped,550,0.8948934078216553,0.9273578357440835,correct
bag05_indoor,category_swapped,600,0.8588101267814636,0.9338040150601127,correct
bag05_indoor,category_swapped,700,0.8952078819274902,0.9677423010208347,correct
ball07_indoor,category,50,0.8649507164955139,0.9654449004801585,correct
ball07_indoor,category,100,0.8422827124595642,0.9687352733549891,correct
ball07_indoor,category,150,0.8764755725860596,0.9118315621676779,correct
ball07_indoor,category,250,0.8949074149131775,0.9422914336457395,correct
ball07_indoor,category,300,0.9112886190414429,0.9399235891700587,correct
ball07_indoor,category,400,0.787997841835022,0.9334103724540479,correct
ball07_indoor,category,450,0.9159983396530151,0.9604031128615529,correct
ball07_indoor,category,550,0.8761095404624939,0.8954365173860213,correct
ball07_indoor,category,600,0.9312281012535095,0.9392440830237239,correct
ball07_indoor,category,650,0.783830463886261,0.9457907847538527,correct
ball07_indoor,category,700,0.8522849082946777,0.9040398791315619,correct
ball07_indoor,category,1150,0.8020549416542053,0.9093854779166,correct
ball07_indoor,category,1200,0.9199584722518921,0.9844161409133989,correct
ball07_indoor,category_empty,50,0.8454324007034302,0.9325778753235067,correct
ball07_indoor,category_empty,100,0.8366119861602783,0.9475326092058227,correct
ball07_indoor,category_empty,150,0.8766034245491028,0.8921875593871321,correct
ball07_indoor,category_empty,250,0.9174132943153381,0.9599728455419766,correct
ball07_indoor,category_empty,300,0.9085978269577026,0.9345991216168612,correct
ball07_indoor,category_empty,400,0.7953071594238281,0.9192811605039519,correct
ball07_indoor,category_empty,450,0.9158828854560852,0.9642434976371891,correct
ball07_indoor,category_empty,550,0.883197009563446,0.9194358756183159,correct
ball07_indoor,category_empty,600,0.9496652483940125,0.9262746170298813,correct
ball07_indoor,category_empty,650,0.8461346626281738,0.9285104774204702,correct
ball07_indoor,category_empty,700,0.8921228647232056,0.880977713448232,correct
ball07_indoor,category_empty,1600,0.8344711661338806,0.0,severe
ball07_indoor,category_empty,2150,0.9185658693313599,0.0,severe
ball07_indoor,category_empty,2250,0.7830304503440857,0.0,severe
ball07_indoor,category_old,50,0.8440089225769043,0.9482657148298071,correct
ball07_indoor,category_old,100,0.8291295170783997,0.9637654773266048,correct
ball07_indoor,category_old,150,0.8745700716972351,0.9163806743756072,correct
ball07_indoor,category_old,250,0.8682816028594971,0.9330979558767655,correct
ball07_indoor,category_old,300,0.9226603507995605,0.9759682251454548,correct
ball07_indoor,category_old,400,0.7759405970573425,0.9417644537594474,correct
ball07_indoor,category_old,450,0.9149652123451233,0.9596795364944736,correct
ball07_indoor,category_old,550,0.8678620457649231,0.9265256042111506,correct
ball07_indoor,category_old,600,0.9256046414375305,0.9490926213089571,correct
ball07_indoor,category_old,650,0.8097579479217529,0.956328334298199,correct
ball07_indoor,category_old,700,0.8543327450752258,0.8891512027330472,correct
ball07_indoor,category_old,1150,0.7810558080673218,0.9039977179809618,correct
ball07_indoor,category_old,1200,0.9174578785896301,0.9750456084520712,correct
ball07_indoor,category_old,1300,0.8637732267379761,0.8736286362101736,correct
ball07_indoor,category_old,1550,0.8893777132034302,0.9483765723233244,correct
ball07_indoor,category_old,1600,0.9265139102935791,0.9600174976007001,correct
ball07_indoor,category_old,1650,0.9193584322929382,0.9279607581953631,correct
ball07_indoor,category_old,1700,0.9181809425354004,0.959137559888285,correct
ball07_indoor,category_old,1750,0.918168306350708,0.9563592221492473,correct
ball07_indoor,category_old,1800,0.9342635869979858,0.9269058822642736,correct
ball07_indoor,category_old,1850,0.924765944480896,0.9634861485294961,correct
ball07_indoor,category_old,1900,0.9170634150505066,0.9349720010844264,correct
ball07_indoor,category_old,1950,0.9024060368537903,0.9578754100018532,correct
ball07_indoor,category_old,2000,0.9098129868507385,0.9429777471957292,correct
ball07_indoor,category_old,2050,0.8992896676063538,0.9349973157423758,correct
ball07_indoor,category_old,2100,0.8949645757675171,0.9069491083578982,correct
ball07_indoor,category_old,2150,0.8192034363746643,0.9578239310708554,correct
ball07_indoor,category_old,2200,0.9221742749214172,0.9404205019296823,correct
ball07_indoor,category_swapped,50,0.8641735315322876,0.9795105255850344,correct
ball07_indoor,category_swapped,100,0.7996947765350342,0.9691431260974265,correct
ball07_indoor,category_swapped,150,0.8669419288635254,0.9180035743128012,correct
ball07_indoor,category_swapped,250,0.893962562084198,0.9507453561148811,correct
ball07_indoor,category_swapped,300,0.9104533791542053,0.9252685766522843,correct
ball07_indoor,category_swapped,400,0.8675758838653564,0.9170215531815993,correct
ball07_indoor,category_swapped,450,0.906663179397583,0.9643781839924442,correct
ball07_indoor,category_swapped,550,0.8740432262420654,0.9161889509733537,correct
ball07_indoor,category_swapped,600,0.9275011420249939,0.9315611070441869,correct
ball07_indoor,category_swapped,650,0.828266978263855,0.952123023952829,correct
ball07_indoor,category_swapped,700,0.8746417760848999,0.9415894773366453,correct
ball07_indoor,category_swapped,1150,0.7733035087585449,0.9354881399208049,correct
ball07_indoor,category_swapped,1200,0.9142568707466125,0.9611153274210108,correct
ball07_indoor,category_swapped,1300,0.7823008894920349,0.8868525594012677,correct
ball07_indoor,category_swapped,1550,0.8807244300842285,0.9357093615648727,correct
ball07_indoor,category_swapped,1600,0.9235284924507141,0.9544611653415958,correct
ball07_indoor,category_swapped,1650,0.9164515137672424,0.9138576592943995,correct
ball07_indoor,category_swapped,1700,0.9185096621513367,0.951762694853158,correct
ball07_indoor,category_swapped,1750,0.917350709438324,0.9527787809632189,correct
ball07_indoor,category_swapped,1800,0.9361655116081238,0.9508059316027714,correct
ball07_indoor,category_swapped,1850,0.9186669588088989,0.948445804255902,correct
ball07_indoor,category_swapped,1900,0.9176158308982849,0.9501061858641214,correct
ball07_indoor,category_swapped,1950,0.901512861251831,0.9499269950930792,correct
ball07_indoor,category_swapped,2000,0.9087939858436584,0.967175715531266,correct
ball07_indoor,category_swapped,2050,0.8853402137756348,0.9109429911549974,correct
ball07_indoor,category_swapped,2100,0.8687167763710022,0.9223216758265377,correct
ball07_indoor,category_swapped,2150,0.8276879191398621,0.9565825730082121,correct
ball07_indoor,category_swapped,2200,0.9211834073066711,0.9492894567405329,correct
ball19_indoor,category,50,0.8769456148147583,0.899055735453632,correct
ball19_indoor,category,100,0.8934300541877747,0.9071573573051233,correct
ball19_indoor,category,150,0.7746281623840332,0.8242951152073033,correct
ball19_indoor,category,600,0.8522712588310242,0.9089107972082417,correct
ball19_indoor,category,650,0.8841997385025024,0.86917175426857,correct
ball19_indoor,category,800,0.8788750171661377,0.8953048299265965,correct
ball19_indoor,category,900,0.8284612894058228,0.8795007842087463,correct
ball19_indoor,category,1150,0.8573559522628784,0.9248799758585833,correct
ball19_indoor,category,1200,0.8002241253852844,0.8676941206298407,correct
ball19_indoor,category,1250,0.9304749369621277,0.9617784401691591,correct
ball19_indoor,category_empty,50,0.8982731699943542,0.8931217232319134,correct
