sequence,reference,direction,start,end_exclusive,frames
bag05_indoor,category_empty,damage,779,799,20
bag05_indoor,category_old,damage,783,799,16
bag05_indoor,category_swapped,damage,783,799,16
bag05_indoor,category_swapped,damage,816,829,13
ball07_indoor,category_empty,damage,472,484,12
ball07_indoor,category_empty,improvement,1133,1343,210
ball07_indoor,category_old,damage,1530,2278,748
ball07_indoor,category_swapped,damage,1519,2278,759
beautifullight01_indoor,category_empty,damage,867,926,59
beautifullight01_indoor,category_old,improvement,424,449,25
beautifullight01_indoor,category_old,improvement,497,544,47
beautifullight01_indoor,category_old,improvement,594,633,39
beautifullight01_indoor,category_old,improvement,676,720,44
beautifullight01_indoor,category_old,improvement,767,818,51
beautifullight01_indoor,category_swapped,improvement,594,633,39
beautifullight01_indoor,category_swapped,improvement,676,720,44
beautifullight01_indoor,category_swapped,improvement,767,818,51
book06_indoor,category_empty,improvement,1709,1940,231
book06_indoor,category_empty,improvement,1946,1991,45
book06_indoor,category_swapped,improvement,1709,1753,44
car01_indoor,category_empty,damage,283,298,15
car01_indoor,category_empty,improvement,318,407,89
car01_indoor,category_swapped,damage,284,298,14
car01_indoor,category_swapped,improvement,318,409,91
car01_indoor,category_swapped,improvement,411,424,13
car02_indoor,category_empty,damage,344,550,206
car02_indoor,category_empty,damage,659,675,16
car02_indoor,category_swapped,damage,215,550,335
car02_indoor,category_swapped,damage,660,675,15
colacan01_indoor,category_empty,improvement,1307,1488,181
colacan01_indoor,category_empty,improvement,1493,1575,82
colacan01_indoor,category_empty,improvement,1579,1599,20
colacan01_indoor,category_empty,improvement,1606,2031,425
colacan01_indoor,category_old,damage,351,384,33
colacan01_indoor,category_old,damage,385,441,56
colacan01_indoor,category_old,damage,445,574,129
colacan01_indoor,category_old,damage,607,1270,663
colacan01_indoor,category_old,damage,1273,1306,33
colacan01_indoor,category_old,damage,2513,2527,14
colacan01_indoor,category_old,damage,2528,3056,528
colacan01_indoor,category_swapped,damage,2513,3056,543
colacan04_indoor,category_empty,improvement,411,437,26
colacan04_indoor,category_empty,improvement,461,515,54
colacan04_indoor,category_empty,improvement,865,882,17
