sequence,category_valid_frames,category_iou_sum,category_mean_iou,category_low_iou_frames,category_failure_episodes,category_empty_valid_frames,category_empty_iou_sum,category_empty_mean_iou,category_empty_low_iou_frames,category_empty_failure_episodes,category_swapped_valid_frames,category_swapped_iou_sum,category_swapped_mean_iou,category_swapped_low_iou_frames,category_swapped_failure_episodes,M84_control_valid_frames,M84_control_iou_sum,M84_control_mean_iou,M84_control_low_iou_frames,M84_control_failure_episodes,delta_mean_vs_M84_control,first_bbox_difference_vs_M84_control,delta_mean_vs_category_empty,first_bbox_difference_vs_category_empty,delta_mean_vs_category_swapped,first_bbox_difference_vs_category_swapped
bag05_indoor,587,495.5356530172332,0.844183395259341,15,0,587,485.992161220083,0.8279253172403458,25,1,587,450.40026148924835,0.7672917572218881,62,2,587,454.5619483297007,0.7743815133385021,62,2,0.06980188192083892,1,0.01625807801899526,1,0.07689163803745291,1
ball07_indoor,2179,1703.368345818458,0.7817202137762542,326,7,2179,796.8161301712615,0.3656797293121898,1288,8,2179,1705.6984188877302,0.7827895451526986,325,7,2179,1683.369174167004,0.7725420716691161,358,9,0.009178142107138076,1,0.41604048446406444,1,-0.0010693313764443824,1
ball19_indoor,1380,1161.8331895065592,0.8419081083380864,19,1,1380,1155.8912274051568,0.8376023386993889,19,1,1380,1160.7999050838234,0.841159351510017,24,1,1380,1162.5533193993383,0.8424299415937234,18,1,-0.0005218332556370386,1,0.004305769638697443,1,0.0007487568280694079,1
beautifullight01_indoor,910,384.69467292960445,0.4227413988237412,470,8,910,559.4832711270465,0.6148167814582928,270,4,910,375.1893006829172,0.4122959348163925,482,9,910,620.9456366259858,0.6823578424461383,202,2,-0.2596164436223971,1,-0.1920753826345516,1,0.010445464007348693,1
book06_indoor,1545,1249.4979787157845,0.8087365558030968,105,3,1545,1013.7672081692652,0.6561600052875504,381,3,1545,1262.91898329528,0.8174232901587573,79,2,1545,1054.2032903944812,0.6823322267925445,317,3,0.12640432901055232,1,0.15257655051554642,1,-0.008686734355660475,1
car01_indoor,1402,546.766666349661,0.38999048955040017,816,3,1402,547.1864382255281,0.39028989887698157,814,3,1402,541.5664917416906,0.38628137784714023,820,3,1402,620.4051491320549,0.44251437170617325,741,2,-0.05252388215577308,1,-0.0002994093265814013,1,0.0037091117032599374,1
car02_indoor,565,184.0872845406822,0.3258182027268711,366,2,565,391.6098153367722,0.6931147174102164,143,2,565,183.560362728027,0.32488559774872033,366,2,565,184.19113895756408,0.3260020158540957,366,2,-0.00018381312722459686,1,-0.36729651468334523,1,0.0009326049781507861,1
colacan01_indoor,2801,1357.5685550828075,0.4846728150956114,1186,10,2801,283.33593647718,0.10115527899935023,2464,10,2801,896.6613176831866,0.3201218556526907,1730,10,2801,1358.630224569907,0.4850518474008951,1186,10,-0.0003790323052836886,1,0.38351753609626116,1,0.1645509594429207,1
colacan04_indoor,567,442.60716023789365,0.7806122755518407,73,1,567,156.80810544827293,0.2765575051997759,392,12,567,354.10085728412747,0.6245165031466093,171,5,567,233.44829750881192,0.41172539243176703,285,10,0.3688868831200736,1,0.5040547703520648,1,0.15609577240523131,1
container01_indoor,621,539.6807520329268,0.8690511304878048,42,1,621,574.9543623699495,0.9258524353783406,4,0,621,575.0730783504928,0.9260436044291349,3,0,621,574.3212401666746,0.9248329149221812,3,0,-0.055781784434376425,1,-0.05680130489053581,1,-0.05699247394133011,1
cup08_indoor,1321,1178.008367050503,0.8917550091222581,1,0,1321,1098.2726139509293,0.8313948629454423,103,1,1321,1178.699982649117,0.8922785637010726,1,0,1321,1174.7555162315919,0.889292593665096,1,0,0.0024624154571620815,1,0.06036014617681584,1,-0.000523554578814478,1
cup10_indoor,2147,1859.302590551532,0.8660002750589343,40,1,2147,1859.9395587554895,0.8662969533094967,77,1,2147,1801.9100471503841,0.8392687690500159,104,2,2147,1857.66101152345,0.8652356830570331,39,1,0.0007645920019011543,1,-0.00029667825056245434,1,0.026731506008918382,1
cup13_indoor,1658,1333.4441519051404,0.8042485837787337,54,2,1658,1276.8300872565617,0.7701025858000975,111,3,1658,1330.5059465875734,0.8024764454689828,56,2,1658,1203.082527157677,0.7256227546186231,209,4,0.07862582916011052,1,0.034145997978636156,1,0.0017721383097508703,1
egg_indoor,3433,2516.890997911404,0.7331462271807178,555,8,3433,2522.4921413802276,0.7347777865948814,523,9,3433,2544.9837850538524,0.7413293868493599,506,6,3433,2438.0552628469854,0.7101821330751487,639,9,0.0229640941055691,1,-0.001631559414163597,1,-0.008183159668642137,1
flower02_wild,467,294.1932086233738,0.6299640441614,115,2,467,303.80563875152296,0.6505474063201776,100,2,467,359.38902004692557,0.7695696360747871,36,1,467,290.8912803503582,0.6228935339408099,120,2,0.0070705102205900205,1,-0.02058336215877765,1,-0.13960559191338717,1
flower03_indoor,547,462.51450301116915,0.8455475374975671,0,0,547,458.55314687342366,0.8383055701525113,0,0,547,461.1703178892266,0.843090160675003,0,0,547,461.98415155337716,0.8445779735893549,0,0,0.0009695639082121232,1,0.0072419673450557775,1,0.0024573768225640835,1
flowerbasket_indoor,851,648.9480501330178,0.7625711517426765,124,2,851,648.4832839275659,0.7620250104906767,123,3,851,639.5022840374243,0.7514715441097818,134,3,851,651.7161133094138,0.7658238699288059,120,2,-0.0032527181861293775,1,0.0005461412519998099,1,0.011099607632894748,1
ghostmask_indoor,1025,638.9354764117804,0.623351684304176,313,4,1025,733.9882352702633,0.7160860831905008,193,3,1025,881.4833745759476,0.8599837800740951,14,0,1025,837.4450806559348,0.8170195908838388,72,1,-0.19366790657966282,1,-0.09273439888632484,1,-0.23663209576991917,1
glass03_indoor,570,507.2868818688751,0.8899769857348686,34,1,570,431.8285333006747,0.7575939180713591,111,3,570,506.95973944911384,0.889403051665112,34,1,570,504.2380373288228,0.8846281356646014,35,1,0.005348850070267197,1,0.1323830676635095,1,0.0005739340697565876,1
mobilephone01_indoor,1217,684.655045741081,0.5625760441586533,435,6,1217,888.2215484229087,0.7298451507172626,207,5,1217,683.5584564918105,0.561674984791956,435,6,1217,644.6821619657994,0.5297306178847982,483,8,0.032845426273855005,1,-0.16726910655860938,1,0.0009010593666972655,1
mobilephone02_indoor,610,341.11220326007776,0.5592003332132423,208,1,610,519.2774090781404,0.8512744411117056,1,0,610,510.58278305395487,0.8370209558261555,8,0,610,341.7741460127736,0.560285485266842,208,1,-0.001085152053599714,1,-0.29207410789846333,1,-0.2778206226129133,1
notebook02_indoor,2494,2124.666175038841,0.8519110565512595,76,2,2494,2139.845474085696,0.8579973833543287,48,1,2494,2112.9391575186187,0.847208964522301,87,3,2494,2121.228991761607,0.8505328756060975,77,2,0.0013781809451620664,1,-0.0060863268030691975,1,0.004702092028958549,1
