sequence,reference,direction,start,end_exclusive,frames
bag05_indoor,M84_control,improvement,655,682,27
bag05_indoor,M84_control,improvement,816,829,13
bag05_indoor,category_empty,improvement,816,829,13
bag05_indoor,category_swapped,improvement,655,682,27
bag05_indoor,category_swapped,improvement,783,799,16
ball07_indoor,category_empty,damage,472,484,12
ball07_indoor,category_empty,improvement,1138,1343,205
ball07_indoor,category_empty,improvement,1514,2278,764
beautifullight01_indoor,M84_control,damage,594,633,39
beautifullight01_indoor,M84_control,damage,681,720,39
beautifullight01_indoor,M84_control,damage,767,818,51
beautifullight01_indoor,M84_control,damage,863,926,63
beautifullight01_indoor,M84_control,damage,963,995,32
beautifullight01_indoor,M84_control,damage,1012,1038,26
beautifullight01_indoor,M84_control,damage,1051,1071,20
beautifullight01_indoor,category_empty,damage,589,633,44
beautifullight01_indoor,category_empty,damage,679,720,41
beautifullight01_indoor,category_empty,damage,767,818,51
beautifullight01_indoor,category_empty,damage,867,926,59
book06_indoor,M84_control,improvement,1713,1924,211
book06_indoor,category_empty,improvement,1713,1940,227
book06_indoor,category_empty,improvement,1946,1991,45
book06_indoor,category_swapped,damage,1687,1702,15
car01_indoor,M84_control,damage,318,408,90
car01_indoor,M84_control,improvement,283,298,15
car02_indoor,category_empty,damage,344,550,206
car02_indoor,category_empty,damage,659,675,16
colacan01_indoor,category_empty,improvement,1307,1488,181
colacan01_indoor,category_empty,improvement,1495,1575,80
colacan01_indoor,category_empty,improvement,1579,1599,20
colacan01_indoor,category_empty,improvement,1606,2031,425
colacan01_indoor,category_empty,improvement,2513,3056,543
colacan01_indoor,category_swapped,improvement,2513,3056,543
colacan04_indoor,M84_control,improvement,411,436,25
colacan04_indoor,M84_control,improvement,460,511,51
colacan04_indoor,M84_control,improvement,544,583,39
colacan04_indoor,M84_control,improvement,616,627,11
colacan04_indoor,M84_control,improvement,705,722,17
colacan04_indoor,M84_control,improvement,764,778,14
colacan04_indoor,M84_control,improvement,815,830,15
colacan04_indoor,M84_control,improvement,864,878,14
colacan04_indoor,M84_control,improvement,914,926,12
colacan04_indoor,category_empty,improvement,349,386,37
colacan04_indoor,category_empty,improvement,411,436,25
colacan04_indoor,category_empty,improvement,460,515,55
colacan04_indoor,category_empty,improvement,544,583,39
colacan04_indoor,category_empty,improvement,610,638,28
colacan04_indoor,category_empty,improvement,697,728,31
colacan04_indoor,category_empty,improvement,758,783,25
colacan04_indoor,category_empty,improvement,807,834,27
colacan04_indoor,category_empty,improvement,864,882,18
colacan04_indoor,category_empty,improvement,914,928,14
colacan04_indoor,category_empty,improvement,963,979,16
colacan04_indoor,category_swapped,improvement,181,207,26
colacan04_indoor,category_swapped,improvement,349,386,37
colacan04_indoor,category_swapped,improvement,914,928,14
colacan04_indoor,category_swapped,improvement,963,979,16
container01_indoor,M84_control,damage,644,682,38
container01_indoor,category_empty,damage,644,682,38
container01_indoor,category_swapped,damage,644,682,38
cup08_indoor,category_empty,improvement,750,852,102
cup10_indoor,category_empty,damage,2004,2028,24
cup10_indoor,category_empty,improvement,1830,1892,62
cup10_indoor,category_swapped,improvement,1830,1895,65
cup13_indoor,M84_control,improvement,791,842,51
cup13_indoor,M84_control,improvement,1031,1125,94
cup13_indoor,category_empty,improvement,791,842,51
egg_indoor,M84_control,improvement,1092,1146,54
egg_indoor,M84_control,improvement,2904,2936,32
egg_indoor,category_empty,damage,1987,2010,23
egg_indoor,category_empty,improvement,2461,2473,12
egg_indoor,category_swapped,damage,2629,2658,29
flower02_wild,category_empty,damage,160,172,12
flower02_wild,category_swapped,damage,265,338,73
flowerbasket_indoor,category_empty,improvement,533,550,17
flowerbasket_indoor,category_swapped,improvement,535,550,15
ghostmask_indoor,M84_control,damage,903,919,16
ghostmask_indoor,M84_control,damage,920,975,55
ghostmask_indoor,M84_control,damage,992,1011,19
ghostmask_indoor,M84_control,damage,1035,1126,91
ghostmask_indoor,M84_control,damage,1127,1165,38
ghostmask_indoor,category_empty,damage,853,919,66
ghostmask_indoor,category_empty,damage,926,967,41
ghostmask_indoor,category_swapped,damage,851,975,124
ghostmask_indoor,category_swapped,damage,992,1011,19
ghostmask_indoor,category_swapped,damage,1035,1126,91
ghostmask_indoor,category_swapped,damage,1127,1165,38
glass03_indoor,category_empty,improvement,135,178,43
glass03_indoor,category_empty,improvement,221,255,34
mobilephone01_indoor,M84_control,improvement,1367,1381,14
mobilephone01_indoor,M84_control,improvement,1384,1418,34
mobilephone01_indoor,category_empty,damage,887,938,51
mobilephone01_indoor,category_empty,damage,940,950,10
mobilephone01_indoor,category_empty,damage,970,1006,36
mobilephone01_indoor,category_empty,damage,1140,1321,181
mobilephone01_indoor,category_empty,improvement,1367,1381,14
mobilephone01_indoor,category_empty,improvement,1384,1418,34
mobilephone02_indoor,category_empty,damage,497,701,204
mobilephone02_indoor,category_swapped,damage,502,701,199
notebook02_indoor,category_empty,damage,834,862,28
notebook02_indoor,category_swapped,damage,834,862,28
notebook02_indoor,category_swapped,improvement,979,1000,21
notebook02_indoor,category_swapped,improvement,1342,1353,11
