sequence,arm,frame,score,iou,quality
bag05_indoor,category,200,0.8777925968170166,0.8184671289322581,correct
bag05_indoor,category,300,0.8527877330780029,0.7674079985309061,correct
bag05_indoor,category,400,0.8429820537567139,0.9743824545475981,correct
bag05_indoor,category,500,0.776089072227478,0.7686198998974437,correct
bag05_indoor,category,550,0.8961644768714905,0.927450164938244,correct
bag05_indoor,category,600,0.8469746708869934,0.9273935591569848,correct
bag05_indoor,category,700,0.8964464664459229,0.9665558546444246,correct
bag05_indoor,category_empty,200,0.8919156789779663,0.8251376170271505,correct
bag05_indoor,category_empty,300,0.857417643070221,0.773937940083255,correct
bag05_indoor,category_empty,400,0.8368539214134216,0.9553053935031709,correct
bag05_indoor,category_empty,500,0.7677524089813232,0.7734988709793755,correct
bag05_indoor,category_empty,550,0.9100347757339478,0.9409657800845225,correct
bag05_indoor,category_empty,600,0.8700444102287292,0.9293149821701239,correct
bag05_indoor,category_empty,700,0.9109311103820801,0.965311716397442,correct
bag05_indoor,category_swapped,200,0.881412923336029,0.850730912715923,correct
bag05_indoor,category_swapped,300,0.8491159677505493,0.7733670542927498,correct
bag05_indoor,category_swapped,400,0.8378701210021973,0.9576343367623089,correct
bag05_indoor,category_swapped,500,0.7670302987098694,0.761744325940748,correct
bag05_indoor,category_swapped,550,0.8932347297668457,0.931613062781741,correct
bag05_indoor,category_swapped,600,0.8428060412406921,0.917354190987041,correct
bag05_indoor,category_swapped,700,0.890739917755127,0.9671731331801003,correct
bag05_indoor,M84_control,200,0.8777443766593933,0.8241461642661613,correct
bag05_indoor,M84_control,300,0.8381103873252869,0.7563053950114083,correct
bag05_indoor,M84_control,400,0.8305766582489014,0.953460785009453,correct
bag05_indoor,M84_control,500,0.7644779086112976,0.7706471072127798,correct
bag05_indoor,M84_control,550,0.8877702355384827,0.9247054171941245,correct
bag05_indoor,M84_control,600,0.8563628792762756,0.9315927734703747,correct
bag05_indoor,M84_control,700,0.8876283764839172,0.9582775770943444,correct
ball07_indoor,category,50,0.8713329434394836,0.9637435178996412,correct
ball07_indoor,category,100,0.7997791767120361,0.9788193596709406,correct
ball07_indoor,category,150,0.7918944358825684,0.9391284583877578,correct
ball07_indoor,category,250,0.9175353646278381,0.9528929273739659,correct
