group,gate,category_value,comparison,reference_value,passed
M84_increment,mean,0.7148007720434096,>,0.7085214278281244,True
M84_increment,macro,0.7077128871780697,>=,0.7004543356970994,True
M84_increment,low,5373,<=,5541,True
M84_increment,H10,65,<=,72,True
native,mean,0.7148007720434096,>,0.652226263176244,True
native,macro,0.7077128871780697,>=,0.6843364163600397,True
native,low,5373,<=,7397,True
native,H10,65,<=,75,True
swapped_content,mean,0.7148007720434096,>,0.7100271264051795,True
swapped_content,macro,0.7077128871780697,>=,0.7198902300223942,False
swapped_content,low,5373,<=,5477,True
swapped_content,H10,65,<=,65,True
native,native_zero_H10_protection,2,==,0,False
empty_native_parity,all_sequences,22,==,22,True
