reference,omitted_sequence,pooled_iou_delta
category_empty,bag05_indoor,0.0635348672178501
category_empty,ball07_indoor,0.03374741249671722
category_empty,ball19_indoor,0.06549673367856541
category_empty,beautifullight01_indoor,0.07085447461078095
category_empty,book06_indoor,0.05749067023208416
category_empty,car01_indoor,0.06578051844372987
category_empty,car02_indoor,0.07114704622090134
category_empty,colacan01_indoor,0.028126263187034786
category_empty,colacan04_indoor,0.053738670241612004
category_empty,container01_indoor,0.06519625099276805
category_empty,cup08_indoor,0.0626805856409528
category_empty,cup10_indoor,0.06762065610984828
category_empty,cup13_indoor,0.06430491273856995
category_empty,egg_indoor,0.07123062858165682
category_empty,flower02_wild,0.06394048585517537
category_empty,flower03_indoor,0.06364212439494682
category_empty,flowerbasket_indoor,0.06445663611670237
category_empty,ghostmask_indoor,0.06828603406978227
category_empty,glass03_indoor,0.061169810928311696
category_empty,mobilephone01_indoor,0.07267998863498247
category_empty,mobilephone02_indoor,0.07022239150678931
category_empty,notebook02_indoor,0.06906014020305812
category_swapped,bag05_indoor,0.003278299063226738
category_swapped,ball07_indoor,0.005250172583172542
category_swapped,ball19_indoor,0.004975497095802526
category_swapped,beautifullight01_indoor,0.004589225917792008
category_swapped,book06_indoor,0.0055339661665483085
category_swapped,car01_indoor,0.004827927383159219
category_swapped,car02_indoor,0.0048502441124973995
category_swapped,colacan01_indoor,-0.012375965641925515
category_swapped,colacan04_indoor,0.0017450665391517482
category_swapped,container01_indoor,0.0061301585912257655
category_swapped,cup08_indoor,0.005027402582192734
category_swapped,cup10_indoor,0.003011270826421874
category_swapped,cup13_indoor,0.004956343209749523
category_swapped,egg_indoor,0.006520453391076907
category_swapped,flower02_wild,0.007145263785841904
category_swapped,flower03_indoor,0.004818336962468879
category_swapped,flowerbasket_indoor,0.004581696923352349
category_swapped,ghostmask_indoor,0.013651404139354922
category_swapped,glass03_indoor,0.004858152843159285
category_swapped,mobilephone01_indoor,0.004943910721050019
category_swapped,mobilephone02_indoor,0.01086769957230562
category_swapped,notebook02_indoor,0.004780404517960639
