sequence,frames,control_p,control_r,control_all_box_r,old_m82_p,old_m82_r,old_m82_all_box_r,delta_r,delta_all_box_r,sustained_new_only_runs,sustained_new_only_frames,longest_new_only_run
XMG_outside,1911,87.5982590931898,46.62637494589891,46.62637494589891,87.501604459333,87.96457591149877,87.96457591149877,-41.33820096559986,-41.33820096559986,1,890,890
backpack_blue,1001,75.60150844941028,72.38617711950079,76.16761067967924,74.69714469017617,72.49777401772823,76.97380621407753,-0.11159689822744667,-0.8061955343982845,0,0,0
backpack_robotarm_lab_occ,1653,79.8699248299268,84.25472264894294,84.42941874844263,78.45181828341623,83.35846431921016,83.83516729758348,0.8962583297327882,0.5942514508591472,1,35,35
backpack_room_noocc_1,1383,86.07297155785366,86.13552458950907,86.13552458950907,84.14026034897681,84.07911190395573,84.1174008552562,2.0564126855533402,2.0181237342528817,0,0,0
bag_outside,2340,86.65679119819252,87.7023023681011,87.80976616270245,81.7276560490129,83.88936203267589,83.88936203267589,3.8129403354252105,3.9204041300265544,0,0,0
bicycle2_outside,1605,72.89535375317074,79.43724447460913,79.49817028482762,85.66607550254633,80.9800679536891,81.0272081171083,-1.5428234790799706,-1.5290378322806788,1,31,31
bicycle_outside,1373,86.43116136688866,87.00313228769896,87.06846391622756,85.92693040981503,86.17965667572625,86.32312098758962,0.8234756119727109,0.7453429286379389,0,0,0
bottle_box,950,77.27096240544667,77.74501738952915,79.71179505747055,74.53650416335356,77.2801791632316,78.34707267144223,0.4648382262975588,1.364722386028319,0,0,0
bottle_room_noocc_1,1253,81.72632291847638,80.03048541178812,81.57120559797646,82.83422855168227,82.83422855168227,82.83422855168227,-2.803743139894152,-1.2630229537058142,0,0,0
bottle_room_occ_1,1522,28.615626053534477,29.536128709802018,29.53612870980202,75.09194774536661,27.148627261786395,27.98264623147908,2.387501448015623,1.553482478322941,0,0,0
box1_outside,2501,81.533378773372,79.93596351551705,80.36262070550008,80.39966261839541,75.54546467542151,78.22164743068947,4.390498840095532,2.140973274810605,1,15,15
box_darkroom_noocc_1,1165,79.43385388956887,78.20400369273584,79.865015206583,77.14917486927678,77.00864813909595,78.38538562070195,1.1953555536398852,1.4796295858810424,0,0,0
box_darkroom_noocc_10,873,81.55194222488686,81.17827925936619,81.41768300296279,79.90022583137821,79.80870209044879,79.85852144215207,1.3695771689174023,1.5591615608107219,0,0,0
box_darkroom_noocc_2,850,85.07413779906,84.866892639988,85.35676313546104,84.73392717018842,85.04355175180909,85.2810450106967,-0.1766591118210954,0.07571812476433593,0,0,0
box_darkroom_noocc_3,1867,78.38291742634203,77.61067193445689,78.0652084115653,77.9273201743749,76.946297533975,77.27798313143927,0.6643744004818899,0.7872252801260231,0,0,0
box_darkroom_noocc_4,1262,81.46038147893407,81.19438839655389,81.42095172898428,80.65739659155338,79.93312609154759,81.02398045162877,1.2612623050062979,0.3969712773555045,0,0,0
