sequence,frames,control_p,control_r,control_all_box_r,old_m82_p,old_m82_r,old_m82_all_box_r,delta_r,delta_all_box_r
adapter01_indoor,2775,55.37180286181715,51.62374889099108,52.81374911753347,49.477364359670574,48.75574236639191,49.500075409598246,2.868006524599174,3.313673707935223
backpack_indoor,2111,67.82738157666121,68.91817280084727,69.17341205637942,60.97079821626965,62.6050057707993,62.62376489548224,6.313167030047971,6.54964716089718
bag01_indoor,2463,50.80985885497188,20.18949150404559,20.256244726274545,68.11868358208375,69.51420078735052,69.72058730090296,-49.32470928330493,-49.46434257462842
bag02_indoor,2904,74.75353185508891,68.54665774529364,71.11818815207592,69.75489762707008,66.82104406480028,67.16290928397628,1.7256136804933675,3.95527886809964
ball01_wild,531,63.55879303934889,59.56640654190236,60.294453224706245,58.94088091869223,66.04932886868527,66.96705373361726,-6.482922326782905,-6.672600508911017
ball06_indoor,781,57.04033201294244,34.24008787963537,39.27221167110764,60.8009200292137,47.16728754355436,52.610136450612686,-12.92719966391899,-13.337924779505045
ball10_wild,2089,38.16521876459804,36.328896234753785,37.15524001747242,56.05942867583323,52.47229261473081,53.44850760288035,-16.143396379977027,-16.293267585407925
ball11_wild,1576,84.05513169911146,78.08250500080432,79.15176877150975,82.58849455036918,78.55059553389088,78.79965128729029,-0.468090533086567,0.35211748421946254
ball15_wild,179,87.11782928229724,88.17380297056751,88.44601663261167,84.96550325344155,86.51033058532232,86.73676466784497,1.6634723852451856,1.7092519647667075
ball18_indoor,3699,86.19056252749809,85.70124059911814,85.83081698882278,82.45761792110208,82.19011551097685,82.25345990349516,3.5111250881412843,3.5773570853276198
ball20_indoor,1691,84.38858338753104,82.7657260146939,83.26451978914695,79.03324365037534,77.19891770358281,77.50558457819167,5.566808311111089,5.758935210955272
bandlight_indoor,1190,45.50861855486608,39.77223806475691,42.852866039594204,75.36137291929518,74.72808407123388,74.93720833145296,-34.95584600647697,-32.08434229185876
beautifullight02_indoor,975,85.3772613637152,85.3772613637152,85.3772613637152,83.31648045884951,83.31648045884951,83.31648045884951,2.0607809048656947,2.0607809048656947
book03_indoor,716,11.304676345742806,11.020480571687816,11.46699831886421,8.797595494108897,8.760734060474363,8.945794572310003,2.2597465112134536,2.5212037465542068
bottle04_indoor,2286,61.269135415787034,54.748126093421924,60.39849995443212,61.09016152193365,58.17841388807934,61.93579630665387,-3.430287794657417,-1.5372963522217518
card_indoor,2416,27.284620606929188,23.704643482592864,26.637696132054707,29.612476028830788,28.877066855929357,29.37617957367945,-5.172423373336493,-2.7384834416247443
cat01_indoor,3035,86.16760239854003,84.15352226117578,84.22110162153665,85.25279236637463,85.13727367753133,85.19168916449854,-0.9837514163555454,-0.9705875429618942
colacan03_indoor,2076,11.274519789075184,13.390182075634256,13.401571431582449,10.8731181416844,13.317614126775318,13.38238352769042,0.07256794885893747,0.019187903892028402
cube02_indoor,3816,4.184375048930269,4.378299189128968,4.473016598964421,25.311199402045297,26.058316184395323,26.224488574465738,-21.680016995266357,-21.751471975501318
cube03_indoor,610,59.477044276428956,57.1740610805403,59.446941401145736,61.27271846014123,59.5191221405749,60.90812482905924,-2.3450610600346025,-1.4611834279135039
cube05_indoor,2975,2.5501698598754947,2.646604854576669,2.759534381252071,3.0696436477133218,3.1953958559704856,3.1953958559704856,-0.5487910013938166,-0.4358614747184144
cup01_indoor,1361,77.84806116647724,76.50685861454541,78.17659324523216,77.14465774030175,75.35328366543332,77.05253906555734,1.153574949112084,1.1240541796748147
cup02_indoor,1758,39.44751735225414,38.594840640430675,39.10268657740873,51.834218529845735,51.77524899795739,51.86764942101756,-13.180408357526716,-12.764962843608828
cup04_indoor,2235,84.7042233806084,85.21307499980799,85.45148811565261,80.52059754064909,82.19500922703041,82.35233085472312,3.0180657727775753,3.0991572609294877
cup12_indoor,1006,29.861805486747215,28.232410014227955,29.304764609902577,33.47884257776859,32.31955421988154,33.171005307235205,-4.087144205653583,-3.8662406973326284
developmentboard_indoor,1527,30.99147700491368,27.622353154847474,31.084479239901537,23.006732053848687,22.70858865790248,24.725991120061078,4.913764496944992,6.358488119840459
duck03_wild,492,83.16390813331444,83.33432597784991,83.43410852821185,82.60271250423664,82.26417679725206,82.45610581200616,1.070149180597852,0.9780027162056939
dumbbells01_indoor,1056,46.53493629890488,42.2050450663917,43.110236266895214,53.20409131227667,49.29585737650707,50.141070921093664,-7.090812310115375,-7.0308346541984506
earphone01_indoor,1090,50.59842085540676,50.180635729077714,50.570002858145656,74.07454509127538,72.71537912629785,73.38359270147913,-22.534743397220133,-22.813589843333475
file01_indoor,1628,65.72348573096298,61.14189789160528,62.16772700949904,36.77927527569279,36.77927527569279,36.89792101016255,24.362622615912493,25.26980599933649
flag_indoor,1371,84.85246112371532,81.94358754762881,83.4660669978019,84.91391738364331,84.6661743715831,84.7885576567204,-2.7225868239542876,-1.3224906589184968
glass01_indoor,2233,72.44298145516595,67.65686088262241,70.13119673375479,78.51750794245086,76.75306956172162,77.49610866925258,-9.096208679099206,-7.364911935497787
hand01_indoor,1223,53.87866265909097,38.484759042207834,50.1518954389345,47.425561101752734,39.392831334304454,45.925548793784074,-0.9080722920966195,4.226346645150429
human02_indoor,1740,62.393786006421124,52.95546502854449,54.44736100731116,79.20999346985099,79.16426021727024,79.19709592968944,-26.20879518872575,-24.74973492237828
lock02_indoor,521,86.78324888484282,86.45010781426761,86.67747228859871,87.34418911016574,86.50595313022174,87.000801401383,-0.055845315954130115,-0.3233291127842932
mobilephone03_indoor,677,81.62536150987758,80.02486422537018,81.20956573377372,79.12283778261772,72.7977843852139,73.01278471834958,7.227079840156279,8.196781015424136
notebook01_indoor,2000,39.75447048312344,38.514114185659515,40.719370721816844,52.16405389889184,52.605420827703185,53.294218380981064,-14.09130664204367,-12.57484765916422
