sequence,frames,visible_frames,selected_frames,precision_percent,recall_percent,f_score_percent
XMG_outside,1911,1890,1892,87.77393031901167,87.8668127849577,87.82034699289798
backpack_blue,1001,917,895,77.94236942538436,76.07243253622575,76.99604926679801
backpack_robotarm_lab_occ,1653,1439,1545,78.29180810458506,84.05896005669487,81.07295142197313
backpack_room_noocc_1,1383,1376,1379,86.20211599100594,86.39005665087004,86.29598399389995
bag_outside,2340,2155,2266,83.46044933135082,87.7593402249842,85.55592770180544
bicycle2_outside,1605,1170,1313,71.20124893554024,79.90362380543961,75.3018444239745
bicycle_outside,1373,1360,1364,88.0020545778023,88.26088415008995,88.13127932754944
bottle_box,950,652,736,64.74242742988723,73.08347636257209,68.66055704379971
bottle_room_noocc_1,1253,1253,1242,87.75714252410924,86.98672866316335,87.370237286528
bottle_room_occ_1,1522,1430,1500,28.911465538362958,30.32671210317793,29.602183145081522
box1_outside,2501,2501,2471,84.95152098984799,83.93251034222887,84.43894141830827
box_darkroom_noocc_1,1165,1098,1090,77.50903537333251,76.94430651815341,77.22563853467317
box_darkroom_noocc_10,873,873,867,80.89003282297563,80.33408758020603,80.6111016753102
box_darkroom_noocc_2,850,821,822,84.80820178388723,84.91150044623058,84.85981967906915
box_darkroom_noocc_3,1867,1827,1814,77.63270642276785,77.08031168631683,77.35552290628996
box_darkroom_noocc_4,1262,1225,1217,80.18695853256736,79.66328859929345,79.92426579372193
box_darkroom_noocc_5,2241,2190,2181,82.66976059882235,82.3300218566354,82.49954146238002
box_darkroom_noocc_6,1081,1081,1058,86.4562953640828,84.61679971803848,85.52665777952278
box_darkroom_noocc_7,702,702,650,86.30487567421898,79.91192192057312,82.98545737905671
box_darkroom_noocc_8,863,858,821,84.83831353445119,81.1797848622196,82.96873783416845
box_darkroom_noocc_9,758,758,730,80.00956652589018,77.05406802625306,78.50401016653203
box_humans_room_occ_1,1098,1047,1050,87.83983887023487,88.09152895295762,87.96550387577169
box_room_noocc_1,952,876,829,81.0094664305027,76.66306811745062,78.77636090426597
box_room_noocc_2,406,406,406,89.36713045781389,89.36713045781389,89.36713045781389
box_room_noocc_3,1143,1143,1141,80.7896176070564,80.64825344676409,80.71887363367019
box_room_noocc_4,1266,1266,1250,82.19834747364546,81.15950579941298,81.675623483352
box_room_noocc_5,1319,1319,1319,86.08198075531874,86.08198075531874,86.08198075531874
box_room_noocc_6,1128,1128,1127,88.24808037849114,88.16984626468042,88.20894597477563
box_room_noocc_7,1353,1353,1352,84.31049584459883,84.2481821004417,84.2793274542681
box_room_noocc_8,1058,1058,1046,84.80712765851429,83.84523207070505,84.32343681635545
box_room_noocc_9,1376,1288,1259,81.56075531706027,79.72437185107056,80.63210910418444
box_room_occ_1,1857,1414,1856,37.78125199946263,49.59123317609805,42.8880756642218
box_room_occ_2,1447,1188,1440,34.58735584376972,41.924067689417846,37.90395160961066
boxes_backpack_room_occ_1,1133,908,915,26.69591348775117,26.901718988207406,26.79842110948143
boxes_humans_room_occ_1,2311,1854,2111,54.16068258557707,61.668393170524915,57.67122367624374
boxes_office_occ_1,1266,1237,1241,50.259685297605,50.4222065111785,50.34081473311364
boxes_room_occ_1,1295,1237,1236,83.56604129380736,83.49848588451569,83.53224993056685
cart_room_occ_1,999,914,486,67.72923429246357,36.01357534588326,47.02343980876757
cartman,899,773,375,82.2135612817282,39.88368108751368,53.710950314717905
cartman_robotarm_lab_noocc,2058,2058,2058,82.38476020515347,82.38476020515347,82.38476020515347
case,960,848,918,32.271371868618374,34.93528228230149,33.55053156895999
container_room_noocc_1,1644,1644,1644,87.65318142666348,87.65318142666348,87.65318142666348
dog_outside,1055,875,871,76.36391540464709,76.01482321994013,76.18896943579337
human_entry_occ_1,532,440,94,73.94668877033747,15.797701691844823,26.0336657094072
human_entry_occ_2,661,448,436,80.78709237079687,78.6231523965791,79.69043500829736
humans_corridor_occ_1,1193,638,868,54.6448698594275,74.34443109401737,62.99036791232813
humans_corridor_occ_2_A,1360,693,1072,49.93029524542748,77.23705123102201,60.65187139161276
humans_corridor_occ_2_B,1360,874,585,61.485297680267735,41.154346845488135,49.306235973895305
humans_longcorridor_staricase_occ_1,1436,936,1124,57.398654425872884,68.92744399004394,62.636978227845745
humans_shirts_room_occ_1_A,1533,1450,1456,72.51675077161232,72.81682008515004,72.66647565276499
humans_shirts_room_occ_1_B,1430,1111,1332,40.32016709102205,48.34065037375461,43.96763206323485
jug,874,796,793,25.225593887937304,25.130522554188794,25.177968474681283
mug_ankara,934,754,854,28.09874898976244,31.825373524213692,29.846183628429262
mug_gs,1029,870,693,71.04717012446486,56.59274585776338,63.00152130038918
paperpunch,859,747,775,37.49424226737156,38.89964893870543,38.184018077809405
person_outside,1728,1365,942,75.30065685384947,51.96572802661261,61.49390442681075
robot_corridor_noocc_1,799,632,634,88.8899201795508,89.17121739530887,89.03034659373651
robot_corridor_occ_1,1819,1521,1542,74.00756054039597,75.02936117902077,74.51495811510976
robot_human_corridor_noocc_1_A,902,902,890,68.84755209204701,67.93162013516833,68.38651937714491
robot_human_corridor_noocc_1_B,902,902,901,57.04158282246819,56.97834381712178,57.00994578263321
robot_human_corridor_noocc_2,1065,972,1043,71.06654313118331,76.25761778376975,73.5706247998255
robot_human_corridor_noocc_3_A,1679,1524,1550,54.48480534300195,55.41433614281694,54.94563974082825
robot_human_corridor_noocc_3_B,1134,1027,1059,57.64515336016238,59.44130224772343,58.529451014776576
robot_lab_occ,1643,1631,1635,86.77945006291651,86.99227520102299,86.8857323042673
teapot,950,857,874,84.28607863399114,85.95803118565725,85.11384485974379
tennis_ball,707,556,262,74.92282446062136,35.305359727846756,47.9945721483687
thermos_office_noocc_1,971,971,950,85.69926832872095,83.84583410122029,84.76242052294108
thermos_office_occ_1,1411,1314,1128,78.29770963667629,67.2144721995212,72.33400202307196
toy_office_noocc_1,986,986,982,72.1078939736973,71.81536702045716,71.96133321358816
toy_office_occ_1,852,670,507,77.99199052915841,59.01781969893033,67.19106065978474
trashcan_room_occ_1,1305,979,1211,14.064172732888416,17.39705125590181,15.554075963039153
trashcans_room_occ_1_A,847,679,696,35.515067510310274,36.40425182205589,35.95416289043774
trashcans_room_occ_1_B,944,827,794,69.57234447994762,66.79618079453253,68.15600433939346
trendNetBag_outside,2105,1614,2050,62.907205389740184,79.90072555698103,70.39288812716559
trendNet_outside,1818,1680,1736,83.15449780959631,85.92631440324952,84.51768629827822
trophy_outside,2001,1926,1883,76.82507110211691,75.10986961852862,75.95778886074358
trophy_room_noocc_1,1409,1406,1390,84.7014175460559,83.73753228237389,84.21671701646474
trophy_room_occ_1,1745,1522,1661,71.99241911411627,78.56728524871691,75.1362916421911
two_mugs,1134,1015,1040,49.29431363255061,50.50845928852476,49.8940011463286
two_tennis_balls,722,655,425,63.935858893441676,41.48509928200414,50.31988894391243
