sequence,frames,visible_frames,selected_frames,precision_percent,recall_percent,f_score_percent
adapter01_indoor,2775,2674,2651,70.44338284477047,69.83747491454245,70.13912034609822
backpack_indoor,2111,2052,2104,60.99124856667368,62.536835762320386,61.75437294719992
bag01_indoor,2463,2343,2413,37.85915688598715,38.990245653387525,38.4163774457052
bag02_indoor,2904,2758,2766,70.29572218475893,70.49962565737609,70.39752627192007
ball01_wild,531,398,527,10.812194557013287,14.31664957674875,12.320057365504871
ball06_indoor,781,718,564,61.066667616657725,47.96880297464478,53.731046077683246
ball10_wild,2089,2016,2020,66.94073231176557,67.07355122508257,67.00707595132134
ball11_wild,1576,1534,1442,83.28329794683405,78.28847173359499,80.7086798651443
ball15_wild,179,165,172,83.58521594202443,87.13125540623152,85.32140737108725
ball18_indoor,3699,3699,3699,87.68862364461535,87.68862364461535,87.68862364461535
ball20_indoor,1691,1508,1623,75.88982710713033,81.67718129633457,78.67722094849731
bandlight_indoor,1190,1190,1173,77.66300143122234,76.55352998220486,77.10427480222073
beautifullight02_indoor,975,975,975,85.11552812944916,85.11552812944916,85.11552812944916
book03_indoor,716,716,703,24.772755782385705,24.322971110359152,24.545803121941017
bottle04_indoor,2286,2161,2116,66.08777600577186,64.7115844646984,65.39244050886755
card_indoor,2416,2416,2313,33.99074942770528,32.54164049101089,33.25041379838541
cat01_indoor,3035,2952,2891,80.44346670859743,78.78118640059458,79.60364958225404
colacan03_indoor,2076,1668,2045,10.914747629175936,13.381689989007667,12.022978131788198
cube02_indoor,3816,3625,3733,68.4980453092118,70.53881465911385,69.50345287830598
cube03_indoor,610,594,597,56.17259368605971,56.456293654171134,56.31408636536969
cube05_indoor,2975,2856,2974,2.2232327958838582,2.3150890528566506,2.2682313327473733
cup01_indoor,1361,1335,1340,78.04056434803475,78.33285110589256,78.18643456176939
cup02_indoor,1758,1758,1719,46.84649993305708,45.80724310860359,46.321043074446436
cup04_indoor,2235,2164,2212,44.34947477594046,45.33319695211658,44.83594067841878
cup12_indoor,1006,953,948,15.42685454655709,15.345916170132343,15.38627891650302
developmentboard_indoor,1527,1389,1456,40.17428013072137,42.112132376047754,41.12038795805295
duck03_wild,492,488,492,83.090948190012,83.77202153583177,83.43009491731817
dumbbells01_indoor,1056,1021,1021,76.2412250519344,76.2412250519344,76.2412250519344
earphone01_indoor,1090,1090,1088,75.00886301871789,74.87123207739914,74.93998435662539
file01_indoor,1628,1621,1619,37.55517265226122,37.50883684393024,37.53199044692032
flag_indoor,1371,1371,1365,85.77791960456311,85.40252389513395,85.58981013174608
glass01_indoor,2233,2225,2219,80.44994888944665,80.23300520704814,80.3413305966166
hand01_indoor,1223,1169,1011,46.673668826115616,40.365337196922916,43.29089833321366
human02_indoor,1740,1732,1729,82.37968946506912,82.23699947176935,82.30828262646895
lock02_indoor,521,521,521,88.738925935566,88.738925935566,88.738925935566
mobilephone03_indoor,677,663,665,81.32348711498909,81.56880683479298,81.44596224618637
notebook01_indoor,2000,1891,1972,31.09932966094029,32.43145324768601,31.75142536441845
pigeon01_wild,668,668,668,82.7532926018058,82.7532926018058,82.7532926018058
pigeon02_wild,303,302,292,84.81342843551131,82.00503676546126,83.38559293996398
pigeon04_wild,143,143,139,86.4950651581314,84.07562277608575,85.26818480127847
pot_indoor,1056,817,990,71.46291747833398,86.595212121849,78.30469098345394
roller_indoor,850,650,827,57.57857425761526,73.25766294007356,64.4786471375055
shoes02_indoor,1317,1297,1305,30.299001254360565,30.485887923624162,30.39215729203731
squirrel_wild,1010,943,934,77.75798907017563,77.01586616282506,77.385148419333
stick_indoor,903,898,890,78.3330027883401,77.63515866550411,77.98251955438779
toiletpaper01_indoor,1600,1556,1552,84.85805884647459,84.63991473632942,84.74884641552674
toy02_indoor,1140,1140,1136,82.89347101383186,82.6026167295728,82.74778828797275
toy09_indoor,1344,1344,1337,67.40318342947086,67.05212518244237,67.22719600537303
ukulele01_indoor,1613,1608,1494,43.59736975901526,40.506511455204475,41.995145338471175
yogurt_indoor,1614,1614,1610,64.60664465884896,64.44652905870313,64.52648753148067
