sequence,frames,visible_frames,selected_frames,precision_percent,recall_percent,f_score_percent
adapter01_indoor,2775,2674,2534,40.31168412330335,38.20112474511993,39.22803670063391
backpack_indoor,2111,2052,2100,61.32525823242572,62.759767196926894,62.03422075534392
bag01_indoor,2463,2343,2384,66.91389445237472,68.08481620762328,67.49427728980805
bag02_indoor,2904,2758,2509,74.8663778840258,68.10723064213948,71.3270332679023
ball01_wild,531,398,486,52.776456542656305,64.44562281339438,58.03022144735511
ball06_indoor,781,718,569,62.80886135303968,49.7747104594423,55.53728377603663
ball10_wild,2089,2016,1994,62.99487786941673,62.307433765683015,62.64927006065684
ball11_wild,1576,1534,1155,83.14471333949095,62.602440617413336,71.42591588479885
ball15_wild,179,165,170,85.39052518954581,87.97811686195628,86.66501064013603
ball18_indoor,3699,3699,3690,84.99174824905165,84.78495567423646,84.88822602219533
ball20_indoor,1691,1508,1459,83.60829612879755,80.89158093628356,82.22750525912747
bandlight_indoor,1190,1190,1129,74.21747797520452,70.4130526336184,72.26522866235955
beautifullight02_indoor,975,975,975,85.30379031032608,85.30379031032608,85.30379031032608
book03_indoor,716,716,702,16.59190494669248,16.267482224271117,16.42809206287464
bottle04_indoor,2286,2161,1920,64.82274926041704,57.59355788061116,60.99469668218609
card_indoor,2416,2416,2276,33.71504765000907,31.761361113998603,32.70905731092098
cat01_indoor,3035,2952,2912,86.53872133341389,85.36610993323212,85.94841627656932
colacan03_indoor,2076,1668,2054,10.906554064650457,13.430492835007218,12.037647527561548
cube02_indoor,3816,3625,3670,50.341219023924374,50.96614450146275,50.651754302344756
cube03_indoor,610,594,574,59.028997233946065,57.04148890957078,58.0182267333648
cube05_indoor,2975,2856,2975,2.0976670359108085,2.1850698290737585,2.1404765672559267
cup01_indoor,1361,1335,1271,75.68376217822389,72.05547695020417,73.82506656064663
cup02_indoor,1758,1758,1739,44.69637665130545,44.21331000945402,44.45353102466124
cup04_indoor,2235,2164,2198,54.86033974793363,55.72228593620985,55.28795358365801
cup12_indoor,1006,953,899,34.93802278969238,32.95832370192388,33.91931154204477
developmentboard_indoor,1527,1389,1309,34.128536954445,32.16289047758712,33.116571440599344
duck03_wild,492,488,490,84.05418558219544,84.3986699493356,84.2260755322613
dumbbells01_indoor,1056,1021,953,46.18865645697805,43.11242860284043,44.59755785562318
earphone01_indoor,1090,1090,1077,77.11773644869977,76.19798362866939,76.6551012046605
file01_indoor,1628,1621,1607,71.61194917859041,70.99346226403132,71.3013645167254
flag_indoor,1371,1371,1363,85.22370971586261,84.72641600490206,84.9743352909442
glass01_indoor,2233,2225,2199,80.10138672519719,79.16537052076792,79.630628123286
hand01_indoor,1223,1169,808,51.09837067019788,35.31863430412309,41.76781335510358
human02_indoor,1740,1732,1713,81.04616752114482,80.15709293517384,80.59917849853183
lock02_indoor,521,521,518,88.85621192769028,88.34456387436384,88.59964923684997
mobilephone03_indoor,677,663,653,81.32623781310876,80.09959772542989,80.70825728261403
notebook01_indoor,2000,1891,1978,32.00626155209572,33.4787865415364,32.72596813132351
pigeon01_wild,668,668,666,81.57753075412083,81.33328665006658,81.45522561056143
pigeon02_wild,303,302,290,85.12875091572934,81.74615154159441,83.40316812689699
pigeon04_wild,143,143,134,86.70331290274693,81.24646104173489,83.88623775428223
pot_indoor,1056,817,956,73.96963081462347,86.55442724452882,79.76871636636214
roller_indoor,850,650,800,64.06086119464183,78.8441368549438,70.68784683546684
shoes02_indoor,1317,1297,1304,30.462097892783564,30.62650397238995,30.54407970179913
squirrel_wild,1010,943,889,72.08564112806765,67.95772530525147,69.96084602931457
stick_indoor,903,898,867,66.41268093885625,64.12003827838349,65.24622591953356
toiletpaper01_indoor,1600,1556,1528,86.017658994074,84.46978338235544,85.23669451552858
toy02_indoor,1140,1140,1128,83.49565449872313,82.61675287242079,83.05387854899443
toy09_indoor,1344,1344,1338,65.23776595384817,64.9465259272685,65.09182016871652
ukulele01_indoor,1613,1608,1250,59.03172885311735,45.889092702983014,51.63727156500818
yogurt_indoor,1614,1614,1577,63.4800072145609,62.02476541348359,62.743949468732396
