sequence,frames,visible_frames,selected_frames,precision_percent,recall_percent,f_score_percent
XMG_outside,1911,1890,1829,88.43492799060681,85.58067899196818,86.98439542609297
backpack_blue,1001,917,903,77.2558964490346,76.07641711393482,76.66162032250355
backpack_robotarm_lab_occ,1653,1439,1536,80.07356102631536,85.47115339570563,82.68436284801372
backpack_room_noocc_1,1383,1376,1376,86.41465821930284,86.41465821930284,86.41465821930282
bag_outside,2340,2155,2212,85.09273508286205,87.34344779735075,86.20340279518702
bicycle2_outside,1605,1170,1073,87.41528520210674,80.16803506141926,83.63495409885023
bicycle_outside,1373,1360,1367,87.86543469480024,88.31768325572936,88.09097853156725
bottle_box,950,652,625,80.8020947156017,77.45599570130531,79.09367141307919
bottle_room_noocc_1,1253,1253,1241,85.41569680925633,84.597669385704,85.00471510849007
bottle_room_occ_1,1522,1430,1394,87.72618660251142,85.5176951915391,86.60786411041143
box1_outside,2501,2501,2420,83.91573641989866,81.19795367299271,82.53447760055059
box_darkroom_noocc_1,1165,1098,1098,77.37296274165585,77.37296274165585,77.37296274165585
box_darkroom_noocc_10,873,873,863,81.04966134016531,80.12125743019777,80.58278541078649
box_darkroom_noocc_2,850,821,818,85.5652110998942,85.25254893996767,85.40859387396395
box_darkroom_noocc_3,1867,1827,1792,78.92847873410557,77.41643891161311,78.16514721830184
box_darkroom_noocc_4,1262,1225,1208,81.67900341532095,80.54549887812874,81.1082911021025
box_darkroom_noocc_5,2241,2190,2169,83.32859871702692,82.5295573594664,82.92715329994559
box_darkroom_noocc_6,1081,1081,1070,86.38758044875854,85.50852088822538,85.94580295692388
box_darkroom_noocc_7,702,702,648,86.28029684338145,79.6433509323521,82.82908496964619
box_darkroom_noocc_8,863,858,824,84.80951237552684,81.44876246787193,83.09517027043294
box_darkroom_noocc_9,758,758,735,80.97691952770847,78.51983621750097,79.72945191274712
box_humans_room_occ_1,1098,1047,1048,87.52039256446905,87.60398415240073,87.56216840817524
box_room_noocc_1,952,876,823,82.0598921263071,77.09508130131364,79.50004852260241
box_room_noocc_2,406,406,406,89.35715832035984,89.35715832035984,89.35715832035984
box_room_noocc_3,1143,1143,1141,80.78420611775384,80.64285142638418,80.71346688297473
box_room_noocc_4,1266,1266,1246,82.51714356656365,81.21355520058317,81.86015993944132
box_room_noocc_5,1319,1319,1319,86.59694269349839,86.59694269349839,86.59694269349839
box_room_noocc_6,1128,1128,1127,88.43054520239787,88.35214932899149,88.39132988301765
box_room_noocc_7,1353,1353,1353,84.48499397735223,84.48499397735223,84.48499397735223
box_room_noocc_8,1058,1058,1049,83.99016585621874,83.27569374591064,83.63140387581723
box_room_noocc_9,1376,1288,1249,82.281997772414,79.79053976533004,81.01711881572336
box_room_occ_1,1857,1414,1857,37.853886612450374,49.713343309278876,42.98053649606869
box_room_occ_2,1447,1188,1428,34.59493021619505,41.58380500734557,37.76877702502029
boxes_backpack_room_occ_1,1133,908,922,53.45418959619301,54.27837313622243,53.86312875157372
boxes_humans_room_occ_1,2311,1854,2100,64.91898618114766,73.5328322440184,68.95795193748614
boxes_office_occ_1,1266,1237,1194,50.73619419087599,48.972526971629705,49.838762537150096
boxes_room_occ_1,1295,1237,1210,84.24429630532046,82.4054959817605,83.31475155654903
cart_room_occ_1,999,914,647,69.88789413884241,49.47206510703615,57.933975026048735
cartman,899,773,828,46.75004406570424,50.07637320362627,48.356073062339924
cartman_robotarm_lab_noocc,2058,2058,2058,82.3689121312155,82.3689121312155,82.3689121312155
case,960,848,927,32.05352497374745,35.03964345597156,33.48013256412832
container_room_noocc_1,1644,1644,1644,87.95692300845548,87.95692300845548,87.95692300845548
dog_outside,1055,875,873,77.33597770844233,77.15920975939447,77.24749260808942
human_entry_occ_1,532,440,90,77.96975941457019,15.948359880252994,26.480295650231383
human_entry_occ_2,661,448,407,80.58793798099467,73.21270258541256,76.72348715383585
humans_corridor_occ_1,1193,638,840,55.51920708552704,73.0973886392519,63.107082478812885
humans_corridor_occ_2_A,1360,693,1026,51.39503039054003,76.09134369508524,61.35113575415251
humans_corridor_occ_2_B,1360,874,883,67.98947408563973,68.68959452816921,68.33774116974377
humans_longcorridor_staricase_occ_1,1436,936,992,63.28068105810372,67.06670471115265,65.11870913862955
humans_shirts_room_occ_1_A,1533,1450,1398,72.23446129918865,69.64398406639017,70.91557366310796
humans_shirts_room_occ_1_B,1430,1111,1259,43.23076638938331,48.98968036384662,45.93040918500724
jug,874,796,740,82.12131630899088,76.34393727217747,79.1273099852256
mug_ankara,934,754,302,81.15952872991653,32.50686694487373,46.42079105385377
mug_gs,1029,870,624,78.84013013879031,56.54740368575305,65.85842196332685
paperpunch,859,747,741,39.25434084192552,38.93904493154861,39.096057209498404
person_outside,1728,1365,939,75.45538421106775,51.90667089684441,61.50399806787554
robot_corridor_noocc_1,799,632,634,89.06201674951598,89.34385857467268,89.20271503821981
robot_corridor_occ_1,1819,1521,1526,75.02485831404456,75.27148835452466,75.14797097947621
robot_human_corridor_noocc_1_A,902,902,891,68.83180697959249,67.99239469935355,68.40952595517781
robot_human_corridor_noocc_1_B,902,902,898,55.88355797260138,55.63573731640359,55.759372288217826
robot_human_corridor_noocc_2,1065,972,976,75.70184231904513,76.01337253434983,75.85728758048053
robot_human_corridor_noocc_3_A,1679,1524,1551,55.974996121853714,56.96667912401254,56.466483892679754
robot_human_corridor_noocc_3_B,1134,1027,1056,58.005241619871626,59.64316957213674,58.812803793167966
robot_lab_occ,1643,1631,1637,87.19462970988207,87.51539474866765,87.35471776932494
teapot,950,857,854,85.59160114587279,85.29198060510545,85.4415282040624
tennis_ball,707,556,210,86.50491467789546,32.67271957258641,47.43089316542571
thermos_office_noocc_1,971,971,934,82.28972454051821,79.15407077326878,80.69144642608293
thermos_office_occ_1,1411,1314,629,79.03809408750912,37.8348258607635,51.17340317142898
toy_office_noocc_1,986,986,967,70.19001834100162,68.83747234862938,69.5071661400395
toy_office_occ_1,852,670,374,51.44700198285871,28.71817722625247,36.860495673542445
trashcan_room_occ_1,1305,979,259,65.83831253797521,17.417898822610397,27.547856134629367
trashcans_room_occ_1_A,847,679,734,39.95548626763019,43.191939499912465,41.51072458661084
trashcans_room_occ_1_B,944,827,775,64.84562231250959,60.768267584274405,62.740770651928756
trendNetBag_outside,2105,1614,1485,84.90844849880817,78.12208551470268,81.37402131057124
trendNet_outside,1818,1680,1668,84.1725912577674,83.57135846306906,83.87089738229153
trophy_outside,2001,1926,1888,74.43511601627579,72.96651040432434,73.69349713619751
trophy_room_noocc_1,1409,1406,1352,80.95112606952988,77.8420501038438,79.36615115736359
trophy_room_occ_1,1745,1522,1562,80.21413071433497,82.32225504322682,81.2545215147803
two_mugs,1134,1015,413,33.800908040911196,13.753472926991453,19.551505631507457
two_tennis_balls,722,655,368,75.79643421385337,42.584866856027546,54.53194093978111
